ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,dae17c81-50c0-46fc-b9aa-98e3c693bdfc,1,,,,19747,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,38c03e07-f77f-4258-83e7-c41a7fb83b63,2,,,,19747,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15703, 'name': 'Charlotte Estcourt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,997ee36d-4c06-48f3-ba7d-1666ae3d9fee,3,,,,19747,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['7c1456db-8cf7-4aae-a306-7e3e8b074197'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,7c1456db-8cf7-4aae-a306-7e3e8b074197,4,,,,19747,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['997ee36d-4c06-48f3-ba7d-1666ae3d9fee'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,684a5303-5d94-4ab9-b092-b6b98eb5139c,1827,,,,19747,45,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,114,Manchester City WFC,746,['3e848169-4b4f-4b65-a6e7-c4e6f2e08e4a'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,3e848169-4b4f-4b65-a6e7-c4e6f2e08e4a,1828,,,,19747,45,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,114,Manchester City WFC,746,['684a5303-5d94-4ab9-b092-b6b98eb5139c'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,2.862801,,,,,,,,,,,,e92a939e-67b6-4fd2-a227-477682679ba8,5,,,"[61.0, 41.0]",19747,0,,,-2.8864102,,,Right Foot,,,"[38.0, 35.0]",,Ground Pass,23.769728,,Josanne Potter,10198.0,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Forward,2,Reading WFC,974,['0310b984-bc8f-4c25-a933-7cc24b00503c'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.380,Pass,
,,,,,,,,,,,,2.017561,,,,,,,,,,,,2457d8cf-2284-4a98-8e58-b7f1e192027b,7,,,"[37.0, 35.0]",19747,0,,,1.5707964,,,Left Foot,,,"[37.0, 68.0]",,Ground Pass,33.0,,Kirstyn Pearce,18152.0,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['e7470d84-e2f1-4273-b1fb-56d66d8bfec1'],3,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.243,Pass,
,,,,,,,,,,,,0.1368,,,,,,,,,,,,e5c810bb-ff80-4d9c-b3ef-8c9c9199afa8,11,,,"[38.0, 75.0]",19747,0,,,-0.4636476,,,Right Foot,,,"[40.0, 74.0]",,Ground Pass,2.236068,Incomplete,,,,,,1,From Kick Off,Kirstyn Pearce,18152.0,Right Center Back,2,Reading WFC,974,"['2cdded8e-bac2-4102-afc6-5fef2c1b17b2', 'bf73fbbd-2fc0-4700-95a3-6c9aebfae878']",6,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.897,Pass,True
,,,,,,,,,,,,1.1317,,,,,,,,,,,,2b30aa35-0d5c-494f-bd0a-19caaa34b0c6,13,,,"[41.0, 80.0]",19747,0,,,-1.1071488,,,,,,"[44.0, 74.0]",,Low Pass,6.708204,,Rachel Furness,15706.0,,,Throw-in,1,From Throw In,Rebecca Jane,18144.0,Right Back,3,Reading WFC,974,['d18da919-a199-4361-a684-c7e1563ee5bf'],12,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:12.538,Pass,
