50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.176225,,,,,,,,,,,,3f814d2e-7e69-4b19-95f1-56a35f5aa22c,19,,"[40.0, 16.0]",19786,0,,,,0.844154,,,Right Foot,,,,"[48.0, 25.0]",,Ground Pass,12.0415945,,Keira Walsh,4658.0,,,,,,1,From Kick Off,Jennifer Patricia Beattie,17524.0,Left Center Back,2,Manchester City WFC,746,['1eb30798-dd75-4b4c-a022-78a03bc3e21c'],9,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:09.903,Pass,
,,,,,,,,,,,,1.759547,,,,,,,,,,,,3b8d728c-697b-4ca3-9429-0208997904ec,22,,"[45.0, 27.0]",19786,0,,,,1.7454685,,,Right Foot,,,,"[39.0, 61.0]",,Ground Pass,34.525352,,Stephanie Houghton,10185.0,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Defensive Midfield,2,Manchester City WFC,746,['bf4bdb59-1556-4c76-8fb4-42a31d166c50'],12,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:12.872,Pass,
,,,,,,,,,,,,1.031846,,,,,,,,,,,,a44ad3ce-c172-48b3-a01d-8b4463e6e780,25,,"[40.0, 66.0]",19786,0,,,,0.36717382,,,Right Foot,,,,"[53.0, 71.0]",,Ground Pass,13.928389,,Gemma Bonner,15554.0,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['1272a8c2-03c2-4d63-b82f-eaaf2fd0a67c'],15,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:15.949,Pass,
,,,,,,,,,,,,1.480624,,,,,,,,,,,,04ca13b7-5d1e-4002-8d68-a1001d43f3ad,28,,"[47.0, 72.0]",19786,0,,,,-2.5748634,,,Right Foot,,,,"[36.0, 65.0]",,Ground Pass,13.038404,,Stephanie Houghton,10185.0,,,,,,1,From Kick Off,Gemma Bonner,15554.0,Right Back,2,Manchester City WFC,746,['74a77ccd-77dd-45ee-a327-c798437591dc'],18,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:18.306,Pass,
,,,,,,,,,,,,1.678673,,,,,,,,,,,,d87bc250-1f8c-4ede-972c-e2d54d9bab87,32,,"[34.0, 63.0]",19786,0,,,,-2.1375256,,,Right Foot,,,,"[20.0, 41.0]",,Ground Pass,26.076809,,Ellie Roebuck,4637.0,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['76a55d96-d486-485f-958a-201d5fe375aa'],20,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:20.427,Pass,
,,,,,,,,,,,,2.069984,,,,,,,,,,,,fd3b5c68-a344-4a91-afd2-7cf8c09afe5e,35,,"[20.0, 43.0]",19786,0,,,,-1.0014831,,,Right Foot,,,,"[36.0, 18.0]",,Ground Pass,29.681644,,Jennifer Patricia Beattie,17524.0,,,,,,1,From Kick Off,Ellie Roebuck,4637.0,Goalkeeper,2,Manchester City WFC,746,['49896a95-6d06-46cd-9252-df4332f0cb53'],23,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:23.314,Pass,
,,,,,,,,,,,,4.425106,,,,,,,,,,,,644aaaeb-cd08-408b-9d19-9af7fbb6386b,39,,"[49.0, 11.0]",19786,0,,,,-0.20539539,,,Right Foot,,,,"[97.0, 1.0]",,High Pass,49.0306,Out,Lauren Hemp,15555.0,,,,,,1,From Kick Off,Jennifer Patricia Beattie,17524.0,Left Center Back,2,Manchester City WFC,746,"['d9aa2c6a-728a-4ba8-81e6-6383651b91b9', 'f0f133d7-f221-4683-8baa-9cc44bbec596']",28,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:28.675,Pass,True
,,,,,,,,,,,,0.7423,,,,,,,,,,,,02e592bc-e1a1-4d8e-861e-3ac8ed843cb0,41,,"[24.0, 80.0]",19786,0,,,,-0.8379812,,,,,,,"[33.0, 70.0]",,Low Pass,13.453624,,Kate Longhurst,18147.0,,,,,Throw-in,1,From Throw In,Ria Percival,18145.0,Right Back,3,West Ham United LFC,972,['ee4c7781-af37-4792-a97d-89be890a45f6'],51,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:51.471,Pass,
,,,,,,,,,,,,0.9666,,,,,,,,,,,,8cf1541c-58ad-4ba0-8ee0-1554101f6fdb,45,,"[32.0, 72.0]",19786,0,,,,2.7233684,,,Right Foot,,,,"[23.0, 76.0]",,Ground Pass,9.848858,,Ria Percival,18145.0,,,,,,1,From Throw In,Kate Longhurst,18147.0,Right Attacking Midfield,3,West Ham United LFC,972,"['01610d7b-bdff-485a-ab19-e65d6ce0ec83', '487c353e-f247-46b1-978e-e942a115bf43']",52,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:52.293,Pass,True
,,,,,,,,,,,,0.901299,,,,,,,,,,,,d6680f89-2ba2-4ded-ac05-b49f0e4323d7,48,,"[22.0, 75.0]",19786,0,,,,-2.4980915,,,Right Foot,,,,"[10.0, 66.0]",,Ground Pass,15.0,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,1,From Throw In,Ria Percival,18145.0,Right Back,3,West Ham United LFC,972,['5a5eba79-8765-4f75-8014-ea99d6348c11'],53,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:53.380,Pass,
,,,,,,,,,,,,2.7982,,,,,,,,,,,,c2e9f254-844c-4dfe-b08f-4e4306badefd,52,,"[11.0, 69.0]",19786,0,,,,-0.066568166,,,Right Foot,,,,"[56.0, 66.0]",,High Pass,45.099888,,Jane Ross,4653.0,,,,,,1,From Throw In,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,3,West Ham United LFC,972,['f821d6ee-3a69-4ec5-be98-43f1619a6ce4'],54,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:54.441,Pass,
,,,,,,,,,,,,1.047368,,,,,,,,,,,,969ebdda-5b00-418b-be1f-bfc620d87b66,56,,"[70.0, 20.0]",19786,0,,,,-2.863293,,,Left Foot,,,,"[63.0, 18.0]",,Ground Pass,7.28011,,Jennifer Patricia Beattie,17524.0,,,,,Recovery,1,Regular Play,Jill Scott,10172.0,Right Defensive Midfield,4,Manchester City WFC,746,['3517f8eb-a7fd-40a1-8662-9061f498b3b5'],58,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:58.096,Pass,
,,,,,,,,,,,,0.930884,,,,,,,,,,,,206acf0d-2ea7-4dfd-9bf0-d5e712fe4051,60,,"[64.0, 20.0]",19786,0,,,,-0.27829966,,,Right Foot,,,,"[71.0, 18.0]",,Ground Pass,7.28011,,Keira Walsh,4658.0,,,,,,1,Regular Play,Jennifer Patricia Beattie,17524.0,Left Center Back,4,Manchester City WFC,746,['afa84a72-0b4f-4c46-9b09-b7db4ef020f8'],59,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:59.387,Pass,
,,,,,,,,,,,,1.106578,,,,,,,,,,,,8d198dd4-0f3d-4e7f-aec0-e3f3e142ff68,64,,"[70.0, 20.0]",19786,1,,,,1.1659045,,,Right Foot,,,,"[76.0, 34.0]",,Ground Pass,15.231546,Incomplete,Georgia Stanway,4643.0,,,,,,1,Regular Play,Keira Walsh,4658.0,Left Defensive Midfield,4,Manchester City WFC,746,"['add43677-e94f-409f-bd8f-d73181493f13', 'f1ccdf4e-197e-4261-85c8-c72ec6a016ea']",2,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:02.297,Pass,
,,,,,,,,,,,,4.000762,,,,,,,,,,,,6dab5036-bb1f-4a22-be63-f811aefa71bc,68,,"[40.0, 46.0]",19786,1,,,,-2.2142975,,,Right Foot,,,,"[31.0, 34.0]",,Ground Pass,15.0,,Claire Lauren Rafferty,18156.0,,,,,,1,Regular Play,Adriana Kristina Leon,8297.0,Left Wing,5,West Ham United LFC,972,['46836464-cdb3-4355-838a-235dbabc0171'],4,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:04.711,Pass,
,,,,,,,,,,,,0.0995,,,,,,,,,,,,799491f8-4732-4f97-a5b9-be19e164ad1b,72,,"[28.0, 21.0]",19786,1,,,,-0.32175055,,,Left Foot,,,,"[31.0, 20.0]",,Low Pass,3.1622777,Incomplete,,,,,,,,1,Regular Play,Claire Lauren Rafferty,18156.0,Left Back,5,West Ham United LFC,972,['db2e9f2a-642f-4e32-bf89-df9f52cab562'],9,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:09.618,Pass,
,,,,,,,,,,,,0.6907,,,,,,,,,,,,977b1296-8cfd-4e80-96c6-9bdcbb6f7f74,74,,"[31.0, 1.0]",19786,1,,,,1.4056476,,,,,,,"[34.0, 19.0]",,Low Pass,18.248287,,Kate Longhurst,18147.0,,,,,Throw-in,1,From Throw In,Claire Lauren Rafferty,18156.0,Left Back,6,West Ham United LFC,972,['ca6e192d-bf14-4c59-a6f3-af27908afe58'],22,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:22.294,Pass,
,,,,,,,,,,,,0.795423,,,,,,,,,,,,2ec7d116-e14c-4a22-9ddf-1e14298246bb,78,,"[32.0, 19.0]",19786,1,,,,-1.9138203,,,Right Foot,,,,"[27.0, 5.0]",,Low Pass,14.866069,,Claire Lauren Rafferty,18156.0,,,,,,1,From Throw In,Kate Longhurst,18147.0,Right Attacking Midfield,6,West Ham United LFC,972,"['27e08695-fcfd-4aa7-bef9-0cfb1dfcbddf', 'b061008b-1e5c-4cd9-acd1-154a3a776b71']",23,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:01:23.130,Pass,True
