bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a332e60a-0baf-4c29-a2dd-7367abd2c4fe,1,,,2275150,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,529136a3-cf36-4d24-80ce-bb63493ddbe4,2,,,2275150,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,07652272-dfa8-4c22-a451-855fe7b60942,3,,,2275150,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['ca785440-1481-4ec1-bce0-c7f43147ea75'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ca785440-1481-4ec1-bce0-c7f43147ea75,4,,,2275150,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['07652272-dfa8-4c22-a451-855fe7b60942'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,218b09bb-7501-40b0-9221-c121e22939ff,1336,,,2275150,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,West Ham United LFC,972,['e5a2b50d-c61c-4be0-9f1d-55af7cd9639f'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5a2b50d-c61c-4be0-9f1d-55af7cd9639f,1337,,,2275150,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,West Ham United LFC,972,['218b09bb-7501-40b0-9221-c121e22939ff'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.412977,,,,,,,,,,,,,,83d7abc8-2329-4a52-908b-f065780d7de4,5,,"[61.0, 40.1]",2275150,0,,,,,2.4584012,,Right Foot,,,,"[56.7, 43.6]",,Ground Pass,,5.5443664,,,,Katie Zelem,31540.0,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Attacking Midfield,2,Manchester United,1475,['ddc261ff-104a-45d1-bedb-57d1490deb1e'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.140,Pass,
,,,,,,,,,,,,,,,,2.8943,,,,,,,,,,,,,,d98b5963-15c6-41d7-9376-7b1757ed1fa7,8,,"[58.1, 39.9]",2275150,0,,,,,-1.8027887,,Right Foot,,,,"[50.8, 9.0]",,Ground Pass,,31.750591,,,,Martha Harris,32618.0,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Center Midfield,2,Manchester United,1475,['e51628e3-f872-4d12-8ee0-5718ea3e23c1'],1,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:01.004,Pass,
,,,,,,,,,,,,,,,,1.796984,,,,,,,,,,,,,,1c884b1a-d730-4639-925c-c265a503d5a0,11,,"[51.2, 9.0]",2275150,0,,,,,2.541876,,Right Foot,,,,"[29.7, 23.7]",,Ground Pass,,26.044962,,,,Millie Turner,31536.0,,,,,1,From Kick Off,Martha Harris,32618.0,Left Back,2,Manchester United,1475,['5001a15e-c5f9-456f-8f39-b6ffd41e8d86'],4,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:04.870,Pass,
,,,,,,,,,,,,,,,,1.931628,,,,,,,,,,,,,,69c207eb-b448-4af1-aa83-9cce40e0c057,14,,"[29.7, 25.4]",2275150,0,,,,,1.3082895,,Right Foot,,,,"[37.6, 54.8]",,Ground Pass,,30.442898,,,,Abbie McManus,4648.0,,,,,1,From Kick Off,Millie Turner,31536.0,Left Center Back,2,Manchester United,1475,['22a152fe-d5a1-4200-a1bd-9f5586750aaa'],7,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:07.662,Pass,
