ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,829e0fcb-ad33-424e-aa97-57df42c556de,1,,,,3775540,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d38e38b4-930c-4c05-b275-214f325b8633,2,,,,3775540,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c93fdb70-e13a-444f-8db2-0ade358102d9,3,,,,3775540,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['bb18b602-f261-44b4-9106-e2cd4e470c4e'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb18b602-f261-44b4-9106-e2cd4e470c4e,4,,,,3775540,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['c93fdb70-e13a-444f-8db2-0ade358102d9'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0082c0e2-65d4-4d3a-ba60-faa28632c257,1620,,,,3775540,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,Aston Villa,2647,['4386dd43-0ea4-40cf-9d5d-e58728e13373'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4386dd43-0ea4-40cf-9d5d-e58728e13373,1621,,,,3775540,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,117,Aston Villa,2647,['0082c0e2-65d4-4d3a-ba60-faa28632c257'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.092636,,,,,,,,,,,901e03ce-78c6-4c1b-b330-c06516d65298,5,,,"[61.0, 40.1]",3775540,0,,,,,-2.811474,,Right Foot,,,"[46.7, 35.2]",,Ground Pass,,15.116217,,,,Aimee Palmer,36801.0,,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Left Center Forward,2,Bristol City WFC,973,['f2277a91-9ec2-45c5-a59c-4400db940986'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.330,Pass,
,,,,,,,,,,,,,,,1.530249,,,,,,,,,,,4b951805-fc23-4a15-81e7-dc58a0779b5d,8,,,"[42.4, 37.0]",3775540,0,,,,,2.337329,,Right Foot,,,"[26.8, 53.2]",,Ground Pass,,22.489998,,,,Meaghan Sargeant,19502.0,,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Left Defensive Midfield,2,Bristol City WFC,973,['10cb7937-1d01-4e13-af99-afb14808e771'],2,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.641,Pass,
,,,,,,,,,,,,,,,1.145112,,,,,,,,,,,a3aa9519-2c21-43c5-ab9f-72f25b7e9173,11,,,"[22.5, 58.3]",3775540,0,,,,,1.2788643,,Right Foot,,,"[28.3, 77.6]",,Ground Pass,,20.152668,,,,Kiera Skeels,36799.0,,,,,,,1,From Kick Off,Meaghan Sargeant,19502.0,Right Center Back,2,Bristol City WFC,973,['7295382f-b8b2-42ea-917b-989446c9d3d1'],5,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:05.505,Pass,
,,,,,,,,,,,,,,,0.810634,,,,,,,,,,,1a615365-f1ca-4839-8de1-5a159bae9adb,15,,,"[30.0, 78.2]",3775540,0,,,,,-0.8139618,,Right Foot,,,"[36.8, 71.0]",,Ground Pass,,9.903535,,,,Carla Humphrey,16384.0,,,,,,,1,From Kick Off,Kiera Skeels,36799.0,Right Back,2,Bristol City WFC,973,"['9a96693a-bece-440f-8130-cd603731915f', 'a70ae1d0-18c7-4bf2-aba2-910c9ca250a1']",7,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:07.056,Pass,True
