ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d902ccf7-7bf8-4e83-9f71-056f07ba37df,1,,,,19808,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 3}, {'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,28f9f864-c361-4100-8c6b-a34bd85bb08f,2,,,,19808,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10195, 'name': 'Rachel Mclauchlan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15705, 'name': 'Emily Donovan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e444cf1b-156b-435d-a27a-59c283543e1c,3,,,,19808,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['27e70d4b-f493-4be3-8af6-c36f703c9490'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,27e70d4b-f493-4be3-8af6-c36f703c9490,4,,,,19808,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['e444cf1b-156b-435d-a27a-59c283543e1c'],0,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,13f19021-93ee-4195-89a0-c35c15d8b635,1679,,,,19808,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Everton LFC,967,['93168957-d999-4f20-a169-7cf6445ee4e0'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,93168957-d999-4f20-a169-7cf6445ee4e0,1680,,,,19808,45,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Everton LFC,967,['13f19021-93ee-4195-89a0-c35c15d8b635'],0,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.458141,,,,,,,,,,,518146d1-a68e-404b-84d7-4a6383ba8221,5,,,"[60.0, 40.0]",19808,0,,,-2.9229238,,Right Foot,,,"[51.0, 38.0]",Ground Pass,,9.219544,,,Abbey-Leigh Stringer,15573.0,,,,,Kick Off,1,From Kick Off,Elise Hughes,21230.0,Center Forward,2,Everton LFC,967,['81e6ca0f-6d2e-4a12-a3a0-d96ae5404fd6'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.772,Pass,
,,,,,,,,,,,,,,,,,1.443529,,,,,,,,,,,b70df82b-6d11-4958-8c10-8d5e78608525,9,,,"[55.0, 39.0]",19808,0,,,-0.24497867,,Right Foot,,,"[67.0, 36.0]",Ground Pass,,12.369317,,,Elise Hughes,21230.0,,,,,,1,From Kick Off,Abbey-Leigh Stringer,15573.0,Right Defensive Midfield,2,Everton LFC,967,['e7624fb5-d6c5-4cdc-acf4-6ef6120004dd'],3,,,,,,,,,,,,,,,,Everton LFC,967,00:00:03.099,Pass,
,,,,,,,,,,,,,,,,,1.672936,,,,,,,,,,,000120ad-ac8c-418b-9b8e-580ac796b38e,13,,,"[73.0, 32.0]",19808,0,,,-0.8850668,,Right Foot,,,"[91.0, 10.0]",Ground Pass,,28.42534,,,Danielle Turner,15571.0,,,,,,1,From Kick Off,Elise Hughes,21230.0,Center Forward,2,Everton LFC,967,"['9329cb07-6939-4dee-ba2e-1ea010b801f5', 'cd04da09-6cf8-4f1f-8e34-bf918a408147']",5,,,,,,,,,,,,,,,,Everton LFC,967,00:00:05.476,Pass,True
,,,,,,,,,,,,,,,,,2.527022,,,,,,,,,,,a8ec0527-e36b-4b9c-9491-f8411999f13f,24,,,"[30.0, 76.0]",19808,0,,,-0.29706421,,Right Foot,,,"[79.0, 61.0]",High Pass,,51.24451,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Megan Walsh,15709.0,Goalkeeper,3,Yeovil Town LFC,970,['7bd619a0-a8fc-4d56-a6c4-07107914f6c3'],41,,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:41.940,Pass,
