bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,1a908167-9fe9-4b71-a87a-71af4bf4867d,1,,,19759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,b74eb426-db43-4bfa-8dbb-d2d32947ab06,2,,,19759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,ab696d24-523d-4725-a604-6f2aa998a3c8,3,,,19759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['41aaca0d-02c6-4310-bcfd-30b530594193'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,41aaca0d-02c6-4310-bcfd-30b530594193,4,,,19759,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['ab696d24-523d-4725-a604-6f2aa998a3c8'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,181a83ac-dade-46d1-b10e-4a97e6429559,1795,,,19759,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Arsenal WFC,968,['e5428a3d-f778-4fe6-b951-c169d79501c7'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,e5428a3d-f778-4fe6-b951-c169d79501c7,1796,,,19759,45,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,96,Arsenal WFC,968,['181a83ac-dade-46d1-b10e-4a97e6429559'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,1.2344,,,,,,,,,,cb9da166-109e-4118-9b16-12bae37af8b3,5,,"[61.0, 41.0]",19759,0,,,2.6224465,,,Right Foot,,,"[54.0, 45.0]",,Ground Pass,8.062258,,,Angharad James,15577.0,,,,,Kick Off,1,From Kick Off,Hannah Cain,18253.0,Left Center Forward,2,Everton LFC,967,['abf17f8e-6374-40df-a1ad-5cccb92160ce'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.655,Pass,
,,,,,,,,,,,,2.977771,,,,,,,,,,9d391f71-c7ba-4bad-8e56-b13203c0172a,8,,"[57.0, 45.0]",19759,0,,,-0.4636476,,,Right Foot,,,"[91.0, 28.0]",,High Pass,38.013157,,Incomplete,Inessa Kaagman,15579.0,,,,,,1,From Kick Off,Angharad James,15577.0,Right Center Midfield,2,Everton LFC,967,"['835768b3-e976-483d-8828-dc3cb40e701f', 'e94a311d-3063-4f11-9dc3-125517900e8c']",2,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:02.009,Pass,
,,,,,,,,,,,,2.020929,,,,,,,,,,835768b3-e976-483d-8828-dc3cb40e701f,10,,"[30.0, 53.0]",19759,0,,,0.124354996,,,Head,,,"[62.0, 57.0]",,High Pass,32.24903,,Incomplete,,,,,,,Recovery,1,From Kick Off,Leah Williamson,18999.0,Right Back,2,Everton LFC,967,"['50cdf9da-74a2-4010-b5cd-84fa9929028a', '9d391f71-c7ba-4bad-8e56-b13203c0172a']",4,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:04.987,Pass,
,,,,,,,,,,,,1.567062,,,,,,,,,,50cdf9da-74a2-4010-b5cd-84fa9929028a,11,,"[59.0, 24.0]",19759,0,,,1.3101939,,,Head,,,"[63.0, 39.0]",,High Pass,15.524175,,Incomplete,Chloe Kelly,15570.0,,,,,Recovery,1,From Kick Off,Megan Finnigan,18254.0,Left Center Midfield,2,Everton LFC,967,"['0649f07f-c476-4b6a-b355-ee1f1fdfd68c', '1af7f59a-a770-485e-9067-e59999b44ee2', '835768b3-e976-483d-8828-dc3cb40e701f']",7,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:07.008,Pass,
