ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.737067,,,,,,,,,,,,,54dc2ddb-f8c5-4be1-84d0-c34be3b041f0,17,,,"[47.2, 20.3]",2275122,0,,,,,0.3126717,,Right Foot,,,,"[70.4, 27.8]",,High Pass,,24.382166,,,Incomplete,,Fara Williams,10251.0,,,,,,,1,Regular Play,Jade Moore,10190.0,Center Defensive Midfield,3,Reading WFC,974,"['33f61b2c-f702-44c8-ae04-8f2e1f995274', 'c67b503c-52ac-49da-a7c5-d30f47f8e5bd', 'e2672457-4f55-4d72-88fa-b779dc48861d']",9,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:09.775,Pass,True
,,,,,,,,,,,,,,,,,1.88758,,,,,,,,,,,,,71ac0d51-dcea-4b0c-9520-da7c0664c365,20,,,"[44.9, 31.4]",2275122,0,,,,,-0.3469553,,Head,,,,"[62.6, 25.0]",,High Pass,,18.82153,,,,,Remi Allen,18149.0,,,,,,Recovery,1,Regular Play,Kristine Leine,31628.0,Right Center Back,3,Reading WFC,974,['e2037db4-598b-425c-bf65-44bca5841a44'],14,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:14.524,Pass,
,,,,,,,,,,,,,,,,,2.789583,,,,,,,,,,,,,e25a7036-7a84-434d-b339-ea69ae19d559,22,,,"[62.6, 25.0]",2275122,0,,,,,0.20516455,,Head,,,,"[79.9, 28.6]",,Low Pass,,17.670597,,,Incomplete,,Fara Williams,10251.0,,,,,,,1,Regular Play,Remi Allen,18149.0,Left Center Midfield,3,Reading WFC,974,"['33cc55e5-b833-4bcb-98ae-f0d37addc72d', '5fb962b6-f0b8-4b95-aca9-5caaa730deec']",16,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:16.443,Pass,
,,,,,,,,,,,,,,,,,2.466928,,,,,,,,,,,,,d6b5b1e3-c4e4-46a1-96ad-bf4f1c84bd16,27,,,"[39.0, 53.0]",2275122,0,,,,,-2.8913138,,Right Foot,,,,"[12.4, 46.2]",,Ground Pass,,27.455418,,,,,Sophie Baggaley,16376.0,,,,,,,1,Regular Play,Meaghan Sargeant,19502.0,Right Center Back,3,Reading WFC,974,"['494a5bc0-80bf-40f0-bbdb-8522d64f32bb', 'ce302beb-d000-4283-9ab4-39bd57221cfc']",19,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:19.615,Pass,True
,,,,,,,,,,,,,,,,,3.633362,,,,,,,,,,,,,5b6e8349-6953-4d15-9469-97cd56fa371b,29,,,"[14.2, 45.4]",2275122,0,,,,,0.17893858,,Right Foot,,,,"[62.3, 54.1]",,High Pass,,48.880466,,,Incomplete,,,,,,,,,,1,Regular Play,Sophie Baggaley,16376.0,Goalkeeper,3,Reading WFC,974,['1145b375-8e93-4a7e-a1d9-61412ef9e42a'],22,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:22.081,Pass,
,,,,,,,,,,,,,,,,,1.939127,,,,,,,,,,,,,1145b375-8e93-4a7e-a1d9-61412ef9e42a,30,,,"[57.8, 26.0]",2275122,0,,,,,0.25800723,,Head,,,,"[72.2, 29.8]",,High Pass,,14.892951,,,,,Remi Allen,18149.0,,,,,,Recovery,1,Regular Play,Sophie Howard,15720.0,Left Center Back,3,Reading WFC,974,"['5b6e8349-6953-4d15-9469-97cd56fa371b', '61a241ea-dbbc-4cdf-9b8e-a6306acae054']",25,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:25.715,Pass,
,,,,,,,,,,,,,,,,,2.256,,,,,,,,,,,,,881d3906-5bcc-4f9c-bb4c-ef0d5cb9154a,36,,,"[73.9, 30.9]",2275122,0,,,,,2.0164278,,Right Foot,,,,"[63.2, 53.3]",,Ground Pass,,24.824383,,,,,Kristine Leine,31628.0,,,,,,Free Kick,1,From Free Kick,Jade Moore,10190.0,Center Defensive Midfield,4,Reading WFC,974,['d90c7712-a31d-4f0a-9487-078d7d6987e3'],48,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:48.125,Pass,
,,,,,,,,,,,,,,,,,1.102322,,,,,,,,,,,,,20083414-897a-420d-aee8-4adc978c99f6,40,,,"[71.4, 57.4]",2275122,0,,,,,-1.0143231,,Right Foot,,,,"[79.3, 44.7]",,Ground Pass,,14.956604,,,,,Angharad James,15577.0,,,,,,,1,From Free Kick,Kristine Leine,31628.0,Right Center Back,4,Reading WFC,974,"['a7385b06-9af5-4615-94b5-f8838da560c4', 'c838ebb1-c3bf-4899-8704-49eac16b8621']",51,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:51.976,Pass,True
,,,,,,,,,,,,,,,,,1.101803,,,,,,,,,,,,,a225ebbc-24f1-4091-abc0-b31abf8eeea5,43,,,"[79.0, 47.2]",2275122,0,,,,,1.0238042,,Right Foot,,,,"[88.5, 62.8]",,Ground Pass,,18.264994,,,,,Rachel Rowe,19780.0,,,,,,,1,From Free Kick,Angharad James,15577.0,Right Center Midfield,4,Reading WFC,974,['a0d080e5-7a3e-492a-afe4-b7495020eb5b'],54,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:54.665,Pass,
,,,,,,,,,,,,,,,,,1.007094,,,,,,,,,,,,,1e5f095d-d9ec-447a-9787-449d1fe8e4a3,46,,,"[88.5, 62.8]",2275122,0,,,,,-1.4025896,,Left Foot,,,,"[91.2, 46.9]",,Low Pass,,16.127617,,,Incomplete,,Remi Allen,18149.0,,,,,,,1,From Free Kick,Rachel Rowe,19780.0,Right Back,4,Reading WFC,974,"['00459791-eb35-4c6c-819f-edc3eb0c2c4e', 'a997f402-ce54-4487-b140-c0ab5259d292']",55,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:55.807,Pass,
