50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f508a354-e01d-42e4-87b1-85f1324e3439,1,,,,2275048,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 23217, 'name': 'Tessel Middag'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53d3372a-31dd-4285-8306-2032f1bf2682,2,,,,2275048,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b82a7b2a-e68a-48e8-aba5-9f296d07ac2d,3,,,,2275048,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['39fe8798-cdbf-4979-8b1d-e1eb8e292435'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39fe8798-cdbf-4979-8b1d-e1eb8e292435,4,,,,2275048,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['b82a7b2a-e68a-48e8-aba5-9f296d07ac2d'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,351f39e4-510d-448b-ac6b-9541a1978563,1461,,,,2275048,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Tottenham Hotspur Women,749,['ea79c569-5fea-489b-aa3f-940214469d7d'],0,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ea79c569-5fea-489b-aa3f-940214469d7d,1462,,,,2275048,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Tottenham Hotspur Women,749,['351f39e4-510d-448b-ac6b-9541a1978563'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.994455,,,,,,,,,,,,8f6a00b8-5829-49da-b0d0-39b1fa21061f,5,,,"[61.0, 40.1]",2275048,0,,,,2.83386,,Right Foot,,,,"[48.1, 44.2]",,Ground Pass,,13.535878,,Chloe Peplow,16397.0,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Center Forward,2,Tottenham Hotspur Women,749,['613d97d9-528a-4d53-9925-d60ca7298e87'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.587,Pass,
,,,,,,,,,,,,,,,1.431937,,,,,,,,,,,,f473bac5-58e6-435c-971d-5acb79db3782,8,,,"[45.3, 44.2]",2275048,0,,,,-2.5242689,,Right Foot,,,,"[29.1, 32.7]",,Ground Pass,,19.866806,,Anna Filbey,31703.0,,,,,,1,From Kick Off,Chloe Peplow,16397.0,Right Center Midfield,2,Tottenham Hotspur Women,749,['3f037f34-369a-4baf-b52a-484bf986b538'],2,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:02.084,Pass,
,,,,,,,,,,,,,,,2.057755,,,,,,,,,,,,4425d408-cc1a-4db8-8420-7b15a79f64fa,11,,,"[28.4, 33.5]",2275048,0,,,,0.19699983,,Right Foot,,,,"[77.0, 43.2]",,High Pass,,49.55855,Incomplete,Rianna Dean,31702.0,,,,,,1,From Kick Off,Anna Filbey,31703.0,Left Center Back,2,Tottenham Hotspur Women,749,"['617f490f-ce3f-4590-a2f9-13d259de927f', 'a59e1523-09e2-4a79-b54f-a255d1c1da29']",4,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:04.792,Pass,
,,,,,,,,,,,,,,,0.378872,,,,,,,,,,,,d13808b5-fde6-4797-aab8-8ca378c0d8db,15,,,"[53.4, 41.4]",2275048,0,,,,2.83354,,Right Foot,,,,"[51.2, 42.1]",,Ground Pass,,2.3086793,Incomplete,Cecilie Redisch Kvamme,31553.0,,,,,Recovery,1,From Kick Off,So-Hyun Cho,22798.0,Right Center Midfield,2,Tottenham Hotspur Women,749,"['4c55f4a4-b4e0-4ae7-b25e-853609366983', '54f2f88d-4f7a-45a8-9563-ff6a802ca1ae']",8,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:08.424,Pass,
