ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c6edda8-8a63-44fb-a7f6-2eeedfb67f01,1,,,,3775557,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 78072, 'name': 'Anna Patten'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,831cde18-2899-44ac-b5c8-1b8918b8551a,2,,,,3775557,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 50722, 'name': 'Libby Bance'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47070842-eaaa-41b1-b4d8-47d18e3176e4,3,,,,3775557,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['acdb15ea-bc6c-4ea0-ba6f-3a207c8fb10b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,acdb15ea-bc6c-4ea0-ba6f-3a207c8fb10b,4,,,,3775557,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['47070842-eaaa-41b1-b4d8-47d18e3176e4'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f22b9c47-fff6-48c6-8acb-ee108e31ed56,1731,,,,3775557,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Arsenal WFC,968,['ac411acb-7e79-4ac1-8691-15a83284de0f'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ac411acb-7e79-4ac1-8691-15a83284de0f,1732,,,,3775557,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,90,Arsenal WFC,968,['f22b9c47-fff6-48c6-8acb-ee108e31ed56'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.431754,,,,,,,,,,,,,7d56b7f6-cfa1-43aa-bcf9-86ba4f85afb4,5,,,"[60.0, 40.0]",3775557,0,,,,1.4464413,,Right Foot,,,,"[60.3, 42.4]",,Ground Pass,,2.4186773,,,Jill Roord,10650.0,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['1767dc96-5afb-489b-8b94-50dd34d3d768'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.504,Pass,
,,,,,,,,,,,,,,,,0.936593,,,,,,,,,,,,,30aaeb63-c18a-4ebc-bfb0-9840de972691,8,,,"[59.2, 43.5]",3775557,0,,,,-2.39923,,Right Foot,,,,"[48.3, 33.5]",,Ground Pass,,14.792228,,,Kim Little,15616.0,,,,,,1,From Kick Off,Jill Roord,10650.0,Left Center Midfield,2,Arsenal WFC,968,['f4b77042-20df-4158-b620-60e7c7dbc544'],1,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:01.095,Pass,
,,,,,,,,,,,,,,,,1.990862,,,,,,,,,,,,,19bc5e6e-becb-4e4e-80d8-794bca21711b,11,,,"[48.3, 33.5]",3775557,0,,,,2.130428,,Right Foot,,,,"[37.4, 50.9]",,Ground Pass,,20.53217,,,Leah Williamson,18999.0,,,,,,1,From Kick Off,Kim Little,15616.0,Center Defensive Midfield,2,Arsenal WFC,968,['8870786e-1ce3-4e94-930d-11bcc3ca254b'],2,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:02.808,Pass,
,,,,,,,,,,,,,,,,1.592363,,,,,,,,,,,,,40d5db32-d7bc-49a0-aba9-3da364b34721,14,,,"[37.4, 50.9]",3775557,0,,,,-1.7726429,,Right Foot,,,,"[32.1, 25.0]",,Low Pass,,26.436716,,,Carlotte Wubben-Moy,49697.0,,,,,,1,From Kick Off,Leah Williamson,18999.0,Right Center Back,2,Arsenal WFC,968,['7e8b043e-5413-42db-944e-725e5ecdcd8a'],4,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:04.879,Pass,
