bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.988456,,,,,,,,,,,45fa39ef-dfd8-4934-915e-9bbfeb18d122,18,,,"[54.6, 4.4]",2275054,0,,,,,-0.25493565,,Head,,,,"[71.1, 0.1]",,High Pass,,17.0511,Out,,Niamh Charles,15631.0,,,,,,Recovery,1,From Kick Off,Leigh-Anne Robe,15630.0,Left Back,2,Brighton & Hove Albion WFC,965,"['2b53328e-c00d-495f-aef3-3e0afe77fcaf', '9eb69a7f-f2fe-4c01-84c0-172f03af3ff0']",13,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:13.524,Pass,
,,,,,,,,,,,,,,,,,0.987376,,,,,,,,,,,73533ca6-ba2b-4f9b-a67b-f2d4308697cc,20,,,"[51.8, 80.0]",2275054,0,,,,,-0.5321324,,,,,,"[62.5, 73.7]",,Low Pass,,12.4169235,,,Aileen Whelan,16374.0,,,,,,Throw-in,1,From Throw In,Kirsty Barton,19414.0,Right Back,3,Brighton & Hove Albion WFC,965,['8f573420-b331-4413-b6c1-f43139a07219'],19,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:19.243,Pass,
,,,,,,,,,,,,,,,,,1.688946,,,,,,,,,,,143f414c-7bc1-4051-8135-f3004d231ef8,24,,,"[64.2, 74.0]",2275054,0,,,,,2.7314653,,Right Foot,,,,"[55.0, 78.0]",,High Pass,,10.031949,,,Kirsty Barton,19414.0,,,,,,,1,From Throw In,Aileen Whelan,16374.0,Right Midfield,3,Brighton & Hove Albion WFC,965,"['914c49e3-a59f-40cc-8795-92eca77c637d', 'd55cbfc7-3eaa-4032-b035-d3c7e9e399e3']",20,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:20.909,Pass,True
,,,,,,,,,,,,,,,,,1.330155,,,,,,,,,,,0cf4e5ed-2711-4598-a04a-f76d36998dc7,26,,,"[56.1, 77.4]",2275054,0,,,,,-0.12526657,,Right Foot,,,,"[69.6, 75.7]",,High Pass,,13.606616,,,Kayleigh Green,16400.0,,,,,,,1,From Throw In,Kirsty Barton,19414.0,Right Back,3,Brighton & Hove Albion WFC,965,['b36ae467-9cad-4a3e-9bf6-73efdbb9d212'],22,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:22.598,Pass,
,,,,,,,,,,,,,,,,,0.226998,,,,,,,,,,,a3473183-3177-459d-bb48-c153fc30cb6d,30,,,"[67.8, 74.8]",2275054,0,,,,,-0.61072594,,Right Foot,,,,"[70.8, 72.7]",,High Pass,,3.6619668,Incomplete,,Léa Le Garrec,31529.0,,,,,,,1,From Throw In,Kayleigh Green,16400.0,Center Forward,3,Brighton & Hove Albion WFC,965,"['62a06a22-4011-4356-838d-2c8c9d0b53ad', '78631b0f-835d-4f70-8a06-fa6709de7f6d']",24,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:24.680,Pass,
,,,,,,,,,,,,,,,,,2.507726,,,,,,,,,,,23d9cdf7-bfb6-44b8-b287-1b09f0e45e69,33,,,"[50.1, 10.8]",2275054,0,,,,,-0.8593372,,Right Foot,,,,"[57.6, 2.1]",,Low Pass,,11.486514,,,Niamh Charles,15631.0,,,,,,Recovery,1,Regular Play,Jade Bailey,21854.0,Right Center Midfield,4,Liverpool WFC,966,['569b3287-8401-49d1-8685-462f49db8963'],25,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:25.647,Pass,
,,,,,,,,,,,,,,,,,0.857389,,,,,,,,,,,4980d75d-352b-4d21-a5d6-9d6e0971d702,35,,,"[57.6, 2.1]",2275054,0,,,,,1.7497135,,Right Foot,,,,"[55.9, 11.5]",,Low Pass,,9.552486,,,Rachel Furness,15706.0,,,,,,,1,Regular Play,Niamh Charles,15631.0,Left Wing,4,Liverpool WFC,966,['5be9275c-a4c2-464d-b8dc-d3f47d4c7437'],28,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:28.155,Pass,
,,,,,,,,,,,,,,,,,0.934097,,,,,,,,,,,2b9590f9-d736-4c08-88e8-f3121b40876b,42,,,"[57.2, 67.8]",2275054,0,,,,,0.11710875,,Right Foot,,,,"[64.0, 68.6]",,Ground Pass,,6.846897,,,Kayleigh Green,16400.0,,,,,,,1,Regular Play,Léa Le Garrec,31529.0,Left Center Midfield,5,Brighton & Hove Albion WFC,965,['ff8e3b2a-f7e7-4b7e-a15f-5ac9900b3879'],31,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:31.084,Pass,
,,,,,,,,,,,,,,,,,1.802824,,,,,,,,,,,4a44fd8a-821d-4959-94be-bbb66ff9cfb1,45,,,"[65.5, 68.2]",2275054,0,,,,,2.6831534,,Right Foot,,,,"[57.8, 72.0]",,Ground Pass,,8.586617,,,Danielle Buet,20034.0,,,,,,,1,Regular Play,Kayleigh Green,16400.0,Center Forward,5,Brighton & Hove Albion WFC,965,['bdddaf7f-5031-46b7-ac5f-e8721d74abc3'],32,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:32.138,Pass,
,,,,,,,,,,,,,,,,,0.092468,,,,,,,,,,,c2847ea9-96fd-41f0-8339-62dc0bbaac1a,48,,,"[60.4, 75.9]",2275054,0,,,,,-3.033903,,Left Foot,,,,"[56.7, 75.5]",,Ground Pass,,3.7215588,Incomplete,,Kirsty Barton,19414.0,,,,,,,1,Regular Play,Danielle Buet,20034.0,Right Center Midfield,5,Brighton & Hove Albion WFC,965,"['2fe40666-d60f-4c33-979c-da4f2ac825f6', '41880137-eeb0-405a-8466-80ff94bc8f9f']",34,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:34.682,Pass,
