50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.226887,,,,,,,,,,,,24d3222c-e829-4d0a-a701-889b03684254,17,,"[21.1, 56.9]",2275026,0,,,,-2.2429092,,Right Foot,,,,"[13.7, 47.6]",,Ground Pass,,11.884864,,,Ellie Roebuck,4637.0,,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['01a8d2f2-1e42-4943-8eb0-5112efed2ff8'],11,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:11.628,Pass,
,,,,,,,,,,,,,,,,1.162632,,,,,,,,,,,,30dd6a4e-1bb8-4b9e-9263-35466d0dbf08,20,,"[14.3, 44.2]",2275026,0,,,,-1.4033645,,Right Foot,,,,"[17.9, 22.9]",,Ground Pass,,21.602083,,,Gemma Bonner,15554.0,,,,,,,1,From Kick Off,Ellie Roebuck,4637.0,Goalkeeper,2,Manchester City WFC,746,['0fc9c044-f679-4513-b8b3-70ba9f33e138'],14,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:14.485,Pass,
,,,,,,,,,,,,,,,,1.556572,,,,,,,,,,,,1a3f394b-0849-4136-8450-cc0889e0de6b,23,,"[20.4, 23.1]",2275026,0,,,,1.8417432,,Left Foot,,,,"[14.9, 42.9]",,Ground Pass,,20.549696,,,Ellie Roebuck,4637.0,,,,,,,1,From Kick Off,Gemma Bonner,15554.0,Left Center Back,2,Manchester City WFC,746,['358df397-9280-47a5-ad47-bec3e930037b'],16,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:16.926,Pass,
,,,,,,,,,,,,,,,,1.256934,,,,,,,,,,,,61b46be0-77a6-4024-9e29-ebd016667729,26,,"[20.2, 50.5]",2275026,0,,,,1.1420183,,Right Foot,,,,"[26.6, 64.5]",,Ground Pass,,15.393505,,,Stephanie Houghton,10185.0,,,,,,,1,From Kick Off,Ellie Roebuck,4637.0,Goalkeeper,2,Manchester City WFC,746,['695b1b74-c46f-48b6-918f-875678710632'],20,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:20.503,Pass,
,,,,,,,,,,,,,,,,0.931014,,,,,,,,,,,,490f20ea-1e8f-44af-87dc-4ff865cee29d,29,,"[27.8, 64.1]",2275026,0,,,,-0.9360341,,Right Foot,,,,"[37.3, 51.2]",,Ground Pass,,16.02061,,,Keira Walsh,4658.0,,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['b8f27ebd-ca20-479f-9747-ccbcde0125e8'],22,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:22.326,Pass,
,,,,,,,,,,,,,,,,0.936325,,,,,,,,,,,,d8513e94-580a-436d-9a37-e2739749c274,33,,"[35.4, 55.4]",2275026,0,,,,1.5135342,,Right Foot,,,,"[36.3, 71.1]",,Ground Pass,,15.725775,,,Janine Elizabeth Beckie,4992.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Center Midfield,2,Manchester City WFC,746,"['3b02dff7-05cf-4db8-af84-1fb554f5f5bd', '97157ade-526b-499d-83e0-5a21ed14d83b']",23,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:23.902,Pass,True
,,,,,,,,,,,,,,,,0.85372,,,,,,,,,,,,83411b73-63c0-43a4-bc0b-ae54ca0cfb98,37,,"[36.1, 74.9]",2275026,0,,,,-1.6814536,,Right Foot,,,,"[34.4, 59.6]",,Ground Pass,,15.394155,,,Keira Walsh,4658.0,,,,,,,1,From Kick Off,Janine Elizabeth Beckie,4992.0,Right Back,2,Manchester City WFC,746,"['6036281a-dec4-4330-abd7-3dab07a1c77b', 'e2887f73-6c73-4a6e-96b1-bc9ebb202c2d']",25,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:25.819,Pass,True
,,,,,,,,,,,,,,,,3.194721,,,,,,,,,,,,34c837c1-25e8-4824-a177-2f23250862d0,40,,"[36.7, 65.3]",2275026,0,,,,0.1758935,,Right Foot,,,,"[83.4, 73.6]",,High Pass,,47.431847,,,Janine Elizabeth Beckie,4992.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Center Midfield,2,Manchester City WFC,746,['1c964070-7c36-4acb-b427-e27426fa294f'],29,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:29.020,Pass,
,,,,,,,,,,,,,,,,0.395798,,,,,,,,,,,,b66d2688-f2bf-435d-8ff9-5a11a3bfef4e,48,,"[113.2, 70.0]",2275026,0,,,,-1.4523064,,Right Foot,,,,"[113.7, 65.8]",,High Pass,,4.229657,,Incomplete,,,,,,,,,1,From Kick Off,Janine Elizabeth Beckie,4992.0,Right Back,2,Manchester City WFC,746,"['a0f1f1b9-d027-4bac-8bad-76a492aa8457', 'cae1acda-735d-4bfc-9f0e-075af0126be7']",37,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:37.691,Pass,True
,,,,,,,,,,,,,,,,1.372141,,,,,,,,,,,,6e26cf82-fb3c-4dc3-9ac4-7122919e2fff,50,,"[120.0, 80.0]",2275026,1,,,,-1.7144802,,Left Foot,,,,"[116.6, 56.5]",,Ground Pass,,23.744684,,,Lauren Hemp,15555.0,,,,,,Corner,1,From Corner,Caroline Weir,10188.0,Right Center Midfield,3,Manchester City WFC,746,['e4903ae9-cde9-4767-8618-4520dc75e64c'],0,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:00.373,Pass,
