50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,e2f37c5b-994a-4cc1-bfd8-709587d164a8,1,,,3775565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,d9cb6f66-7ed4-4951-9273-6ae0eb6fb4e0,2,,,3775565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 41812, 'name': 'Ruby Mace'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 46718, 'name': 'Gemma Lawley'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 34375, 'name': 'Emma Rose Kelly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 47520, 'name': 'Mollie Green'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,6851e062-9f86-4d35-bc87-b7101d1955ad,3,,,3775565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['9309838e-db0e-48ed-996b-bed5ffaf757a'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,9309838e-db0e-48ed-996b-bed5ffaf757a,4,,,3775565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['6851e062-9f86-4d35-bc87-b7101d1955ad'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,49b12815-2db2-4efc-8f3e-5f1a60b3c51e,1597,,,3775565,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Chelsea FCW,971,['0c40b029-0077-4770-ac01-ad5d62651e85'],0,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,0c40b029-0077-4770-ac01-ad5d62651e85,1598,,,3775565,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Chelsea FCW,971,['49b12815-2db2-4efc-8f3e-5f1a60b3c51e'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.58629,,,,,,,,,,7dd3c224-350f-4479-a117-61eaec0ad33e,5,,"[60.0, 40.0]",3775565,0,,,,2.850493,,Right Foot,,,"[34.3, 47.7]",,Ground Pass,,26.828716,,,,Millie Bright,4642.0,,,,,Kick Off,1,From Kick Off,Melanie Leupolz,15648.0,Left Defensive Midfield,2,Chelsea FCW,971,['e3df69b2-b885-42c2-9039-cf8b24ab763a'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.687,Pass,
,,,,,,,,,,,,,,,2.85478,,,,,,,,,,0416aff7-6cca-47bb-909e-69d794c11938,8,,"[41.7, 51.1]",3775565,0,,,,0.11690226,,Right Foot,,,"[97.9, 57.7]",,High Pass,,56.586216,,Incomplete,,Pernille Mosegaard Harder,10108.0,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['a6103f78-3183-4405-9194-6691f9a7b5e8', 'c78ce13d-8902-4954-b8f9-9c456f9de8bd']",4,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:04.753,Pass,
,,,,,,,,,,,,,,,0.06416,,,,,,,,,,c78ce13d-8902-4954-b8f9-9c456f9de8bd,10,,"[22.2, 22.4]",3775565,0,,,,0.35563588,,Head,,,"[25.7, 23.7]",,Low Pass,,3.733631,,Incomplete,,Ruesha Littlejohn,35406.0,,,,,Recovery,1,From Kick Off,Harriet Scott,19592.0,Left Back,2,Chelsea FCW,971,"['0416aff7-6cca-47bb-909e-69d794c11938', '1a63108d-0bce-43da-974a-ce6876c42eda', '234440f1-edf4-4c7b-ba82-b33c0ef5ef0e']",7,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:07.608,Pass,
,,,,,,,,,,,,,,,1.251112,,,,,,,,,,fd2c9651-b367-419a-b11f-35c47d653c23,16,,"[105.3, 74.8]",3775565,0,,,,-2.051202,,Left Foot,,,"[101.6, 67.7]",,Ground Pass,,8.0062475,,,,Melanie Leupolz,15648.0,,,,,,1,From Kick Off,Francesca Kirby,4641.0,Right Wing,2,Chelsea FCW,971,['e76670ef-b518-4853-8059-81016fd1001f'],13,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:13.219,Pass,
