ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,3057a506-a6c4-473c-b78a-f60c1ed9fba2,1,,,19760,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 15553, 'name': 'Karen Julia Carney'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,1c44a0bf-5795-4ac9-8213-77e14f9e3f64,2,,,19760,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15708, 'name': 'Amy Goddard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15717, 'name': 'Hannah Short'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15712, 'name': 'Nicola Cousins'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15710, 'name': 'Megan Alexander'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15707, 'name': 'Georgia Evans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15715, 'name': 'Ellie Mason'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 15718, 'name': 'Olivia Fergusson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15713, 'name': 'Bonnie Horwood'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15711, 'name': 'Amber Gaylor'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15714, 'name': 'Anne-Marie Heatherson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Yeovil Town LFC,970,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,81514f1e-af10-489f-a637-535b7db3eb76,3,,,19760,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['a772714f-d3ed-4ffd-8590-646be679a263'],0,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,a772714f-d3ed-4ffd-8590-646be679a263,4,,,19760,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['81514f1e-af10-489f-a637-535b7db3eb76'],0,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,fccd2200-5782-4c91-85f3-9a2fc3a091f4,1643,,,19760,45,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,89,Yeovil Town LFC,970,['552a015f-4bae-4188-9909-cc3321e28bf5'],0,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,552a015f-4bae-4188-9909-cc3321e28bf5,1644,,,19760,45,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,89,Yeovil Town LFC,970,['fccd2200-5782-4c91-85f3-9a2fc3a091f4'],0,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,0.6909,,,,,,,,,22d45ba9-c535-4f21-85e6-60106b0b54f5,5,,"[61.0, 41.0]",19760,0,True,,-2.634494,,,Right Foot,,,"[52.0, 36.0]",,Ground Pass,10.29563,,Ellie Mason,15715.0,,,,,Kick Off,1,From Kick Off,Anne-Marie Heatherson,15714.0,Center Forward,2,Yeovil Town LFC,970,['92c94e38-a891-460c-bd8c-5736f051ccb3'],0,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:00.040,Pass,
,,,,,,,,,,1.7344,,,,,,,,,608eb431-659d-42e2-bbd0-6b4712a55165,7,,"[50.0, 39.0]",19760,0,,,2.0940747,,,Left Foot,,,"[35.0, 65.0]",,Ground Pass,30.016663,,Hannah Short,15717.0,,,,,,1,From Kick Off,Ellie Mason,15715.0,Left Center Midfield,2,Yeovil Town LFC,970,['924e82cb-48a2-4853-ae82-7424dbb4bfd2'],1,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:01.206,Pass,
,,,,,,,,,,1.9054,,,,,,,,,029f10c8-8408-471a-a137-a3eddda05555,10,,"[46.0, 72.0]",19760,0,,,0.15037143,,,Right Foot,,,"[79.0, 77.0]",,High Pass,33.37664,Incomplete,,,,,,,,1,From Kick Off,Hannah Short,15717.0,Right Center Back,2,Yeovil Town LFC,970,['ed16c61a-c457-434d-b47e-646d70375967'],7,,,,,,,,,,,,,,,Yeovil Town LFC,970,00:00:07.260,Pass,
,,,,,,,,,,1.5679,,,,,,,,,ed16c61a-c457-434d-b47e-646d70375967,11,,"[42.0, 4.0]",19760,0,,,0.8379812,,,Head,,,"[51.0, 14.0]",,Low Pass,13.453624,,So-Yun Ji,4647.0,,,,,Recovery,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,3,Chelsea FCW,971,"['029f10c8-8408-471a-a137-a3eddda05555', '579a1aad-4556-4749-8846-a20bd439a7ef']",9,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:09.166,Pass,
