bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4edc18bb-3cd7-49e5-9fda-9d9feccc94a6,1,,,2275057,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ec2d459-a902-4044-b3bc-02b071b786b5,2,,,2275057,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 31557, 'name': 'Katharina Baunach'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 8}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,408dd586-5e87-40ed-ad8b-fbfd1500d828,3,,,2275057,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['115c80e0-d704-49be-b47f-835f4f2b2881'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,115c80e0-d704-49be-b47f-835f4f2b2881,4,,,2275057,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['408dd586-5e87-40ed-ad8b-fbfd1500d828'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,850eecc9-e701-4c2a-8795-59a37d08d868,1508,,,2275057,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Chelsea FCW,971,['7e4b8f1e-8df9-4d14-9a65-da985e7404cf'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e4b8f1e-8df9-4d14-9a65-da985e7404cf,1509,,,2275057,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Chelsea FCW,971,['850eecc9-e701-4c2a-8795-59a37d08d868'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.508532,,,,,,,,,,,,,1f8fa31f-7e99-41c5-b98c-158fe5ff3389,5,,"[61.0, 40.1]",2275057,0,,,,,-2.5792255,,Right Foot,,,"[37.2, 25.1]",,Ground Pass,,28.132544,,Jonna Ann-Charlotte Andersson,10222.0,,,,,,Kick Off,1,From Kick Off,Erin Cuthbert,4660.0,Right Center Forward,2,Chelsea FCW,971,['5449368a-2d52-45ab-8531-56f5685257d1'],1,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:01.102,Pass,
,,,,,,,,,,,,,,,,,,2.551963,,,,,,,,,,,,,d9ff8bb4-c020-4439-a93f-e2af32b76c27,8,,"[40.3, 20.7]",2275057,0,,,,,-0.30274144,,Left Foot,,,"[80.0, 8.3]",,High Pass,,41.591465,,Guro Reiten,10514.0,,,,,,,1,From Kick Off,Jonna Ann-Charlotte Andersson,10222.0,Left Back,2,Chelsea FCW,971,['7448560f-f1e6-43c6-b188-81ab15e3711e'],3,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.970,Pass,
,,,,,,,,,,,,,,,,,,0.98725,,,,,,,,,,,,,3b87feb6-a57c-430d-ab67-f07902be6700,11,,"[80.0, 8.3]",2275057,0,,,,True,0.0,,,,,"[90.4, 8.3]",,High Pass,,10.4,,Bethany England,15550.0,,,,,,,1,From Kick Off,Guro Reiten,10514.0,Left Midfield,2,Chelsea FCW,971,"['86417733-06f6-41e0-881c-dd800a760940', 'ef0bcf86-c7f6-4327-b96a-07a2041dfa06']",6,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:06.562,Pass,True
,,,,,,,,,,,,,,,,,,1.122809,,,,,,,,,,,,,c9c572ed-6c9e-4256-8af2-003dc8669d11,15,,"[79.3, 4.2]",2275057,0,,,,,2.1895306,,Right Foot,,,"[70.4, 16.7]",,Ground Pass,,15.344706,,Sophie Louise Ingle,15549.0,,,,,,,1,From Kick Off,Bethany England,15550.0,Left Center Forward,2,Chelsea FCW,971,"['0ed588b5-97a1-45bd-959e-72c0913066e9', '2eb2105a-817f-4dda-860f-d1c77653d1d2']",9,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:09.861,Pass,True
