50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5c9f240-53c8-43f6-9a30-327286dc5719,1,,,,3775643,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2d051a11-2cba-46f6-b950-ec4d218460ba,2,,,,3775643,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 41812, 'name': 'Ruby Mace'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 33090, 'name': 'Emily Murphy'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 35}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,02ced2f3-e5cb-41cf-96e2-e77bb802944f,3,,,,3775643,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['a5e744ca-91b5-4238-8fba-362f1e97d742'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a5e744ca-91b5-4238-8fba-362f1e97d742,4,,,,3775643,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['02ced2f3-e5cb-41cf-96e2-e77bb802944f'],0,,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1ab36d0a-8066-4ea9-8bcd-d999fba2447e,1578,,,,3775643,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,West Ham United LFC,972,['5e0d46b1-8bdc-48c7-94e3-35d7014caf21'],0,,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5e0d46b1-8bdc-48c7-94e3-35d7014caf21,1579,,,,3775643,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,West Ham United LFC,972,['1ab36d0a-8066-4ea9-8bcd-d999fba2447e'],0,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.863243,,,,,,,,,,,,,,93e9dca1-50b2-48f4-97f7-640804d6a44d,5,,,"[61.0, 40.1]",3775643,0,,,,,2.747724,,Right Foot,,,"[53.3, 43.3]",,Ground Pass,,8.338465,,,Ruesha Littlejohn,35406.0,,,,,Kick Off,1,From Kick Off,Lucy Whipp,31566.0,Right Defensive Midfield,2,Birmingham City WFC,969,['6c07e3cb-0cca-4b67-a11e-3e0b80f9282a'],0,,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.187,Pass,
,,,,,,,,,,,,,,,,,,,2.590205,,,,,,,,,,,,,,fb1cad8c-a2fb-4363-ae06-fe4564db9b49,8,,,"[53.3, 43.4]",3775643,0,,,,,0.6390531,,Right Foot,,,"[93.0, 72.9]",,High Pass,,49.46049,,Incomplete,Emily Murphy,33090.0,,,,,,1,From Kick Off,Ruesha Littlejohn,35406.0,Center Attacking Midfield,2,Birmingham City WFC,969,"['7c5307e7-f0ce-4626-b9de-1c8363133cfe', '8d927c33-e3e1-4f9a-8eaa-e06035819f1b']",2,,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:02.063,Pass,
,,,,,,,,,,,,,,,,,,,0.934239,,,,,,,,,,,,,,72a7cf50-b08d-46a0-8c09-748c03a35cd8,13,,,"[42.0, 19.6]",3775643,0,,,,,-1.5707964,,Left Foot,,,"[42.0, 3.4]",,Ground Pass,,16.2,,,Katerina Svitková,24403.0,,,,,,1,From Kick Off,Kate Longhurst,18147.0,Right Defensive Midfield,2,Birmingham City WFC,969,['5232c192-ac0f-4235-a936-9d04d3dbb201'],7,,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:07.736,Pass,
,,,,,,,,,,,,,,,,,,,1.384609,,,,,,,,,,,,,,7df2efe9-1e69-40eb-b1db-158be3a156cb,25,,,"[69.8, 71.6]",3775643,0,,,,,-0.6400389,,Right Foot,,,"[97.6, 50.9]",,Low Pass,,34.660206,,,Claudia Walker,15580.0,,,,,Free Kick,1,From Free Kick,Georgia Brougham,15574.0,Right Center Back,3,Birmingham City WFC,969,['5286a8d3-be2d-4d75-8a07-1aa8cb54fb80'],36,,,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:36.161,Pass,
