50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,467b7635-27ff-4f7f-bdf2-75304f3e90d7,1,,,2275139,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c570aedd-10c3-4520-b06b-9d9fc8e59052,2,,,2275139,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aead628a-0ba2-4bd1-a5d8-ebaf35c9a85a,3,,,2275139,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['b0992d85-deb3-4f7e-b6aa-5ec5cf770a1b'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b0992d85-deb3-4f7e-b6aa-5ec5cf770a1b,4,,,2275139,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['aead628a-0ba2-4bd1-a5d8-ebaf35c9a85a'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f3081b4c-e959-4ccd-950e-ef6c5e1eb67d,1401,,,2275139,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Tottenham Hotspur Women,749,['7954e09b-28cb-4416-a30d-af1f71f8a8ac'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7954e09b-28cb-4416-a30d-af1f71f8a8ac,1402,,,2275139,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,122,Tottenham Hotspur Women,749,['f3081b4c-e959-4ccd-950e-ef6c5e1eb67d'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.514332,,,,,,,,,,,,f41e532a-fcc1-4709-a5d9-375bb79dd310,5,,"[60.0, 40.0]",2275139,0,,,,,-2.80647,,Right Foot,,,,"[39.9, 33.0]",,Ground Pass,,21.28403,,,,Josie Green,4865.0,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Center Forward,2,Tottenham Hotspur Women,749,['44e23323-1932-45f9-b869-8a5a89db8f07'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.208,Pass,
,,,,,,,,,,,,,,,,1.333538,,,,,,,,,,,,61e061e2-90d0-4e32-85ed-54453a184a2b,8,,"[38.7, 33.0]",2275139,0,,,,,2.55359,,Right Foot,,,,"[24.0, 42.8]",,Ground Pass,,17.667202,,,,Hannah Godfrey,31552.0,,,,,,1,From Kick Off,Josie Green,4865.0,Left Center Midfield,2,Tottenham Hotspur Women,749,['ba954f4d-a3b1-4541-ac7b-7c1707c439b9'],2,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:02.874,Pass,
,,,,,,,,,,,,,,,,3.131693,,,,,,,,,,,,b5b96c8d-89c1-4464-adbe-9ad17e68993a,12,,"[24.1, 47.5]",2275139,0,,,,,-0.028798621,,Right Foot,,,,"[72.7, 46.1]",,High Pass,,48.62016,,Incomplete,,,,,,,,,1,From Kick Off,Hannah Godfrey,31552.0,Right Center Back,2,Tottenham Hotspur Women,749,"['6c2ebf87-fcde-484e-96d7-081385f8910e', '81f0e6e9-59f5-47ab-aea3-c75f60c8e1bf']",5,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:05.688,Pass,True
,,,,,,,,,,,,,,,,5.974041,,,,,,,,,,,,6c2ebf87-fcde-484e-96d7-081385f8910e,13,,"[47.4, 34.0]",2275139,0,,,,,-0.30438256,,Right Foot,,,,"[108.2, 14.9]",,High Pass,,63.729507,,Incomplete,,Leah Galton,31539.0,,,,,Recovery,1,From Kick Off,Millie Turner,31536.0,Left Center Back,2,Tottenham Hotspur Women,749,"['3f7d7476-6199-44b0-9e6d-955a8571344c', 'b1a9914b-5a9c-4ae2-9b79-9c1349b7ae97', 'b5b96c8d-89c1-4464-adbe-9ad17e68993a']",8,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:08.819,Pass,
