ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b10daefe-33ab-4f3f-b357-d62d865822c4,1,,,,3775608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 25}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41931e1b-bafa-4942-b1d0-47dc3b4d56db,2,,,,3775608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,86f25882-a07c-42f7-a05b-942cbc76c102,3,,,,3775608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['b166dc48-c333-456f-b6da-d44c56437808'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b166dc48-c333-456f-b6da-d44c56437808,4,,,,3775608,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['86f25882-a07c-42f7-a05b-942cbc76c102'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0a5cf62b-ec30-4206-9b9a-6b6241da9f57,1858,,,,3775608,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,112,West Ham United LFC,972,['af7912b3-7a44-41e8-a76d-7c763ade9704'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,af7912b3-7a44-41e8-a76d-7c763ade9704,1859,,,,3775608,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,112,West Ham United LFC,972,['0a5cf62b-ec30-4206-9b9a-6b6241da9f57'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.689762,,,,,,,,,,,,4fd1b9fb-bb3a-4e70-8fa9-d542fcdc6f36,5,,,"[60.0, 40.0]",3775608,0,,,,,-2.5107312,,Right Foot,,,"[48.5, 31.6]",,Ground Pass,,14.2411375,,,Josie Green,4865.0,,,,,Kick Off,1,From Kick Off,Jessica Naz,61467.0,Center Forward,2,Tottenham Hotspur Women,749,['4ffd3c18-b1bf-4a87-8593-87fa5f5b681b'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.280,Pass,
,,,,,,,,,,,,,,,1.651533,,,,,,,,,,,,b1589b7e-5091-4868-8d23-f356967c5897,8,,,"[46.2, 32.4]",3775608,0,,,,,2.501365,,Left Foot,,,"[26.6, 47.0]",,Ground Pass,,24.44013,,,Hannah Godfrey,31552.0,,,,,,1,From Kick Off,Josie Green,4865.0,Left Defensive Midfield,2,Tottenham Hotspur Women,749,['e4f6f7d2-a141-4104-8c92-ef1d60bc979a'],1,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:01.887,Pass,
,,,,,,,,,,,,,,,1.702517,,,,,,,,,,,,26d7af88-1dce-4bd5-a2c4-da4d4b32fd19,11,,,"[26.8, 50.5]",3775608,0,,,,,1.1566949,,Right Foot,,,"[37.7, 75.3]",,Ground Pass,,27.089666,,,Ria Percival,18145.0,,,,,,1,From Kick Off,Hannah Godfrey,31552.0,Right Center Back,2,Tottenham Hotspur Women,749,['67e66bf2-e01b-44e9-9323-8467978ccad0'],4,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:04.753,Pass,
,,,,,,,,,,,,,,,1.143585,,,,,,,,,,,,2e1f6317-0dd9-4762-a62e-4c12aeb3d018,14,,,"[38.1, 74.1]",3775608,0,,,,,-2.2455373,,Right Foot,,,"[24.9, 57.6]",,Ground Pass,,21.13031,,,Hannah Godfrey,31552.0,,,,,,1,From Kick Off,Ria Percival,18145.0,Right Back,2,Tottenham Hotspur Women,749,['549aeca1-7471-4bee-9325-7b9d33a04b2c'],7,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:07.043,Pass,
