50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d074db12-ddc1-4716-8a0f-01336af84901,1,,,19791,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f8d65143-2818-4548-918a-1dbde01d60ee,2,,,19791,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 3142, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 10088, 'name': 'Katrine Veje'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 2}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15610, 'name': 'Ava Kuyken'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,60a891e7-12b8-4f21-834b-651d324a5cee,3,,,19791,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['0eaec8a2-044a-420e-b846-71816e75e018'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0eaec8a2-044a-420e-b846-71816e75e018,4,,,19791,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['60a891e7-12b8-4f21-834b-651d324a5cee'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e7c8e6a4-3a75-4b66-89e1-d0702d94f6a2,1737,,,19791,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Reading WFC,974,['fb229c68-5f5e-4fc0-b1d1-714b6a608aec'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fb229c68-5f5e-4fc0-b1d1-714b6a608aec,1738,,,19791,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Reading WFC,974,['e7c8e6a4-3a75-4b66-89e1-d0702d94f6a2'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.3908,,,,,,,,,,,,,,,2952c96b-92da-48ea-9c61-8f85f1fe664f,5,,"[61.0, 41.0]",19791,0,,,-1.19029,,,Right Foot,,,,"[65.0, 31.0]",,Ground Pass,10.770329,,,Brooke Chaplen,15723.0,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Center Attacking Midfield,2,Reading WFC,974,['7b09a652-2ac0-4c44-9c2a-2e6824e7b261'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.337,Pass,
,,,,,,,,,,,,,1.639479,,,,,,,,,,,,,,,e7306ce6-5d89-4313-9b48-dac41c8e4634,8,,"[66.0, 31.0]",19791,0,,,-1.6614562,,,Right Foot,,,,"[64.0, 9.0]",,Ground Pass,22.090721,,,Mayumi Pacheco,15724.0,,,,,,1,From Kick Off,Brooke Chaplen,15723.0,Left Center Forward,2,Reading WFC,974,['283a1e04-d7bf-44cb-aeef-f9eb3ffdde11'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.791,Pass,
,,,,,,,,,,,,,1.7283,,,,,,,,,,,,,,,59ca5afe-3903-4d8f-9826-d61023f9f1e5,11,,"[64.0, 9.0]",19791,0,,,2.7928216,,,Left Foot,,,,"[42.0, 17.0]",,Ground Pass,23.409399,,,Josanne Potter,10198.0,,,,,,1,From Kick Off,Mayumi Pacheco,15724.0,Left Back,2,Reading WFC,974,['9ad57d7b-406a-42ab-8eb1-515bc593c95a'],3,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.683,Pass,
,,,,,,,,,,,,,1.462,,,,,,,,,,,,,,,f472f947-c35a-4167-88f7-80939c4531e3,14,,"[42.0, 17.0]",19791,0,,,1.6951513,,,Left Foot,,,,"[37.0, 57.0]",,Ground Pass,40.311287,,,Molly Bartrip,21021.0,,True,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['6e75c516-2d34-4ba5-95da-6cb6dd3e6fca'],6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.593,Pass,
