50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,72a9525d-55c4-4aaf-9c4a-19a4dce3b0b6,1,,,,19774,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,67d48e5e-af6f-4ada-b47d-007dd9778a46,2,,,,19774,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,54257c42-ac1e-4d1f-bb26-75c4880ded04,3,,,,19774,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['7b087f86-9c7a-4280-be72-76974fc38841'],0,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,7b087f86-9c7a-4280-be72-76974fc38841,4,,,,19774,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Everton LFC,967,['54257c42-ac1e-4d1f-bb26-75c4880ded04'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,28d17692-dca3-499f-ae43-9aeee3414f6d,1796,,,,19774,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Bristol City WFC,973,['93f779cf-6f77-49cf-a0bd-676f4e2a3b8f'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,93f779cf-6f77-49cf-a0bd-676f4e2a3b8f,1797,,,,19774,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Bristol City WFC,973,['28d17692-dca3-499f-ae43-9aeee3414f6d'],0,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,1.175413,,,,,,,,,,,,f13fccf1-7e78-4ac0-8f4b-8187b15f55fb,5,,,"[61.0, 41.0]",19774,0,,,-3.0750246,,,Right Foot,,,,"[46.0, 40.0]",,Ground Pass,15.033297,,Julie Biesmans,10095.0,,,,,Kick Off,1,From Kick Off,Carla Humphrey,16384.0,Right Defensive Midfield,2,Bristol City WFC,973,['f8fc8850-ccab-4ec0-b1da-286ebffccf26'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.723,Pass,
,,,,,,,,,,,,2.318447,,,,,,,,,,,,28e9760b-4e04-40b2-81a8-c5d6f2f0cbb2,9,,,"[49.0, 39.0]",19774,0,,,-0.3686959,,,Right Foot,,,,"[93.0, 22.0]",,High Pass,47.169907,Incomplete,Ella Rutherford,16388.0,,,,,,1,From Kick Off,Julie Biesmans,10095.0,Left Defensive Midfield,2,Bristol City WFC,973,"['7c0d17f8-8f80-40cf-93d5-a8a8c772e6d1', '7e63c98a-c6c2-429d-a2a6-13879b6f2e79', 'f18e6894-6e42-48fe-9770-9fac2d062471']",2,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.698,Pass,True
,,,,,,,,,,,,2.200576,,,,,,,,,,,,f18e6894-6e42-48fe-9770-9fac2d062471,11,,,"[28.0, 59.0]",19774,0,,,0.088007376,,,Head,,,,"[62.0, 62.0]",,Low Pass,34.132095,Incomplete,Inessa Kaagman,15579.0,,,,,Recovery,1,From Kick Off,Faye Bryson,15578.0,Right Back,2,Bristol City WFC,973,"['115b6b90-1063-4408-8fef-6e72418990b9', '28e9760b-4e04-40b2-81a8-c5d6f2f0cbb2', 'd9639587-9042-4fe4-9efd-9db1aa976163']",5,,,,,,,,,,,,,,,Everton LFC,967,00:00:05.017,Pass,
,,,,,,,,,,,,1.086229,,,,,,,,,,,,11334026-2e4a-4165-8a43-4c1788887232,16,,,"[53.0, 20.0]",19774,0,,,3.024484,,,Right Foot,,,,"[36.0, 22.0]",,Ground Pass,17.117243,,Frankie Brown,10171.0,,,,,,1,From Kick Off,Poppy Pattinson,17274.0,Left Back,2,Bristol City WFC,973,['79d7ac4a-54d3-4d58-ae4d-d39298332d82'],8,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:08.886,Pass,
