ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.718752,,,,,,,,,,,,,,de27b1f4-6465-465c-a825-15012b92827d,17,,"[117.2, 11.8]",3775645,0,,,,,-1.915015,,Right Foot,,,"[115.3, 6.5]",,Ground Pass,,5.6302752,,Incomplete,,Danielle Turner,15571.0,,,,,,,1,From Throw In,Claire Emslie,4646.0,Center Attacking Midfield,3,Everton LFC,967,"['20efdf21-431b-4268-a9cf-bad7cf9e64bc', 'c97048a5-78b3-4e01-99bf-35525bf9f0a7']",27,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:27.023,Pass,
,,,,,,,,,,,,,,,,,,1.06005,,,,,,,,,,,,,,ae64fecf-f45d-4ed8-9339-d7b07286a4f2,20,,"[6.1, 80.0]",3775645,0,,,,,-0.96994096,,,,,"[12.2, 71.1]",,High Pass,,10.78981,,,,Melanie Leupolz,15648.0,,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,4,Chelsea FCW,971,['4e86869c-80f9-4232-bd38-3737c8e65eb6'],41,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:41.825,Pass,
,,,,,,,,,,,,,,,,,,1.052175,,,,,,,,,,,,,,06bb2e04-bc6c-45fc-aece-7afde6cef18e,24,,"[9.8, 71.7]",3775645,0,,,,,2.5269296,,Right Foot,,,"[4.7, 75.3]",,Ground Pass,,6.2425957,,,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Throw In,Melanie Leupolz,15648.0,Center Defensive Midfield,4,Chelsea FCW,971,['33d393c8-979a-4dbb-821a-feed455d93e5'],44,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:44.031,Pass,
,,,,,,,,,,,,,,,,,,1.277524,,,,,,,,,,,,,,5f4cd2bb-0473-44d8-a53e-bb678b13fa4e,26,,"[4.7, 75.3]",3775645,0,,,,,-1.94513,,Right Foot,,,"[1.4, 66.9]",,Ground Pass,,9.024965,,,,Millie Bright,4642.0,,,,,,,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,4,Chelsea FCW,971,['c615d8e2-a771-4a34-92fd-8968a0c93227'],45,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:45.083,Pass,
,,,,,,,,,,,,,,,,,,0.133314,,,,,,,,,,,,,,e158acc7-eb3c-4e9d-ba61-8f3184ca1292,34,,"[2.2, 64.5]",3775645,0,,,,,0.0,,Right Foot,,,"[4.5, 64.5]",,Ground Pass,,2.3,,Incomplete,,,,,,,,,,1,From Throw In,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,"['ba55c37f-f3cb-4cb3-aba7-97f157f07f4b', 'eb6662e3-07a2-4c9b-97ac-7460845e02c1']",49,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:49.327,Pass,True
,,,,,,,,,,,,,,,,,,1.208385,,,,,,,,,,,,,,2ef8819f-a4c4-4155-91e4-f7d2f4b32719,37,,"[112.9, 13.2]",3775645,0,,,,,-2.6405792,,Right Foot,,,"[100.3, 6.3]",,Ground Pass,,14.365583,,,,Danielle Turner,15571.0,,,,,,Recovery,1,Regular Play,Simone Magill,15559.0,Center Forward,5,Everton LFC,967,"['52a6c573-19c0-49d0-832d-d0c5564c1c1e', '8dd4d194-d815-4b0d-ac93-fca548ada2fa']",50,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:50.952,Pass,True
,,,,,,,,,,,,,,,,,,0.854511,,,,,,,,,,,,,,47ddd808-b590-4499-a758-72c5dfb96a20,41,,"[97.8, 6.3]",3775645,0,,,,,2.2854466,,Right Foot,,,"[91.9, 13.1]",,Ground Pass,,9.002777,,,,Damaris Berta Egurrola Wienke,47541.0,,,,,,,1,Regular Play,Danielle Turner,15571.0,Left Back,5,Everton LFC,967,"['2b3cc339-9182-4f2e-a2a5-ab7c040356a7', '5f4139e1-fe87-49e2-abdf-6422e0c090b9']",52,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:52.673,Pass,True
,,,,,,,,,,,,,,,,,,1.746911,,,,,,,,,,,,,,5df0ccf8-023c-489d-a576-0d6449356488,45,,"[93.1, 12.6]",3775645,0,,,,,1.2285645,,Left Foot,True,,"[104.5, 44.6]",,High Pass,,33.969986,,Incomplete,,Nicoline Sørensen,10274.0,,,,,,,1,Regular Play,Damaris Berta Egurrola Wienke,47541.0,Left Defensive Midfield,5,Everton LFC,967,"['1db82961-eb5f-46b7-81e8-1b19974b1cef', '21b0d87c-b7fd-4ec4-a75e-d07486d4610f', 'c1600331-2952-485d-b26e-dd237567c6a4']",54,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:54.171,Pass,True
,,,,,,,,,,,,,,,,,,1.262872,,,,,,,,,,,,,,21b0d87c-b7fd-4ec4-a75e-d07486d4610f,47,,"[15.6, 35.5]",3775645,0,,,,,0.040960684,,Right Foot,,,"[27.8, 36.0]",,Low Pass,,12.210241,,Incomplete,,Erin Cuthbert,4660.0,,,,,,Recovery,1,Regular Play,Jonna Ann-Charlotte Andersson,10222.0,Left Back,5,Everton LFC,967,"['5df0ccf8-023c-489d-a576-0d6449356488', '798d0853-cf45-4609-a3c2-42b06e545633', 'd20d5790-afd2-4a15-8bbc-d93186f95144']",55,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:55.918,Pass,
,,,,,,,,,,,,,,,,,,2.416973,,,,,,,,,,,,,,d20d5790-afd2-4a15-8bbc-d93186f95144,49,,"[92.3, 44.1]",3775645,0,,,,,-0.14189705,,Right Foot,,,"[113.3, 41.1]",,Ground Pass,,21.213203,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Isobel Mary Christiansen,4645.0,Right Defensive Midfield,5,Everton LFC,967,"['21b0d87c-b7fd-4ec4-a75e-d07486d4610f', 'a6acdaab-86f4-4e46-a67a-08c60524bb1b']",57,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:57.180,Pass,
