ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,49106bd1-1b09-4755-9fc2-1e5d6abf77a9,1,,,19753,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,871a6d37-9eb5-481a-bd69-a175cf90c07c,2,,,19753,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,3ca21dad-15b3-4c64-909a-d65b189931d2,3,,,19753,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['bf63a908-8215-4db3-a054-c68948d5ff21'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,bf63a908-8215-4db3-a054-c68948d5ff21,4,,,19753,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['3ca21dad-15b3-4c64-909a-d65b189931d2'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,2f4f2a8d-a792-4d2c-ace1-ee9beb09ddc9,1450,,,19753,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Bristol City WFC,973,['6f78f684-b237-4775-ad89-9de1b19f8677'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,0.0,,,,,,,,6f78f684-b237-4775-ad89-9de1b19f8677,1451,,,19753,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Bristol City WFC,973,['2f4f2a8d-a792-4d2c-ace1-ee9beb09ddc9'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,0.950264,,,,,,,,dea86482-fa5a-41ce-8d90-5dc1f4477bf2,5,,"[61.0, 41.0]",19753,0,,,,1.3258177,,,Left Foot,,,,"[64.0, 53.0]",,Ground Pass,12.369317,,Lauren Bruton,15726.0,,,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Left Center Midfield,2,Reading WFC,974,['11884cce-38ca-46f7-9ed2-8a178ec32d5c'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.437,Pass,
,,,,,,,,,,,1.199852,,,,,,,,2d0ea29a-3889-4f09-b1dc-af714f1d78e1,9,,"[74.0, 59.0]",19753,0,,,,1.3521274,,,Right Foot,,,,"[78.0, 77.0]",,Ground Pass,18.439089,,Natasha Harding,15725.0,,,,,,1,From Kick Off,Lauren Bruton,15726.0,Right Center Forward,2,Reading WFC,974,['73b49fef-31ac-4662-a58d-9ce769f6f231'],3,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.609,Pass,
,,,,,,,,,,,1.325318,,,,,,,,fe9d1f99-023f-4741-99ce-1f4af134b4fa,13,,"[71.0, 77.0]",19753,0,,,,-2.7610862,,,Right Foot,,,,"[56.0, 71.0]",,Ground Pass,16.155495,,Kirstyn Pearce,18152.0,,,,,,1,From Kick Off,Natasha Harding,15725.0,Right Back,2,Reading WFC,974,['53ec044a-d454-4aab-85b7-c2435584ac9b'],6,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.461,Pass,
,,,,,,,,,,,1.996847,,,,,,,,6498e147-5575-48ee-9171-217c2f7b4f2c,16,,"[58.0, 72.0]",19753,0,,,,-1.673878,,,Right Foot,,,,"[55.0, 43.0]",,Ground Pass,29.15476,,Josanne Potter,10198.0,,,,,,1,From Kick Off,Kirstyn Pearce,18152.0,Right Center Back,2,Reading WFC,974,['12f7f4f1-9e66-4198-a109-6a92ef919519'],9,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:09.043,Pass,
,,,,,,,,,,,1.99762,,,,,,,,64f54722-e621-4ad0-be82-c0ab31623c17,19,,"[57.0, 41.0]",19753,0,,,,0.33563855,,,Left Foot,,,,"[100.0, 56.0]",,High Pass,45.54119,Incomplete,,,,,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['4affdf30-abfa-473e-b44f-36606852bf8b'],12,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:12.573,Pass,
,,,,,,,,,,,2.144108,,,,,,,,4affdf30-abfa-473e-b44f-36606852bf8b,20,,"[21.0, 25.0]",19753,0,,,,0.0,,,Left Foot,,,,"[35.0, 25.0]",,High Pass,14.0,Incomplete,,,,,,,Recovery,1,From Kick Off,Gemma Evans,16381.0,Left Back,2,Reading WFC,974,"['64f54722-e621-4ad0-be82-c0ab31623c17', 'fd8230b3-e398-40db-8ca9-85847b89adf5']",14,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:14.571,Pass,
,,,,,,,,,,,1.871555,,,,,,,,fd8230b3-e398-40db-8ca9-85847b89adf5,21,,"[86.0, 56.0]",19753,0,,,,0.90975314,,,Head,,,,"[93.0, 65.0]",,Low Pass,11.401754,Incomplete,Fara Williams,10251.0,,,,,Recovery,1,From Kick Off,Jade Moore,10190.0,Right Midfield,2,Reading WFC,974,"['0c269c38-ad4b-44b1-ad41-292cdd2ed854', '4affdf30-abfa-473e-b44f-36606852bf8b', 'c87cf9b9-2844-4b5b-bc9b-e91c81fe95af']",16,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:16.715,Pass,
,,,,,,,,,,,1.229422,,,,,,,,5c86ad83-51ff-4a8a-b852-1b9179eaf8d0,29,,"[86.0, 70.0]",19753,0,,,,0.7853982,,,Right Foot,,,,"[90.0, 74.0]",,Low Pass,5.656854,,Fara Williams,10251.0,,,,,,1,From Kick Off,Natasha Harding,15725.0,Right Back,2,Reading WFC,974,['6588369f-3903-4917-8e8b-f1f3661643cb'],23,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:23.038,Pass,
,,,,,,,,,,,3.06102,,,,,,,,1d09dbde-a4d0-4ee5-9b1f-acd6bf195cce,32,,"[86.0, 76.0]",19753,0,,,,-1.9756881,,,Left Foot,,,,"[65.0, 27.0]",,Low Pass,53.310413,,Mayumi Pacheco,15724.0,,True,,,,1,From Kick Off,Fara Williams,10251.0,Left Center Midfield,2,Reading WFC,974,['c6020760-5e03-4e87-87e4-2618029d3c7b'],26,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:26.274,Pass,
