ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,593aba81-1f2a-48dd-a813-a702403d3935,1,,,,3775658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,c2f24a5e-e010-44e4-90f1-8d2430fcb0d3,2,,,,3775658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,6595553b-bb82-4107-8ac0-d0b5bad369eb,3,,,,3775658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['7aa425d8-6743-4858-854e-80e444975a36'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,7aa425d8-6743-4858-854e-80e444975a36,4,,,,3775658,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['6595553b-bb82-4107-8ac0-d0b5bad369eb'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,5a479dc0-0f6b-40c7-992d-6e4e7bf36783,1824,,,,3775658,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Manchester United,1475,['91a51558-738e-4a5e-9f62-6a61bca83911'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,91a51558-738e-4a5e-9f62-6a61bca83911,1825,,,,3775658,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Manchester United,1475,['5a479dc0-0f6b-40c7-992d-6e4e7bf36783'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.042887,,,,,,,,,7441061f-e025-43f2-8dec-f1c1b2d7b07f,5,,,"[61.0, 40.1]",3775658,0,,,,2.4468544,,Right Foot,,,"[45.4, 53.1]",,Ground Pass,,20.306648,,,Katie Zelem,31540.0,,,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Attacking Midfield,2,Manchester United,1475,['6bdd91c3-de4f-4166-8eb9-33f0968e679d'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.577,Pass,
,,,,,,,,,,,,,,,,1.285179,,,,,,,,,4e6d5ee2-73ea-4607-96a9-c37f5d9d4b3c,9,,,"[46.1, 52.9]",3775658,0,,,,-2.8165848,,Right Foot,,,"[27.7, 46.7]",,Ground Pass,,19.416489,,,Millie Turner,31536.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Right Center Midfield,2,Manchester United,1475,"['21dee5a2-479d-406e-a917-b2f66637006a', 'e018c5f9-86dc-496f-93e7-4cf5b84a86db']",2,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:02.366,Pass,True
,,,,,,,,,,,,,,,,1.983521,,,,,,,,,89d3c63d-eb7c-4945-ad3d-ffbf341731fe,12,,,"[27.7, 46.7]",3775658,0,,,,1.4682164,,Left Foot,,,"[29.8, 67.1]",,Ground Pass,,20.507803,,,Amy Turner,31533.0,,,,,,,1,From Kick Off,Millie Turner,31536.0,Left Center Back,2,Manchester United,1475,['ee331995-5466-4618-9ae5-7f70b29991b6'],4,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:04.374,Pass,
,,,,,,,,,,,,,,,,6.894134,,,,,,,,,edb33e1d-c97f-4ea7-a1e8-945b6a159c99,15,,,"[34.0, 70.2]",3775658,0,,,,0.12204375,,Right Foot,,,"[113.9, 80.0]",,High Pass,,80.49876,,Out,Jackie Groenen,10654.0,,,,,,,1,From Kick Off,Amy Turner,31533.0,Right Center Back,2,Manchester United,1475,['e20c0121-a225-45b5-81ce-bdab5f3e00f4'],7,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:07.796,Pass,
,,,,,,,,,,,,,,,,0.860261,,,,,,,,,72d32a6c-4b64-424e-bfc7-916cd602b474,17,,,"[21.1, 0.1]",3775658,0,,,,1.1137276,,,,,"[24.1, 6.2]",,Low Pass,,6.797794,,,Caroline Weir,10188.0,,,,,,Throw-in,1,From Throw In,Alex Greenwood,10252.0,Left Back,3,Manchester City WFC,746,['7f52e412-3caa-40dd-8e94-cda03f42a11a'],24,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:24.725,Pass,
,,,,,,,,,,,,,,,,0.934598,,,,,,,,,0e4397b6-a3c0-4561-a2f7-07f8ee579a6a,20,,,"[23.6, 6.4]",3775658,0,,,,-2.5296903,,Left Foot,,,"[17.9, 2.4]",,Ground Pass,,6.963476,,,Alex Greenwood,10252.0,,,,,,,1,From Throw In,Caroline Weir,10188.0,Left Center Midfield,3,Manchester City WFC,746,"['49f3627b-7605-4658-8201-86b81366e934', 'b325e781-67fe-45f9-82f4-c956489237b1']",25,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:25.585,Pass,True
,,,,,,,,,,,,,,,,2.171811,,,,,,,,,2951d7b3-fbe1-42f1-979a-962a12c809c2,22,,,"[17.9, 2.4]",3775658,0,,,,-0.021273386,,Left Foot,,,"[41.4, 1.9]",,High Pass,,23.505318,,Incomplete,Ellen White,10180.0,,,,,,,1,From Throw In,Alex Greenwood,10252.0,Left Back,3,Manchester City WFC,746,"['8e9d580c-c186-4e5d-87fb-3f1202b932b9', 'f543778a-a33e-44fb-9482-1a1071959a5c']",26,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:26.520,Pass,
,,,,,,,,,,,,,,,,1.048752,,,,,,,,,f543778a-a33e-44fb-9482-1a1071959a5c,24,,,"[78.7, 78.2]",3775658,0,,,,-0.15808997,,Head,,,"[85.6, 77.1]",,Low Pass,,6.987131,,,Ella Toone,31534.0,,,,,,Recovery,1,From Throw In,Maria Thorisdottir,4636.0,Right Back,3,Manchester City WFC,746,"['2951d7b3-fbe1-42f1-979a-962a12c809c2', '706fce0f-f409-47a9-bf4e-51d2fdf0820e']",28,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:28.691,Pass,
,,,,,,,,,,,,,,,,0.407405,,,,,,,,,e1b0ed9f-58b5-4bb2-8fc5-9850d6c70600,32,,,"[20.8, 2.6]",3775658,0,,,,-0.17427044,,Left Foot,,,"[35.0, 0.1]",,Low Pass,,14.418391,,Out,,,,,,,,,1,From Throw In,Alex Greenwood,10252.0,Left Back,3,Manchester City WFC,746,,37,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:37.811,Pass,
,,,,,,,,,,,,,,,,1.352702,,,,,,,,,a7a0af79-0eb2-4355-af92-f26ab70f0ae4,33,,,"[98.6, 80.0]",3775658,0,,,,-0.5322095,,,,,"[116.6, 69.4]",,Low Pass,,20.88923,,,Ella Toone,31534.0,,,,,,Throw-in,1,From Throw In,Maria Thorisdottir,4636.0,Right Back,4,Manchester United,1475,['2fafcce6-8d8a-4169-843b-94ca24dd22d8'],59,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:59.622,Pass,
,,,,,,,,,,,,,,,,1.129098,,,,,,,,,065ebacd-804b-4ae1-b707-57062d50c00a,39,,,"[111.9, 80.0]",3775658,1,,,,-2.3713448,,,,,"[105.2, 73.5]",,Low Pass,,9.334881,,,Katie Zelem,31540.0,,,,,,Throw-in,1,From Throw In,Maria Thorisdottir,4636.0,Right Back,5,Manchester United,1475,['b57d27d6-095b-44ac-831d-dceca8758fb8'],10,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:10.315,Pass,
,,,,,,,,,,,,,,,,2.340838,,,,,,,,,26531dc9-7e8a-4346-a125-48bfccc617a0,43,,,"[108.8, 74.9]",3775658,1,,,,3.1102128,,Left Foot,,,"[86.5, 75.6]",,High Pass,,22.310984,,Incomplete,Amy Turner,31533.0,,,,,,,1,From Throw In,Katie Zelem,31540.0,Right Center Midfield,5,Manchester United,1475,"['1080012b-3ae5-4b23-b7c1-097d9b3eabcc', '4ed9cb1f-c4f1-4e4e-810e-8aafec7ba01b', '866a9537-5439-4ec6-9d57-763c4f83c4b2']",12,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:12.117,Pass,True
