ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,23890186-bdd1-44e4-946a-4438b7f678b8,1,,,3775657,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10235, 'name': 'Viktoria Schnaderbeck'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7816ddf-76dc-4a7d-858a-da20565c5329,2,,,3775657,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 46737, 'name': 'Ella Jade Mastrantonio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 46738, 'name': 'Emma Bissell'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c120c6db-635d-4c55-88e5-0b236a94d85b,3,,,3775657,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['05b988c2-4fd9-4b90-8422-f122b180829a'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05b988c2-4fd9-4b90-8422-f122b180829a,4,,,3775657,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['c120c6db-635d-4c55-88e5-0b236a94d85b'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ecadb5d-9c92-458a-869e-086af441085b,1824,,,3775657,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Arsenal WFC,968,['a9293da6-b547-4192-8224-1edc02c2a969'],0,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a9293da6-b547-4192-8224-1edc02c2a969,1825,,,3775657,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Arsenal WFC,968,['2ecadb5d-9c92-458a-869e-086af441085b'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.147492,,,,,,,,,,,,a14ea5cc-e578-4484-83ba-b04aecf0e56e,5,,"[61.0, 40.1]",3775657,0,,,,3.1121893,,Right Foot,,,,"[30.4, 41.0]",,Ground Pass,30.613232,,,,,Jasmine Matthews,15618.0,,,,,,Kick Off,1,From Kick Off,Abigail Harrison,23412.0,Left Center Forward,2,Bristol City WFC,973,['3c53853c-f965-4ac0-a98e-1fcee5f10896'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.367,Pass,
,,,,,,,,,,,,,,,2.300015,,,,,,,,,,,,364e3468-214e-4270-9a94-ffa3fa2c6a6f,8,,"[29.8, 41.0]",3775657,0,,,,1.4296644,,Left Foot,,,,"[35.0, 77.6]",,Ground Pass,36.967552,,,,,Aimee Palmer,36801.0,,,,,,,1,From Kick Off,Jasmine Matthews,15618.0,Right Center Back,2,Bristol City WFC,973,['17e835a2-3341-4a21-8e7a-153aaf919449'],3,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.741,Pass,
,,,,,,,,,,,,,,,1.623032,,,,,,,,,,,,2aee8556-be31-49bf-9feb-99f061c1e5bf,12,,"[33.6, 76.8]",3775657,0,,,,-1.9704744,,Right Foot,,,,"[28.7, 65.2]",,Ground Pass,12.592458,,,,,Jasmine Matthews,15618.0,,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Right Back,2,Bristol City WFC,973,"['e82f90bc-66c0-4adb-8d08-65ded5dc6363', 'ee193994-1bff-43ce-8e8f-f9aeb1426063']",6,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.250,Pass,True
,,,,,,,,,,,,,,,0.113582,,,,,,,,,,,,ee57d84e-268b-478d-9166-a9062907acc7,14,,"[28.7, 65.2]",3775657,0,,,,0.84089667,,Right Foot,,,,"[30.4, 67.1]",,Ground Pass,2.5495098,,,Incomplete,,,,,,,,,,1,From Kick Off,Jasmine Matthews,15618.0,Right Center Back,2,Bristol City WFC,973,['0e4aff23-25fb-47e6-b649-5b0071c25a0f'],7,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:07.873,Pass,
