50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5a43798a-1b71-4d5d-b7be-88ed4bd2b259,1,,,2275061,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31530, 'name': 'Vita van der Linden'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,59868951-c7cf-4229-b049-2c09709661ac,2,,,2275061,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31528, 'name': 'Matilde Lundorf Skovsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 31529, 'name': 'Léa Le Garrec'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,83272f46-918d-4ad5-9fa4-0901205c599f,3,,,2275061,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['f71ab049-1756-45e0-b80e-aeb9be63cee4'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f71ab049-1756-45e0-b80e-aeb9be63cee4,4,,,2275061,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['83272f46-918d-4ad5-9fa4-0901205c599f'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c9fd0eab-ee81-4854-9469-2c6dfdc8b706,1623,,,2275061,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,126,Bristol City WFC,973,['29162027-23dc-4c1b-a40c-9da7bbbf93e8'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,29162027-23dc-4c1b-a40c-9da7bbbf93e8,1624,,,2275061,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,126,Bristol City WFC,973,['c9fd0eab-ee81-4854-9469-2c6dfdc8b706'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.693958,,,,,,,,,,,,,,,e07e3c0a-ca10-4f13-b617-879522564b57,5,,"[60.0, 40.0]",2275061,0,,,,,2.878195,,Left Foot,,,"[51.1, 42.4]",Ground Pass,,9.217917,,,Megan Connolly,23413.0,,,,,,Kick Off,1,From Kick Off,Léa Le Garrec,31529.0,Left Center Midfield,2,Brighton & Hove Albion WFC,965,['3223ea9d-0b5f-41e1-ad35-ff67d97d6e5d'],1,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:01.185,Pass,
,,,,,,,,,,,,,,,,2.169407,,,,,,,,,,,,,,,46d3d6da-63c9-409d-8c82-945f926449b5,8,,"[54.2, 46.6]",2275061,0,,,,,1.5248922,,Left Foot,,,"[55.5, 74.9]",Ground Pass,,28.329844,,,Matilde Lundorf Skovsen,31528.0,,,,,,,1,From Kick Off,Megan Connolly,23413.0,Center Defensive Midfield,2,Brighton & Hove Albion WFC,965,['a1650bb1-2485-4b8d-8d6f-4d4a7fe96ca2'],3,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:03.539,Pass,
,,,,,,,,,,,,,,,,0.77576,,,,,,,,,,,,,,,935581cd-ce60-4aa9-a132-0a2c4e25da9d,11,,"[55.8, 74.6]",2275061,0,,,,,0.15449661,,Right Foot,,,"[68.0, 76.5]",Ground Pass,,12.347064,,,Ellie Brazil,16393.0,,,,,,,1,From Kick Off,Matilde Lundorf Skovsen,31528.0,Right Back,2,Brighton & Hove Albion WFC,965,['a4dcd99c-80e5-4bb6-8e51-7d866ff860f8'],5,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:05.834,Pass,
,,,,,,,,,,,,,,,,0.493968,,,,,,,,,,,,,,,3e40e986-42cc-47bc-8fe8-a224f928b019,15,,"[67.3, 76.5]",2275061,0,,,,,-2.7445133,,Right Foot,,,"[64.2, 75.2]",Ground Pass,,3.3615472,Incomplete,,Matilde Lundorf Skovsen,31528.0,,,,,,,1,From Kick Off,Ellie Brazil,16393.0,Right Wing,2,Brighton & Hove Albion WFC,965,"['3cfb93a3-3866-40b9-91c1-1ee993f7a789', 'a161af5b-cb8e-415d-9d70-e1f071f2a915', 'e32bea04-cc02-435f-bbf4-dc455f3869f5']",7,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:07.350,Pass,True
