ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be854555-ee62-400e-862c-5e498b4084db,1,,,3775642,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 13}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a11b8f28-0e76-4a49-839f-c5f76686f93f,2,,,3775642,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 13861, 'name': 'Nora Heroum'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf14bd12-2c79-42f3-adc4-f3e77b8f6227,3,,,3775642,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['fb9e1187-1a6d-49e2-9cf9-2e2fe12bd2b5'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb9e1187-1a6d-49e2-9cf9-2e2fe12bd2b5,4,,,3775642,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['cf14bd12-2c79-42f3-adc4-f3e77b8f6227'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19adb97c-031b-4153-a290-bff5378f57a9,1551,,,3775642,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Brighton & Hove Albion WFC,965,['315c5f15-ee74-4829-83e8-826a7d4ffdda'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,315c5f15-ee74-4829-83e8-826a7d4ffdda,1552,,,3775642,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,106,Brighton & Hove Albion WFC,965,['19adb97c-031b-4153-a290-bff5378f57a9'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.468742,,,,,,,,,,,,,0ff2c680-985d-4ad3-a3bb-1ff09b8710ab,5,,"[61.0, 40.1]",3775642,0,,,,,3.0503435,,Right Foot,,,,"[30.4, 42.9]",Ground Pass,,30.727837,,,Victoria Williams,16395.0,,,,,Kick Off,1,From Kick Off,Geum-Min Lee,25453.0,Center Forward,2,Brighton & Hove Albion WFC,965,['31e2601a-e086-4dac-a5cb-32bb5942fd2b'],0,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.887,Pass,
,,,,,,,,,,,,,,,,,,1.790996,,,,,,,,,,,,,fdc315bc-1f44-4381-a9c4-e0f70d53ad81,8,,"[26.6, 38.2]",3775642,0,,,,,1.5145555,,Right Foot,,,,"[28.7, 75.5]",Ground Pass,,37.35907,,,Danique Kerkdijk,16383.0,,,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['7ed0222d-f856-472e-9e20-3a5cbbc01c96'],4,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:04.375,Pass,
,,,,,,,,,,,,,,,,,,1.2962,,,,,,,,,,,,,7f7fd000-31c5-4fa5-8d44-9597f78a0f79,11,,"[29.6, 71.0]",3775642,0,,,,,0.33155417,,Right Foot,,,,"[41.8, 75.2]",Ground Pass,,12.902713,,,Maya Le Tissier,22337.0,,,,,,1,From Kick Off,Danique Kerkdijk,16383.0,Right Center Back,2,Brighton & Hove Albion WFC,965,['33d7e4c1-9863-4625-9d40-d0d70e8f75e9'],6,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:06.542,Pass,
,,,,,,,,,,,,,,,,,,1.018094,,,,,,,,,,,,,1e601624-8295-4302-bfea-87a70207432d,14,,"[40.0, 75.5]",3775642,0,,,,,-1.5707964,,Right Foot,,,,"[40.0, 64.8]",Ground Pass,,10.7,,,Aileen Whelan,16374.0,,,,,,1,From Kick Off,Maya Le Tissier,22337.0,Right Back,2,Brighton & Hove Albion WFC,965,"['2e8da782-ac1f-4451-9a5d-275f931e9730', 'fafb08f9-494d-414b-a25b-efad389789c1']",7,,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:07.838,Pass,True
