50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dd9b15dd-7ec4-43c9-b561-66ecb3feb37d,1,,,,3775644,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cb3b4d24-96e8-41d0-989e-b53c57c3fdbc,2,,,,3775644,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 77}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8152b84c-974d-4ec1-973e-5a15eb2ff47e,3,,,,3775644,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['044fc342-0a36-499e-8ee9-e53ad71c6929'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,044fc342-0a36-499e-8ee9-e53ad71c6929,4,,,,3775644,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['8152b84c-974d-4ec1-973e-5a15eb2ff47e'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e212581-417f-4ce4-bb2b-f42902db04b0,1359,,,,3775644,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Manchester United,1475,['245b39c1-0467-4ecf-9de2-dcadfe515407'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,245b39c1-0467-4ecf-9de2-dcadfe515407,1360,,,,3775644,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Manchester United,1475,['1e212581-417f-4ce4-bb2b-f42902db04b0'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.491342,,,,,,,,,,,,9f99845c-9fe2-48cc-a53f-78a523d89d5f,5,,,"[61.0, 40.1]",3775644,0,,,,2.9068701,,Right Foot,,"[56.4, 41.2]",,Ground Pass,,4.7296934,,,Katie Zelem,31540.0,,,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Attacking Midfield,2,Manchester United,1475,['1bf94508-f9bd-4ed1-b23b-a08374b4cc22'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.756,Pass,
,,,,,,,,,,,,,,,,,1.731673,,,,,,,,,,,,4c4d5abe-c1f4-4347-834e-a46360896acd,8,,,"[58.7, 41.8]",3775644,0,,,,-0.90053296,,Right Foot,,"[84.7, 9.0]",,High Pass,,41.85499,,,Tobin Powell Heath,5013.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Defensive Midfield,2,Manchester United,1475,['a2e9d1c9-cb3f-413c-9896-60393a19a23f'],2,,,,,,,,,,,,,,,,Manchester United,1475,00:00:02.965,Pass,
,,,,,,,,,,,,,,,,,1.81873,,,,,,,,,,,,48d84c04-36d7-4235-abcf-f27ca8ef49f2,12,,,"[84.0, 4.3]",3775644,0,,,,3.1415927,,Right Foot,,"[63.7, 4.3]",,Ground Pass,,20.3,,,Leah Galton,31539.0,,,,,,,1,From Kick Off,Tobin Powell Heath,5013.0,Left Wing,2,Manchester United,1475,"['1c253f37-ebba-4e2f-ad2f-120a6113f9c0', 'a53174a9-9095-4d89-94cf-780eb4103a82']",6,,,,,,,,,,,,,,,,Manchester United,1475,00:00:06.945,Pass,True
,,,,,,,,,,,,,,,,,1.939065,,,,,,,,,,,,2b8a6cca-cfc7-42b2-9f14-428e43d60c58,15,,,"[63.6, 4.3]",3775644,0,,,,2.8674252,,Left Foot,,"[34.8, 12.4]",,Ground Pass,,29.917387,,,Millie Turner,31536.0,,,,,,,1,From Kick Off,Leah Galton,31539.0,Left Back,2,Manchester United,1475,['462cae0a-ca0f-4688-9e6d-bf39f20dfdfe'],9,,,,,,,,,,,,,,,,Manchester United,1475,00:00:09.537,Pass,
