ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,e29c5cba-d535-4fcd-b6f8-b30ce2cd33ee,1,,,3775626,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10170, 'name': 'Karen Bardsley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,a34fd818-e74c-4c25-b933-22ec4a85a3dd,2,,,3775626,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 46539, 'name': 'Nadine Hanssen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,45179130-a773-4896-84a0-d898a5281636,3,,,3775626,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['35393c6e-4656-48b9-a0cc-3d09b0ab2c5a'],0,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,35393c6e-4656-48b9-a0cc-3d09b0ab2c5a,4,,,3775626,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['45179130-a773-4896-84a0-d898a5281636'],0,,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,a4059eeb-b67f-422c-a241-7167d1583f92,1944,,,3775626,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Manchester City WFC,746,['495ab6b9-3db6-43b1-ae78-6bf2b3a4ddcd'],0,,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,495ab6b9-3db6-43b1-ae78-6bf2b3a4ddcd,1945,,,3775626,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,110,Manchester City WFC,746,['a4059eeb-b67f-422c-a241-7167d1583f92'],0,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.762934,,,,,,,,,,,b66fc47d-e195-43d5-9a45-11a71b8f4441,5,,"[61.0, 40.1]",3775626,0,,,,2.8824906,,Right Foot,,,"[52.7, 42.3]",,Ground Pass,,8.586617,,,Marisa Ewers,15565.0,,,,,Kick Off,1,From Kick Off,Nadine Hanssen,46539.0,Center Attacking Midfield,2,Aston Villa,2647,['df25a04e-4743-43a4-b0bd-5bdf07c23518'],0,,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.555,Pass,
,,,,,,,,,,,,,,2.311738,,,,,,,,,,,d656db94-f7aa-4283-a1ec-d66e68dc3c51,8,,"[53.6, 43.2]",3775626,0,,,,-0.8862977,,Right Foot,,,"[78.9, 12.2]",,High Pass,,40.013622,Incomplete,,Stine Larsen,10102.0,,,,,,1,From Kick Off,Marisa Ewers,15565.0,Right Defensive Midfield,2,Aston Villa,2647,"['b851e2ed-414a-405a-9189-6edb45d5eb1f', 'f938d12c-1e5b-49cd-9afd-5f1ae7391f1d']",2,,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:02.265,Pass,
,,,,,,,,,,,,,,4.340498,,,,,,,,,,,f938d12c-1e5b-49cd-9afd-5f1ae7391f1d,10,,"[41.2, 67.9]",3775626,0,,,,0.27430215,,Head,,,"[84.2, 80.0]",,High Pass,,44.670013,Out,,Chloe Kelly,15570.0,,,,,Interception,1,From Kick Off,Janine Elizabeth Beckie,4992.0,Right Back,2,Aston Villa,2647,"['b0c8db9a-c721-4428-8117-122571abaacc', 'd656db94-f7aa-4283-a1ec-d66e68dc3c51']",4,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:04.577,Pass,
,,,,,,,,,,,,,,0.920391,,,,,,,,,,,6ec5bbc5-6001-44b9-92fe-18a3512696a2,12,,"[35.9, 0.1]",3775626,0,,,,0.84247893,,,,,"[42.5, 7.5]",,Low Pass,,9.915645,,,Nadine Hanssen,46539.0,,,,,Throw-in,1,From Throw In,Caroline Siems,46536.0,Left Back,3,Aston Villa,2647,['3100ec9e-e49f-459f-8281-ae602d8b70c2'],23,,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:23.025,Pass,
