bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,58faa460-2645-4e1b-a69e-449391f3c20d,1,,,,2275137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cde30d14-3f36-4b63-946f-a483bf14a790,2,,,,2275137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 33349, 'name': 'Chloe Morgan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,65b455d7-3e03-4ac6-979d-3853203ea6a9,3,,,,2275137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['cc7aa15b-3599-4904-92a2-955d3e2b2458'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cc7aa15b-3599-4904-92a2-955d3e2b2458,4,,,,2275137,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['65b455d7-3e03-4ac6-979d-3853203ea6a9'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,55b4121e-cea1-494a-823f-e8d939daccb0,1825,,,,2275137,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Tottenham Hotspur Women,749,['03d89c30-c7a6-4c9a-a5c0-dff25939832e'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,03d89c30-c7a6-4c9a-a5c0-dff25939832e,1826,,,,2275137,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,105,Tottenham Hotspur Women,749,['55b4121e-cea1-494a-823f-e8d939daccb0'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.835938,,,,,,,,,,,,,,,3a4f05f1-8bc6-49ae-9d66-3431079b76b0,5,,,"[61.0, 40.1]",2275137,0,,,,-2.9361973,,Right Foot,,,"[34.6, 34.6]",,Ground Pass,,26.966831,,,,,Ria Percival,18145.0,,,,,Kick Off,1,From Kick Off,Rianna Dean,31702.0,Right Center Forward,2,Tottenham Hotspur Women,749,['21fdca78-46d8-4104-bfcd-13d54f5db6f7'],0,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.051,Pass,
,,,,,,,,,,,,,,,,,,,2.308051,,,,,,,,,,,,,,,49e01707-88a0-4eef-aa61-dc7e08f65e80,8,,,"[43.7, 27.3]",2275137,0,,,,-0.028227795,,Left Foot,,,"[86.2, 26.1]",,High Pass,,42.516937,,,,,Rianna Dean,31702.0,,,,,,1,From Kick Off,Ria Percival,18145.0,Left Center Back,2,Tottenham Hotspur Women,749,['c19a28d0-73e4-4c43-a9f4-4784ae27ac65'],5,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:05.053,Pass,
,,,,,,,,,,,,,,,,,,,2.430383,,,,,,,,,,,,,,,477b0d31-9a28-4cd1-b895-9ab04d762d7e,13,,,"[16.0, 44.7]",2275137,0,,,,-0.9928944,,Keeper Arm,,,"[32.5, 19.4]",,Low Pass,,30.204966,,,,,Kirsty Smith,10196.0,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,3,Manchester United,1475,['5a854dd0-efe0-414c-b745-e56cac6298b5'],13,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:13.005,Pass,
,,,,,,,,,,,,,,,,,,,4.097936,,,,,,,,,,,,,,,50092c53-1964-4020-968d-7077b31c5615,16,,,"[45.5, 15.2]",2275137,0,,,,-0.22531337,,Left Foot,,,"[99.6, 2.8]",,High Pass,,55.502884,,,,,Leah Galton,31539.0,,,,,,1,Regular Play,Kirsty Smith,10196.0,Left Back,3,Manchester United,1475,['a00f9da7-d71e-48e8-a845-c3d925375c49'],18,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:18.308,Pass,
