ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,a31bedac-82fe-43cc-96c7-c51fa841b46d,1,,,,19727,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,94b6a368-fa2b-4b2b-b9fd-c7684bef3d8c,2,,,,19727,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 37}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,54b9c94b-8ab6-40d6-b516-edfe46a372e4,3,,,,19727,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['7e236aed-1a62-4e4b-9c50-1201f7c6d9cd'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,7e236aed-1a62-4e4b-9c50-1201f7c6d9cd,4,,,,19727,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['54b9c94b-8ab6-40d6-b516-edfe46a372e4'],0,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,c4b87d5b-ba98-46f3-9255-e4569437b09b,1396,,,,19727,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,96,Birmingham City WFC,969,['39d75d2d-7c0f-41a3-852c-93a06a5c71fc'],0,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,39d75d2d-7c0f-41a3-852c-93a06a5c71fc,1397,,,,19727,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,96,Birmingham City WFC,969,['c4b87d5b-ba98-46f3-9255-e4569437b09b'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,1.228171,,,,,,,,,,,,,16df87cb-bec1-4ae0-9d98-64ee9c88cd7a,5,,,"[60.0, 40.0]",19727,0,,,-2.896614,,,Right Foot,,,,"[48.0, 37.0]",,Ground Pass,12.369317,,Hayley Ladd,19501.0,,,,,Kick Off,1,From Kick Off,Emma Follis,15557.0,Center Forward,2,Birmingham City WFC,969,['420ad438-9abe-413a-982d-78291411c5ca'],0,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.716,Pass,
,,,,,,,,,,3.898499,,,,,,,,,,,,,70f7eb7a-6ce3-4d3e-97a7-d2780266729f,8,,,"[54.0, 39.0]",19727,0,,,-0.45577377,,,Right Foot,,,,"[105.0, 14.0]",,High Pass,56.797886,Incomplete,,,,,,,,1,From Kick Off,Hayley Ladd,19501.0,Left Defensive Midfield,2,Birmingham City WFC,969,['db2769c5-cd63-4037-8292-e94996c3e9e1'],3,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:03.945,Pass,
,,,,,,,,,,5.690201,,,,,,,,,,,,,db2769c5-cd63-4037-8292-e94996c3e9e1,9,,,"[16.0, 67.0]",19727,0,,,0.20232163,,,Right Foot,,,,"[55.0, 75.0]",,High Pass,39.812057,Incomplete,Lauren Bruton,15726.0,,,,,Recovery,1,From Kick Off,Sophie Howard,15720.0,Right Back,2,Birmingham City WFC,969,"['70f7eb7a-6ce3-4d3e-97a7-d2780266729f', 'bf46740f-d711-454e-8b9c-b5b547e8d5b6', 'c39ea3ee-80ff-4633-b90c-eaf5c11538b2']",7,,,,,,,,,,,,,,,Reading WFC,974,00:00:07.843,Pass,
,,,,,,,,,,1.2134,,,,,,,,,,,,,403ba308-2a98-4821-b730-97fb5fc89903,12,,,"[65.0, 80.0]",19727,0,,,-0.27829966,,,,,,,"[79.0, 76.0]",,High Pass,14.56022,Incomplete,Fara Williams,10251.0,,,,,Throw-in,1,From Throw In,Sophie Howard,15720.0,Right Back,3,Reading WFC,974,"['6c3f921d-276f-4c0d-9feb-236639212f63', '6cb173e6-0acd-4032-a540-5676855eaca4']",22,,,,,,,,,,,,,,,Reading WFC,974,00:00:22.959,Pass,
