50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.3369,,,,,,,,,,4aacc50c-afc4-4d25-9ed2-d408b97f91da,19,,,"[41.0, 18.0]",19741,0,,,,0.19739556,,,Left Foot,,,,"[61.0, 22.0]",,Ground Pass,20.396078,,Gemma Suzanne Davison,15721.0,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['142b5386-def0-46a9-91db-87bd9ef19bcb'],11,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:11.183,Pass,
,,,,,,,,,,,,1.6427,,,,,,,,,,2d5a1346-fa96-43d1-aaac-536f14fc7f3c,21,,,"[61.0, 22.0]",19741,0,,,,2.158799,,,Left Foot,,,,"[55.0, 31.0]",,Ground Pass,10.816654,,Rachel Furness,15706.0,,,,1,From Kick Off,Gemma Suzanne Davison,15721.0,Right Center Forward,2,Reading WFC,974,['5713001b-277a-41f1-818e-f253a5a62712'],12,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:12.521,Pass,
,,,,,,,,,,,,0.107,,,,,,,,,,dea68e18-fbee-4f2b-b633-b22e7e627c9e,25,,,"[56.0, 29.0]",19741,0,,,,-0.7853982,,,Left Foot,,,,"[58.0, 27.0]",,High Pass,2.828427,Incomplete,,,,,,1,From Kick Off,Rachel Furness,15706.0,Left Defensive Midfield,2,Reading WFC,974,['ce1320b5-30ee-4340-89c2-3b99a60f025f'],14,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:14.203,Pass,
,,,,,,,,,,,,1.5039,,,,,,,,,,7bb13abe-3f78-45c1-9359-0e1289fd15f2,34,,,"[57.0, 42.0]",19741,0,,,,2.4668517,,,Right Foot,,,,"[47.0, 50.0]",,Ground Pass,12.806249,,Rebecca Jane,18144.0,,,,1,From Kick Off,Fara Williams,10251.0,Right Defensive Midfield,2,Reading WFC,974,['ff24d4fd-df1e-45fe-a458-6113d73920ec'],18,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:18.556,Pass,
,,,,,,,,,,,,0.536149,,,,,,,,,,80bae080-67bd-40a0-80fe-04db9bb5876f,37,,,"[47.0, 50.0]",19741,0,,,,-1.8925469,,,Right Foot,,,,"[44.0, 41.0]",,Ground Pass,9.486833,Incomplete,Josanne Potter,10198.0,,,,1,From Kick Off,Rebecca Jane,18144.0,Right Back,2,Reading WFC,974,"['2e4175c4-ca91-40a8-ae60-48fef10b3fb0', 'd790e840-8e09-4b1c-af6a-f001994aee7f']",20,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:20.805,Pass,
,,,,,,,,,,,,1.8527,,,,,,,,,,17bbf7d3-96d0-457e-a6c1-ea2e32561743,42,,,"[80.0, 48.0]",19741,0,,,,0.41241044,,,Right Foot,,,,"[96.0, 55.0]",,Ground Pass,17.464249,,Lisa Evans,10179.0,,,,1,From Kick Off,Jordan Nobbs,10192.0,Right Center Forward,2,Reading WFC,974,['2fa9827c-1d02-4c5e-baf5-a75f5026fa6b'],23,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:23.584,Pass,
,,,,,,,,,,,,2.1223,,,,,,,,,,0f2d0bf9-db08-4667-b8f0-263ae7ace60b,46,,,"[18.0, 24.0]",19741,0,,,,-1.152572,,,Right Foot,,,,"[22.0, 15.0]",,Ground Pass,9.848858,,Natasha Harding,15725.0,,,Recovery,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['02aba400-06a5-4573-bf1e-0d3cf72c1188'],26,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:26.667,Pass,
,,,,,,,,,,,,0.6256,,,,,,,,,,6f802108-cf62-44f7-b733-d77b525c6433,50,,,"[17.0, 7.0]",19741,0,,,,0.5404195,,,Right Foot,,,,"[22.0, 10.0]",,Ground Pass,5.8309517,,Josanne Potter,10198.0,,,,1,From Kick Off,Natasha Harding,15725.0,Left Back,2,Reading WFC,974,['4f6b6192-075e-4e6e-846e-02479a9a8ef1'],32,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:32.672,Pass,
,,,,,,,,,,,,0.870457,,,,,,,,,,144d9bd8-63c6-4cbd-82b7-745bb722c48f,56,,,"[92.0, 79.0]",19741,0,,,,0.0,,,Right Foot,,,,"[99.0, 79.0]",,Low Pass,7.0,Incomplete,,,,,,1,From Kick Off,Danielle van de Donk,10658.0,Right Center Midfield,2,Reading WFC,974,['02d80fc5-660f-4ebb-96a2-f931625e1731'],35,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:35.786,Pass,
,,,,,,,,,,,,1.7997,,,,,,,,,,a4b7cca6-198f-40ed-bf5d-d0f2333991c4,59,,,"[24.0, 1.0]",19741,0,,,,0.049958397,,,Left Foot,,,,"[44.0, 2.0]",,Ground Pass,20.024984,,Fara Williams,10251.0,,,,1,From Kick Off,Natasha Harding,15725.0,Left Back,2,Reading WFC,974,['40393528-003a-4bb7-94e2-60abe5ecac31'],37,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:37.527,Pass,
,,,,,,,,,,,,1.0394,,,,,,,,,,c5c52b0e-8dd3-4f37-baef-62e77369514b,66,,,"[62.0, 2.0]",19741,0,,,,0.5585993,ca6231ee-4d33-4b3c-b103-07e64cc05bd2,,Right Foot,,,,"[70.0, 7.0]",,Ground Pass,9.433981,,Remi Allen,18149.0,True,,,1,From Kick Off,Fara Williams,10251.0,Right Defensive Midfield,2,Reading WFC,974,['c5db2a3a-a36b-4fcc-ad24-16b6dc118ba1'],44,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:44.444,Pass,
,,,,,,,,,,,,2.3878,,,,,,,,,,65ddb4f8-3e56-46b9-9907-2272b9798bcc,78,,,"[111.0, 1.0]",19741,0,,,,2.7928216,,,Right Foot,,,,"[89.0, 9.0]",,Ground Pass,23.409399,,Natasha Harding,15725.0,,,,1,From Kick Off,Gemma Suzanne Davison,15721.0,Right Center Forward,2,Reading WFC,974,['64faeb79-e2aa-4bc0-b64c-77857fb4a742'],58,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:58.149,Pass,
,,,,,,,,,,,,0.422143,,,,,,,,,,648e9dad-4238-4fcb-a6d9-a7245e3fd55f,81,,,"[88.0, 9.0]",19741,1,,,,0.4636476,,,Right Foot,,,,"[92.0, 11.0]",,Ground Pass,4.472136,Incomplete,Fara Williams,10251.0,,,,1,From Kick Off,Natasha Harding,15725.0,Left Back,2,Reading WFC,974,"['19673396-ec95-4ce3-908f-6fe3befa58ac', 'abd514bd-7092-49d4-9277-4870fa9af891']",0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:00.561,Pass,
,,,,,,,,,,,,0.0257,,,,,,,,,,4f381e6e-a312-474c-b902-0490a4322203,84,,,"[75.0, 8.0]",19741,1,,,,3.1415927,,,Left Foot,,,,"[59.0, 8.0]",,Ground Pass,16.0,,Josanne Potter,10198.0,,,Recovery,1,From Kick Off,Rachel Furness,15706.0,Left Defensive Midfield,2,Reading WFC,974,['23fc4bea-2a56-4650-91d8-2983533e0023'],4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:04.178,Pass,
,,,,,,,,,,,,4.6107,,,,,,,,,,38972e2e-13ad-470a-b55d-6d0a3332fe92,88,,,"[63.0, 4.0]",19741,1,,,,0.3838176,,,Left Foot,,,,"[115.0, 25.0]",,High Pass,56.0803,Incomplete,,,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['6d214a48-2669-4b9e-bc88-b52749da7c99'],7,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:07.211,Pass,
,,,,,,,,,,,,2.4908,,,,,,,,,,222e4e16-788e-48d4-9669-1b24e5a7a2a6,91,,,"[8.0, 46.0]",19741,1,,,,-1.1618885,,,Left Foot,,,,"[21.0, 16.0]",,Ground Pass,32.695564,,Emma Mukandi,18998.0,,,,1,Regular Play,Pauline Peyraud Magnin,15615.0,Goalkeeper,3,Arsenal WFC,968,['4f087fc5-0b3d-4379-8f03-d285a9eb1eb1'],15,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:01:15.829,Pass,
,,,,,,,,,,,,2.1856,,,,,,,,,,9df7f284-5f7d-498f-95e2-995deddc7a18,94,,,"[24.0, 16.0]",19741,1,,,,1.4909663,,,Left Foot,,,,"[26.0, 41.0]",,Ground Pass,25.079872,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,1,Regular Play,Emma Mukandi,18998.0,Left Center Back,3,Arsenal WFC,968,['146492d5-4fe9-4445-8780-d1d999b5edec'],19,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:01:19.583,Pass,
,,,,,,,,,,,,1.9224,,,,,,,,,,944758e5-c4a6-48d2-aedc-d88aa25a16ad,97,,,"[36.0, 41.0]",19741,1,,,,1.5422326,,,Left Foot,,,,"[37.0, 76.0]",,Ground Pass,35.014282,,Leah Williamson,18999.0,,,,1,Regular Play,Dominique Johanna Anna Petrone Janssen,10666.0,Center Back,3,Arsenal WFC,968,['6340f155-d85e-4d81-a225-db820a94c450'],25,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:01:25.270,Pass,
,,,,,,,,,,,,1.2212,,,,,,,,,,55c1a478-8111-4467-b6d3-2b9330ab0725,100,,,"[52.0, 77.0]",19741,1,,,,0.0,,,Right Foot,,,,"[79.0, 77.0]",,Ground Pass,27.0,,Jordan Nobbs,10192.0,,,,1,Regular Play,Leah Williamson,18999.0,Right Center Back,3,Arsenal WFC,968,['604e2d18-0d14-4598-ba78-97fbc6c32f6e'],30,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:01:30.307,Pass,
,,,,,,,,,,,,1.9235,,,,,,,,,,c9094b75-aa8e-4b4a-88f5-e3ad792ffaf5,107,,,"[89.0, 77.0]",19741,2,,,,-0.88847977,,,Right Foot,True,,,"[115.0, 45.0]",,High Pass,41.231056,Incomplete,,,,,Free Kick,1,From Free Kick,Jordan Nobbs,10192.0,Right Center Forward,4,Arsenal WFC,968,['92469b91-df9e-46be-ab82-2e921dcda88d'],5,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:05.122,Pass,
,,,,,,,,,,,,2.114,,,,,,,,,,877253b9-d38d-43a5-8309-cf9809c7df4a,111,,,"[119.0, 71.0]",19741,2,,,,-1.7257931,53f0330c-331b-4cd7-9812-e7176ee64efa,,Right Foot,True,,,"[114.0, 39.0]",True,High Pass,32.38827,,Vivianne Miedema,15623.0,,,,1,From Free Kick,Bethany Mead,15619.0,Left Midfield,4,Arsenal WFC,968,['5af8af8d-d010-42d2-8dd0-2c758ddcd541'],11,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:02:11.085,Pass,
,,,,,,,,,,,,0.325811,,,,,,,,,,e424e0a3-9cc7-4bbb-a682-2a0b6b5e792e,116,,,"[60.0, 40.0]",19741,2,,True,,3.1415927,,,Right Foot,,,,"[45.0, 40.0]",,Ground Pass,15.0,,Rachel Furness,15706.0,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Right Defensive Midfield,5,Reading WFC,974,['640679e6-90c6-4e6a-ad39-a14b5f3488a3'],56,,,,,,,,,,,,,,,,,,Reading WFC,974,00:02:56.724,Pass,
,,,,,,,,,,,,0.9522,,,,,,,,,,a3e4a492-2271-41cf-99b7-c666ec4fd8c2,118,,,"[46.0, 40.0]",19741,2,,True,,1.1071488,,,Right Foot,,,,"[51.0, 50.0]",,Ground Pass,11.18034,,Lauren Bruton,15726.0,,,,1,From Kick Off,Rachel Furness,15706.0,Left Defensive Midfield,5,Reading WFC,974,['3af01487-8007-403b-a61c-3d30ad9218ac'],57,,,,,,,,,,,,,,,,,,Reading WFC,974,00:02:57.871,Pass,
,,,,,,,,,,,,1.1738,,,,,,,,,,beb64f4f-2c00-457c-a2f9-b13406425fc6,122,,,"[48.0, 50.0]",19741,2,,,,-3.0172377,,,Right Foot,,,,"[32.0, 48.0]",,Ground Pass,16.124516,,Kirstyn Pearce,18152.0,,,,1,From Kick Off,Lauren Bruton,15726.0,Right Wing,5,Reading WFC,974,"['4c0356ac-71bc-4159-9678-9ff57bbfd5e9', 'ea69ca89-247d-4dbf-9d46-d2b362c6b4cc']",58,,,,,,,,,,,,,,,,,,Reading WFC,974,00:02:58.835,Pass,True
,,,,,,,,,,,,1.574,,,,,,,,,,7474643d-4161-4a6d-a784-80d5e35d5deb,125,,,"[32.0, 42.0]",19741,3,,,,-1.5707964,,,Right Foot,,,,"[32.0, 19.0]",,Ground Pass,23.0,,Josanne Potter,10198.0,,,,1,From Kick Off,Kirstyn Pearce,18152.0,Right Center Back,5,Reading WFC,974,['e03294d7-2ea0-4aae-b1b2-f0126c620e2b'],1,,,,,,,,,,,,,,,,,,Reading WFC,974,00:03:01.079,Pass,
,,,,,,,,,,,,1.2759,,,,,,,,,,fb2eb6b8-3147-4d74-a0e1-287271bd601a,129,,,"[32.0, 19.0]",19741,3,,,,1.815775,,,Left Foot,,,,"[28.0, 35.0]",,Ground Pass,16.492422,,Kirstyn Pearce,18152.0,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,5,Reading WFC,974,"['ab63a1f8-c6d0-4733-970f-05a94f833b50', 'b7b955ac-31a9-4ee2-b8a1-25ae9113cdf7']",3,,,,,,,,,,,,,,,,,,Reading WFC,974,00:03:03.677,Pass,True
,,,,,,,,,,,,3.8149,,,,,,,,,,a23cb9f2-fc95-4ad4-ba7b-3ee773087cf9,133,,,"[35.0, 35.0]",19741,3,,,,0.6181442,,,Right Foot,,,,"[80.0, 67.0]",,Low Pass,55.21775,Incomplete,Brooke Chaplen,15723.0,,,,1,From Kick Off,Kirstyn Pearce,18152.0,Right Center Back,5,Reading WFC,974,"['0a0d7922-f932-4722-8e02-9696234b626f', 'eb6a08da-8857-44f7-a56b-0ecf76501e47']",7,,,,,,,,,,,,,,,,,,Reading WFC,974,00:03:07.279,Pass,
