50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,66f12f87-dcd5-466d-839f-4a01dfcd4612,1,,,,2275108,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,7347a356-2dcb-416d-a15d-8f3dcd179ad1,2,,,,2275108,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,af5430dd-e78b-486a-b2a3-b2cf7f87297b,3,,,,2275108,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['378e2784-b70a-4023-93a7-af647f193c32'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,378e2784-b70a-4023-93a7-af647f193c32,4,,,,2275108,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['af5430dd-e78b-486a-b2a3-b2cf7f87297b'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,6f5bb122-6983-416d-b4e2-20bf64d81b09,1605,,,,2275108,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Bristol City WFC,973,['f56d86f9-4296-4345-8f0c-3866e5d85979'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,f56d86f9-4296-4345-8f0c-3866e5d85979,1606,,,,2275108,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Bristol City WFC,973,['6f5bb122-6983-416d-b4e2-20bf64d81b09'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,2.130396,,,,,,,,,,,7efbc820-879b-4559-b2f1-478c43dd15ec,5,,,"[61.0, 40.1]",2275108,0,,,,2.6078844,,Right Foot,,,"[34.6, 55.7]",,Ground Pass,,30.664639,,,Millie Bright,4642.0,,,,,,Kick Off,1,From Kick Off,Francesca Kirby,4641.0,Right Center Forward,2,Chelsea FCW,971,['810ca2b4-041d-4bc3-8c6b-be79201f05a2'],0,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.294,Pass,
,,,,,,,,,,,,,,2.335691,,,,,,,,,,,e5fa8f47-c86f-400e-ac18-bd5b5ce7fc54,8,,,"[35.6, 55.4]",2275108,0,,,,0.024258671,,Right Foot,,,"[93.3, 56.8]",,High Pass,,57.716984,Incomplete,,Erin Cuthbert,4660.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['57ec7689-6993-4f9f-ab54-0f490ac632c2', 'a982b87c-4b3a-4924-b2d9-efadb4f2478f']",3,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:03.583,Pass,
,,,,,,,,,,,,,,1.076082,,,,,,,,,,,9a17c01e-0745-40fa-9fe5-bcdc0c0f74a3,14,,,"[60.4, 46.0]",2275108,0,,,,1.2991967,,Right Foot,,,"[62.6, 53.9]",,Ground Pass,,8.20061,,,Carla Humphrey,16384.0,,,,,,,1,Regular Play,Yana Daniëls,10093.0,Center Attacking Midfield,3,Bristol City WFC,973,"['2b52886b-7387-429d-9e12-65d96edcfd81', 'fdaaa090-3648-49a7-9031-40b54f7ef050']",10,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:10.467,Pass,True
,,,,,,,,,,,,,,1.085688,,,,,,,,,,,27d878cb-1d8e-4a3d-9e29-65372c6e36d4,18,,,"[62.0, 54.9]",2275108,0,,,,1.8751405,,Right Foot,,,"[57.1, 70.5]",,Ground Pass,,16.351452,,,Loren Dykes,16391.0,,,,,,,1,Regular Play,Carla Humphrey,16384.0,Right Midfield,3,Bristol City WFC,973,"['6f8ee0cd-4875-4528-911a-403a3a8209fe', 'e3c62e80-5f7e-4017-8f35-57085366e9a1']",12,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:12.761,Pass,True
