50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,204dd009-faa0-4520-80ea-f8b02b075276,1,,,19803,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d1ab61d5-751a-4f3a-835d-f9b8aa824eeb,2,,,19803,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,284a8605-43f3-4018-9d44-2a4405861d5b,3,,,19803,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,West Ham United LFC,972,['dc4bdcaa-2d76-4c5b-857c-e2c45aa21bf3'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc4bdcaa-2d76-4c5b-857c-e2c45aa21bf3,4,,,19803,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,West Ham United LFC,972,['284a8605-43f3-4018-9d44-2a4405861d5b'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ff7fffb-9cc5-4b19-b9ce-a061eaeef105,1540,,,19803,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,97,West Ham United LFC,972,['bdc677bd-f4f6-498b-be1c-6e4d30fb5445'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bdc677bd-f4f6-498b-be1c-6e4d30fb5445,1541,,,19803,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,97,West Ham United LFC,972,['6ff7fffb-9cc5-4b19-b9ce-a061eaeef105'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.553622,,,,,,,,,,,,,1a42a04c-ecf7-40da-b3f7-7751dfa0d881,5,,"[60.0, 40.0]",19803,0,,,,,-3.0890095,,Right Foot,,,,"[41.0, 39.0]",,Ground Pass,,19.026299,,,Lucienne Reichardt,18148.0,,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,,Center Forward,2,West Ham United LFC,972,['ac37e083-90c2-4388-bb9a-b95fb35bf80f'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.374,Pass,
,,,,,,,,,,,,,,,,2.107994,,,,,,,,,,,,,44bf237c-7e52-4807-96cb-981a7d683989,8,,"[42.0, 40.0]",19803,0,,,,,-2.1948195,,Right Foot,,,,"[24.0, 15.0]",,Ground Pass,,30.805843,,,Brooke Hendrix,18159.0,,,,,,,1,From Kick Off,Lucienne Reichardt,18148.0,,Center Defensive Midfield,2,West Ham United LFC,972,['53864bb4-8cdc-4506-8ba5-46e6084cb659'],2,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:02.990,Pass,
,,,,,,,,,,,,,,,,1.3461,,,,,,,,,,,,,5eb1cbed-f102-4bf0-8045-21f3b0618857,12,,"[27.0, 11.0]",19803,0,,,,,-0.32175055,,Right Foot,,,,"[45.0, 5.0]",,Ground Pass,,18.973665,,,Erin Simon,18155.0,,,,,,,1,From Kick Off,Brooke Hendrix,18159.0,,Left Center Back,2,West Ham United LFC,972,"['05f2bdc4-3598-44ca-a194-73531dc600a1', 'f71a4b3d-5df4-4b8f-b4e5-9187076479c2']",7,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:07.615,Pass,True
,,,,,,,,,,,,,,,,2.240421,,,,,,,,,,,,,0afa2f43-fd89-499f-a49f-90410fce0fe3,18,,"[42.0, 8.0]",19803,0,,,,,1.8828385,,Left Foot,,,,"[32.0, 39.0]",,Ground Pass,,32.572994,,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,Free Kick,1,From Free Kick,Brooke Hendrix,18159.0,,Left Center Back,3,West Ham United LFC,972,['b4baa3ef-0eb9-41a8-8e38-a9d7e69b41b1'],19,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:19.725,Pass,
,,,,,,,,,,,,,,,,0.9887,,,,,,,,,,,,,3c6db6ef-a44a-4742-bb72-6c2de48ff8e0,21,,"[32.0, 40.0]",19803,0,,,,,0.5144513,,Right Foot,,,,"[55.0, 53.0]",,High Pass,,26.41969,,,Kate Longhurst,18147.0,,,,,,,1,From Free Kick,Gilly Louise Scarlett Flaherty,18151.0,,Right Center Back,3,West Ham United LFC,972,['e111fba1-14c8-469f-bbff-d720b9c24c09'],22,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:22.458,Pass,
,,,,,,,,,,,,,,,,0.945947,,,,,,,,,,,,,fd013db6-40db-49eb-b7ed-2161b065fa6b,27,,"[57.0, 24.0]",19803,0,,,,,-0.6202495,,Left Foot,,,,"[78.0, 9.0]",,Ground Pass,,25.806976,,,Danielle Turner,15571.0,,,,,,,1,From Free Kick,Siri Worm,15572.0,,Left Center Back,3,West Ham United LFC,972,['7bc6f8f5-5a86-43e8-a44d-1201e14478a7'],27,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:27.008,Pass,
,,,,,,,,,,,,,,,,1.403146,,,,,,,,,,,,,febb234f-d30f-4e40-9e54-827ba4375304,36,,"[35.0, 68.0]",19803,0,,,,,-2.634494,,Right Foot,,,,"[26.0, 63.0]",,Ground Pass,,10.29563,,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,,1,From Free Kick,Ria Percival,18145.0,,Right Back,3,West Ham United LFC,972,['b1da5e1f-0f4f-4be5-8f49-055a937b4887'],33,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:33.079,Pass,
