ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,63603f4a-330a-4dfc-b3c0-2437370f9132,1,,,19757,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,e12aab66-784b-46f4-9143-ca78ad192eb7,2,,,19757,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23290, 'name': 'Sophie Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 19}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,a00d98bc-c53d-4992-a379-2f2fc5d21c8e,3,,,19757,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['6e4ad45e-e716-46ad-babc-40b2f21c1bb0'],0,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e4ad45e-e716-46ad-babc-40b2f21c1bb0,4,,,19757,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['a00d98bc-c53d-4992-a379-2f2fc5d21c8e'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,52c46fa4-a8f9-463e-ad4d-ee7c121ec36a,1720,,,19757,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Brighton & Hove Albion WFC,965,['54b66a55-04f1-4001-8e4e-053fe3358203'],0,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,54b66a55-04f1-4001-8e4e-053fe3358203,1721,,,19757,45,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Brighton & Hove Albion WFC,965,['52c46fa4-a8f9-463e-ad4d-ee7c121ec36a'],0,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,1.4106,,,,,,,,,,,,,ba92c600-9b28-4a81-a503-2b8a5e569e08,5,,"[61.0, 41.0]",19757,0,,-2.7610862,,,Right Foot,,,,"[56.0, 39.0]",Ground Pass,5.3851647,,Chloe Peplow,16397.0,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['e9cb2b52-9696-4518-b1c3-ccb47a592531'],0,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.350,Pass,
,,,,,,,,,,,,4.1286,,,,,,,,,,,,,1c9635f2-6bf4-4afc-889f-814dcaffb548,7,,"[56.0, 40.0]",19757,0,,-0.58408105,,,Right Foot,,,,"[115.0, 1.0]",High Pass,70.724815,Out,Aileen Whelan,16374.0,,,,1,From Kick Off,Chloe Peplow,16397.0,Right Defensive Midfield,2,Brighton & Hove Albion WFC,965,['f72531ce-7086-4464-a10b-09673e33c903'],1,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:01.761,Pass,
,,,,,,,,,,,,1.303236,,,,,,,,,,,,,a71f625b-16a9-4ba2-a77f-131736bfcfd2,9,,"[10.0, 80.0]",19757,0,,-0.33929262,,,,,,,"[27.0, 74.0]",High Pass,18.027756,Incomplete,Lucy Hope,16386.0,,,Throw-in,1,From Throw In,Loren Dykes,16391.0,Right Back,3,Bristol City WFC,973,"['5e54db5e-51c8-4ef0-81cb-6bec9c1d0d07', 'fdbcf324-6a24-4ae0-afcc-5815d122a3ce']",16,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:16.500,Pass,
,,,,,,,,,,,,2.708822,,,,,,,,,,,,,fdbcf324-6a24-4ae0-afcc-5815d122a3ce,11,,"[94.0, 7.0]",19757,0,True,3.1415927,,,,,,,"[82.0, 7.0]",High Pass,12.0,Incomplete,Danielle Buet,20034.0,,,Recovery,1,From Throw In,Felicity Gibbons,16392.0,Left Back,3,Bristol City WFC,973,"['a71f625b-16a9-4ba2-a77f-131736bfcfd2', 'bb7fd2d7-3f5c-45f6-9f63-002f9f14fd8c', 'd06a2da6-7c5e-4177-9210-6a52b7737092', 'f45b9a18-d0ce-4517-a86a-d6ffa6807214']",17,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:17.804,Pass,True
