50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,188d49f3-227d-4f96-9e92-337073a401b1,1,,,,19772,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15553, 'name': 'Karen Julia Carney'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,65fe19e2-bea7-47c8-b685-b1788a718b92,2,,,,19772,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15703, 'name': 'Charlotte Estcourt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,b8f846c1-edda-4179-9c6d-46ded9a07bed,3,,,,19772,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['49f0f915-7b73-4f89-b0ed-b7c4be1dde73'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,49f0f915-7b73-4f89-b0ed-b7c4be1dde73,4,,,,19772,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['b8f846c1-edda-4179-9c6d-46ded9a07bed'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,d08b3361-2372-47d2-89ca-b69af8a84680,1763,,,,19772,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,102,Chelsea FCW,971,['e12f8c65-c3aa-4ae4-bbf5-0edde3e1ca84'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,e12f8c65-c3aa-4ae4-bbf5-0edde3e1ca84,1764,,,,19772,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,102,Chelsea FCW,971,['d08b3361-2372-47d2-89ca-b69af8a84680'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.505844,,,,,,,,,,,f8cf7c35-0851-4b31-8b4f-624b70a66da5,5,,,"[61.0, 41.0]",19772,0,,,3.1415927,,,Right Foot,,,,"[56.0, 41.0]",,Ground Pass,5.0,,,So-Yun Ji,4647.0,,,,,Kick Off,1,From Kick Off,Erin Cuthbert,4660.0,Center Forward,2,Chelsea FCW,971,['5ce66429-f382-42fc-a4e6-f38470613e2d'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.280,Pass,
,,,,,,,,,,,,,1.58188,,,,,,,,,,,c138f962-3f5d-4634-9d71-d526cf54595a,8,,,"[56.0, 44.0]",19772,0,,,1.7561443,,,Right Foot,,,,"[50.0, 76.0]",,Low Pass,32.55764,,,Hannah Jayne Blundell,17275.0,,,,,,1,From Kick Off,So-Yun Ji,4647.0,Center Attacking Midfield,2,Chelsea FCW,971,['a5d2f700-b521-4bca-a3b5-3e7aa77eabb6'],2,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:02.176,Pass,
,,,,,,,,,,,,,0.7182,,,,,,,,,,,3094c20c-a5cf-4b65-b79c-ff009d188253,12,,,"[50.0, 77.0]",19772,0,,,-0.39060703,,,Right Foot,,,,"[67.0, 70.0]",,High Pass,18.384777,,Incomplete,,,,,,,,1,From Kick Off,Hannah Jayne Blundell,17275.0,Right Back,2,Chelsea FCW,971,"['07e47e98-bab4-4928-9b9f-f94cb7971769', '352bc906-17bd-4e70-b4c8-1aa60bb6ce15']",6,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:06.824,Pass,True
,,,,,,,,,,,,,1.8903,,,,,,,,,,,07e47e98-bab4-4928-9b9f-f94cb7971769,13,,,"[54.0, 11.0]",19772,0,,,0.33473682,,,Head,,,,"[77.0, 19.0]",,High Pass,24.351591,,,Brooke Chaplen,15723.0,,,,,Recovery,1,Regular Play,Rachel Furness,15706.0,Center Defensive Midfield,3,Reading WFC,974,"['3094c20c-a5cf-4b65-b79c-ff009d188253', 'c774c506-0faf-46d1-a6d9-29c8e21013cd']",7,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:07.542,Pass,
,,,,,,,,,,,,,0.7497,,,,,,,,,,,df3d10af-163f-438b-915f-52da930fcc8c,21,,,"[82.0, 23.0]",19772,0,,,0.348771,,,Right Foot,,,,"[93.0, 27.0]",,Ground Pass,11.7046995,,Incomplete,Gemma Suzanne Davison,15721.0,,,,,,1,Regular Play,Brooke Chaplen,15723.0,Left Center Forward,3,Reading WFC,974,"['b45ef7cc-db2a-495f-ae87-df5778278910', 'b61a3b47-6847-41bd-883b-e5725aeec3cd', 'd252ac82-98e0-414d-8abf-28bd21b995a0']",14,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:14.373,Pass,True
,,,,,,,,,,,,,1.031929,,,,,,,,,,,b61a3b47-6847-41bd-883b-e5725aeec3cd,23,,,"[28.0, 54.0]",19772,0,,,0.1798535,,,Left Foot,,,,"[39.0, 56.0]",,Ground Pass,11.18034,,Incomplete,So-Yun Ji,4647.0,,,,,Recovery,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,3,Reading WFC,974,"['7617eee3-21e6-4476-be95-1622ba74f5e2', '9a9fd3cb-c761-48df-8e74-fbaae885fc45', 'df3d10af-163f-438b-915f-52da930fcc8c']",15,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:15.123,Pass,
,,,,,,,,,,,,,0.762794,,,,,,,,,,,e1237f85-3c18-42ef-9d48-39571991ed46,27,,,"[85.0, 37.0]",19772,0,,,1.6814536,,,Right Foot,,,,"[84.0, 46.0]",,Ground Pass,9.055386,,,Charlotte Estcourt,15703.0,,,,,,1,Regular Play,Brooke Chaplen,15723.0,Left Center Forward,3,Reading WFC,974,['8585b53c-3aec-4a66-94e7-1010762e3b60'],16,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:16.829,Pass,
,,,,,,,,,,,,,0.4939,,,,,,,,,,,7fc22c83-5bf4-4a35-8a78-9277b93f114a,31,,,"[84.0, 46.0]",19772,0,,,-0.14189705,,,Right Foot,,,,"[91.0, 45.0]",,Ground Pass,7.071068,,Incomplete,Gemma Suzanne Davison,15721.0,,,,,,1,Regular Play,Charlotte Estcourt,15703.0,Right Center Midfield,3,Reading WFC,974,"['426accec-6cef-4602-9871-7ef5bb1aceea', 'c8493d62-ef77-4c1e-a31e-9440c198b1ca']",18,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:18.410,Pass,
,,,,,,,,,,,,,0.1384,,,,,,,,,,,2025aad8-b653-4453-b86b-4d0052e63f51,38,,,"[21.0, 12.0]",19772,0,,,-0.5880026,,,Left Foot,,,,"[24.0, 10.0]",,Low Pass,3.6055512,,Incomplete,Drew Spence,4638.0,,,,,,1,Regular Play,Jonna Ann-Charlotte Andersson,10222.0,Left Back,4,Chelsea FCW,971,"['5f777f0d-a2fa-457e-bfab-95dd6d010564', '63dad306-b118-4c60-a5e5-a74b94a1935b', 'b6f1a8f0-0331-4098-953e-0949c557ca85']",23,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:23.836,Pass,True
