ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,91f47167-bbfd-4f79-a522-eff2f3f8785c,1,,,,3775579,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 46636, 'name': 'Bethan Roberts'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 46635, 'name': 'Emma Harries'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 36}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2eec3a20-44b3-42c7-a060-4a6ab32dec55,2,,,,3775579,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 13861, 'name': 'Nora Heroum'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5d0055b3-164b-489a-8429-1c0bc168ad65,3,,,,3775579,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['13bb9550-b4a0-4115-b3c0-7d6e684bb19e'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,13bb9550-b4a0-4115-b3c0-7d6e684bb19e,4,,,,3775579,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['5d0055b3-164b-489a-8429-1c0bc168ad65'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,766b775e-5946-4732-80e5-0d83138bcd72,1730,,,,3775579,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Reading WFC,974,['cb4df5c9-ddc1-4e3a-91f9-05b427bf947b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cb4df5c9-ddc1-4e3a-91f9-05b427bf947b,1731,,,,3775579,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Reading WFC,974,['766b775e-5946-4732-80e5-0d83138bcd72'],0,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.974541,,,,,,,,,,,,a69c40c9-82f4-4001-8dfd-0b328468b777,5,,,"[61.0, 40.1]",3775579,0,,,,-2.753274,,Right Foot,,,"[45.6, 33.8]",,Ground Pass,16.63881,,,,,Aileen Whelan,16374.0,,,,,Kick Off,1,From Kick Off,Geum-Min Lee,25453.0,Center Forward,2,Brighton & Hove Albion WFC,965,['28ab2844-4fd0-473f-8e34-7ba6e8459199'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.719,Pass,
,,,,,,,,,,,,,,,1.803658,,,,,,,,,,,,929a756a-d2d2-4494-9e15-3ee4fbf7a758,8,,,"[45.6, 34.0]",3775579,0,,,,-2.0680447,,Right Foot,,,"[32.9, 10.6]",,Ground Pass,26.624237,,,,,Felicity Gibbons,16392.0,,,,,,1,From Kick Off,Aileen Whelan,16374.0,Center Defensive Midfield,2,Brighton & Hove Albion WFC,965,['4b94b30c-0a26-4192-b746-1d604f8d2f9a'],2,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:02.778,Pass,
,,,,,,,,,,,,,,,1.124137,,,,,,,,,,,,0b1ad972-6e46-4e51-8935-c8011f861240,11,,,"[32.9, 11.2]",3775579,0,,,,2.252791,,Left Foot,,,"[23.4, 22.9]",,Ground Pass,15.071164,,,,,Maya Le Tissier,22337.0,,,,,,1,From Kick Off,Felicity Gibbons,16392.0,Left Back,2,Brighton & Hove Albion WFC,965,['670f4285-8604-4824-ade4-5935169875ae'],6,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:06.172,Pass,
,,,,,,,,,,,,,,,3.333738,,,,,,,,,,,,1a39fad7-002a-495a-81d3-eda872d88da6,14,,,"[25.1, 25.6]",3775579,0,,,,1.6987696,,Right Foot,,,"[18.1, 80.0]",,Low Pass,54.84852,,,Out,,Danique Kerkdijk,16383.0,,True,,,,1,From Kick Off,Maya Le Tissier,22337.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['1398636f-87d3-46e8-ae85-d5357253d25a'],8,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.733,Pass,
