ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,0.0,,,,,,,,,,,4a4e746e-3c26-4b94-be27-256b3e354668,1,,,,19719,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 18154, 'name': 'Esmee de Graaf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,0.0,,,,,,,,,,,88f96b11-7890-4cca-8578-e956b0b624cb,2,,,,19719,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,0.0,,,,,,,,,,,ea405952-7671-4595-bd47-09518376c9fa,3,,,,19719,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['aab11fd3-fcc4-4b23-88b5-7e714500ed61'],0,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,0.0,,,,,,,,,,,aab11fd3-fcc4-4b23-88b5-7e714500ed61,4,,,,19719,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['ea405952-7671-4595-bd47-09518376c9fa'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,0.0,,,,,,,,,,,7b52c47c-6d23-4c27-82c4-6635b14bbf63,1138,,,,19719,45,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,West Ham United LFC,972,['789cc6fe-b55e-45a7-a5bf-4bf4e0f3741e'],0,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,0.0,,,,,,,,,,,789cc6fe-b55e-45a7-a5bf-4bf4e0f3741e,1139,,,,19719,45,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,West Ham United LFC,972,['7b52c47c-6d23-4c27-82c4-6635b14bbf63'],0,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,2.264,,,,,,,,,,,72c3344a-c828-42f0-a7e5-61fae10b361e,5,,,"[61.0, 41.0]",19719,0,,,2.83354,,,Right Foot,,,"[39.0, 48.0]",Ground Pass,23.086792,,Brooke Hendrix,18159.0,,,,,Kick Off,1,From Kick Off,Jane Ross,4653.0,Right Center Forward,2,West Ham United LFC,972,['f9158c21-39ce-46ce-94b8-9b7aa70ab13a'],1,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:01.430,Pass,
,,,,,,,,,3.304015,,,,,,,,,,,6ecedb02-54f4-4f94-915e-cd9c159efd6d,8,,,"[39.0, 48.0]",19719,0,,,-2.8006136,,,Right Foot,,,"[8.0, 37.0]",Ground Pass,32.89377,,Rebecca Leigh Spencer,18158.0,,,,,,1,From Kick Off,Brooke Hendrix,18159.0,Right Center Back,2,West Ham United LFC,972,['55a05f1b-ac4e-4342-ae5e-c098709a4bbc'],4,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:04.232,Pass,
,,,,,,,,,1.6183,,,,,,,,,,,04d63f1d-a195-4b15-ac26-56c14f84af42,12,,,"[10.0, 36.0]",19719,0,,,0.19739556,,,Right Foot,,,"[25.0, 39.0]",Ground Pass,15.297058,,Brooke Hendrix,18159.0,,,,,,1,From Kick Off,Rebecca Leigh Spencer,18158.0,Goalkeeper,2,West Ham United LFC,972,"['0e52914e-dc75-48d2-9665-29f5c6a9f441', '61363d07-afa9-4ea2-8dd3-36b7c56d8d52']",8,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:08.148,Pass,True
,,,,,,,,,0.7741,,,,,,,,,,,2c6d5750-231f-4fca-800c-21d9fccf75e2,16,,,"[22.0, 35.0]",19719,0,,,-0.6857295,,,Left Foot,,,"[33.0, 26.0]",Low Pass,14.21267,Incomplete,,,,,,,,1,From Kick Off,Brooke Hendrix,18159.0,Right Center Back,2,West Ham United LFC,972,['1a730ce6-3207-4973-b4e9-b27e5824c6c5'],11,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:11.632,Pass,
