ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,116324d0-73c0-4857-a72f-72e2bf6711ab,1,,,,19807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 15}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b05d928e-aeb6-4e89-8c2f-765e1a40df83,2,,,,19807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,,0,,,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 19416, 'name': 'Laura Coombs'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 15613, 'name': 'Rinsola Babajide'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0819ddf-02b1-436f-a925-baec68fdfdaf,3,,,,19807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['6d4ae569-4a05-4f2c-86ea-80c5b6435175'],0,,,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d4ae569-4a05-4f2c-86ea-80c5b6435175,4,,,,19807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester City WFC,746,['b0819ddf-02b1-436f-a925-baec68fdfdaf'],0,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a9b24ae7-f000-42b8-adc0-706e35a7dbd2,2008,,,,19807,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Liverpool WFC,966,['e45fb5ca-655f-44b0-b331-4faf46d15c86'],0,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e45fb5ca-655f-44b0-b331-4faf46d15c86,2009,,,,19807,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Liverpool WFC,966,['a9b24ae7-f000-42b8-adc0-706e35a7dbd2'],0,,,,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.063899,,,,,,,,,,,,,,1fe4f6b4-7db4-4ab6-88fd-91bdf28382c3,5,,,"[60.0, 40.0]",19807,0,,,,-3.0172377,,Left Foot,,,,"[52.0, 39.0]",,Ground Pass,,8.062258,,,,,Keira Walsh,4658.0,,,,,,Kick Off,1,From Kick Off,Lauren Hemp,15555.0,Left Center Forward,2,Manchester City WFC,746,['e353a535-8edd-4134-bd61-96635ada3213'],0,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.080,Pass,
,,,,,,,,,,,,,,,,1.602082,,,,,,,,,,,,,,ffde0130-b4bc-445e-b1e9-a3772ab269ac,8,,,"[54.0, 28.0]",19807,0,,,,-2.3217254,,Right Foot,,,,"[40.0, 13.0]",,Ground Pass,,20.518284,,,,,Demi Stokes,4651.0,,,,,,,1,From Kick Off,Keira Walsh,4658.0,Left Center Midfield,2,Manchester City WFC,746,['528d2fb0-86ac-4ad9-ac17-c3a4760f5730'],3,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:03.196,Pass,
,,,,,,,,,,,,,,,,0.91586,,,,,,,,,,,,,,29c376e8-6e84-49e9-818e-bc8b2637ab9e,11,,,"[41.0, 14.0]",19807,0,,,,2.4149504,,Left Foot,,,,"[32.0, 22.0]",,Ground Pass,,12.0415945,,,,,Jennifer Patricia Beattie,17524.0,,,,,,,1,From Kick Off,Demi Stokes,4651.0,Left Back,2,Manchester City WFC,746,['f2d76781-d637-47dd-9e05-528b0eb0509d'],5,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:05.917,Pass,
,,,,,,,,,,,,,,,,1.756602,,,,,,,,,,,,,,9e1013cd-6fa6-474d-a613-06acca606c4b,14,,,"[32.0, 22.0]",19807,0,,,,1.056345,,Right Foot,,,,"[45.0, 45.0]",,Ground Pass,,26.41969,,,,,Jill Scott,10172.0,,,,,,,1,From Kick Off,Jennifer Patricia Beattie,17524.0,Left Center Back,2,Manchester City WFC,746,['3e53173a-6b95-4aa8-9fc7-1cac9eb95b54'],8,,,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:08.233,Pass,
