50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[28.9, 19.3]",,,,,,,,,,,,,1.329026,,,,,,,,,,,,,,,,2ff23153-0a07-45fd-af3f-f89b8fef3bd2,2482,,,"[25.9, 19.3]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Danielle Turner,15571.0,Left Back,196,Everton LFC,967,"['02d06736-9d39-42e3-841b-0c491e33a28d', '5ee6b7ad-ada2-45cf-a4df-4bb2f08785f4', 'c6378b00-132a-4153-af34-6a288c66ef78']",14,,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:14.465,Carry,True
,,,,"[50.4, 4.7]",,,,,,,,,,,,,0.947341,,,,,,,,,,,,,,,,e31392f7-afae-4f70-b77b-1d358c3f675b,2490,,,"[49.2, 5.2]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Danielle Turner,15571.0,Left Back,197,Everton LFC,967,"['09d0f1b9-27a4-4bbc-a975-56967ae1b3b8', 'a3f1936b-0427-429e-b1c3-f5f94dc44090', 'c94e6d05-b3ef-422f-ac99-21e0ea70bd55']",25,,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:25.252,Carry,True
,,,,"[85.5, 27.6]",,,,,,,,,,,,,0.772224,,,,,,,,,,,,,,,,a8586836-fa0b-4af1-a12e-eb1abcd7488c,2497,,,"[87.4, 24.0]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Chloe Kelly,15570.0,Left Wing,197,Everton LFC,967,"['3434579c-f213-42db-b44d-4321d83dcf7a', 'd51e9585-d099-4a82-b4b9-81615af761b8', 'e82f01c9-8f51-4748-b319-87264898e102']",32,,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:32.124,Carry,True
,,,,"[79.0, 31.9]",,,,,,,,,,,,,0.935512,,,,,,,,,,,,,,,,6f95313f-c406-4b9a-8c1a-5e71cac49e5e,2502,,,"[79.8, 27.8]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Maéva Clemaron,31713.0,Right Defensive Midfield,197,Everton LFC,967,"['7a8d796b-7429-4680-9f74-6d51af51761c', 'd61958f3-af62-40d9-8f75-68ad9ed08141']",34,,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:34.276,Carry,
,,,,"[97.5, 58.4]",,,,,,,,,,,,,0.457951,,,,,,,,,,,,,,,,24a10daa-bdbf-4437-bda0-c568b768c067,2505,,,"[91.8, 56.2]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Esme Beth Morgan,4649.0,Right Back,197,Everton LFC,967,"['d3741d98-9cb5-4220-bbd5-1c7fec9575b8', 'fdc3d5df-ba37-473d-a5e5-0cf14dd00883']",37,,,,,,,,,,,,,,,,,,Everton LFC,967,00:37:37.444,Carry,
,,,,"[69.2, 2.4]",,,,,,,,,,,,,7.628802,,,,,,,,,,,,,,,,c6d9803c-b8ae-4abc-9e7d-a5ca20711201,2508,,,"[22.6, 21.7]",2275127,82,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Rachel Rowe,19780.0,Left Back,197,Everton LFC,967,"['8f581f95-5668-4442-ace0-ba5eaf416ad7', 'e8c7565a-deaf-449c-8b9d-6001e92895d8']",37,,,,,,,,,,,,,,,,,,Reading WFC,974,00:37:37.902,Carry,
,,,,"[15.0, 52.0]",,,,,,,,,,,,,1.332153,,,,,,,,,,,,,,,,46cc877f-bb73-4607-8bdf-560b0adaefca,2513,,,"[11.2, 54.8]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Tinja-Riikka Tellervo Korpela,13857.0,Goalkeeper,198,Everton LFC,967,"['685d3436-ecd5-4486-82e5-30223bde3d4a', 'eac31607-ab7a-435f-953f-6debca878f7c']",4,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:04.746,Carry,
,,,,"[25.9, 32.4]",,,,,,,,,,,,,2.147205,,,,,,,,,,,,,,,,44d6d773-fabe-471f-ac57-fd2f79b1c735,2516,,,"[15.9, 30.2]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gabrielle George,15575.0,Left Center Back,198,Everton LFC,967,"['28d541ef-ee07-42c7-9660-23d429f5f0d6', '86349ea6-d5df-45e5-b486-b637a54e8b15']",7,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:07.864,Carry,
,,,,"[63.9, 12.5]",,,,,,,,,,,,,4.534767,,,,,,,,,,,,,,,,4efd1507-2aef-4994-abe8-c96cef952422,2519,,,"[42.6, 4.4]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Danielle Turner,15571.0,Left Back,198,Everton LFC,967,"['96bb2428-4876-4f71-bdcc-2478d3d93720', 'a291045f-4add-4aa3-861e-384ecd98111c', 'b1bf4f7d-9435-44c1-8cb6-d82933aa278a']",11,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:11.723,Carry,True
,,,,"[63.7, 23.8]",,,,,,,,,,,,,0.040000003,,,,,,,,,,,,,,,,0dd246ec-3389-4cf2-a203-1b4ac5224689,2523,,,"[63.7, 23.8]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Abbey-Leigh Stringer,15573.0,Left Defensive Midfield,198,Everton LFC,967,"['dd71eb25-1328-4e9f-9a31-055d6cacdd73', 'f104389e-b4c0-473c-9025-0d6f794aa054']",17,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:17.100,Carry,
