50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9dc7bffb-ebfc-41cf-af2a-3e872a155213,1,,,2275034,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 31552, 'name': 'Hannah Godfrey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 31703, 'name': 'Anna Filbey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dea32ef0-a3af-496e-bbb4-ebcbde9965aa,2,,,2275034,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15626, 'name': 'Anke Preuß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 15614, 'name': 'Sophie Elizabeth Bradley-Auckland'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15630, 'name': 'Leigh-Anne Robe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19417, 'name': 'Amy Rodgers'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 21854, 'name': 'Jade Bailey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15218, 'name': 'Jessica Anne Clarke'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15547, 'name': 'Melissa Lawley'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 15611, 'name': 'Courtney Sweetman-Kirk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Liverpool WFC,966,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1757ab8f-bb38-4085-961e-2c417213677f,3,,,2275034,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['23c72492-5eb6-4f51-a979-0013304763ba'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,23c72492-5eb6-4f51-a979-0013304763ba,4,,,2275034,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tottenham Hotspur Women,749,['1757ab8f-bb38-4085-961e-2c417213677f'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0b8d9fe8-8a60-4595-afdd-25870f183b45,1774,,,2275034,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Liverpool WFC,966,['81be57f6-2a55-4988-b2ab-5708400b1ce4'],0,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,81be57f6-2a55-4988-b2ab-5708400b1ce4,1775,,,2275034,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,101,Liverpool WFC,966,['0b8d9fe8-8a60-4595-afdd-25870f183b45'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.472563,,,,,,,,,,,,,,,b3c89786-8ab7-47ab-9ad8-8a0f60c32507,5,,"[60.0, 40.0]",2275034,0,,,,,0.8329813,,Right Foot,,,,"[61.0, 41.1]",Ground Pass,,1.4866068,,,Melissa Lawley,15547.0,,,,,Kick Off,1,From Kick Off,Courtney Sweetman-Kirk,15611.0,Center Forward,2,Liverpool WFC,966,['1d63288b-bed3-4d99-aaf0-0e6e9bf82b84'],0,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:00.463,Pass,
,,,,,,,,,,,,,,,1.551263,,,,,,,,,,,,,,,788fccf5-e07f-4902-a22a-f73b89de7e1a,9,,"[63.4, 35.0]",2275034,0,,,,,-2.4769907,,Left Foot,,,,"[53.7, 27.4]",Ground Pass,,12.322743,,,Jade Bailey,21854.0,,,,,,1,From Kick Off,Melissa Lawley,15547.0,Center Attacking Midfield,2,Liverpool WFC,966,"['06ecdc24-c95e-4d5b-80d3-f401568bba3c', '5ea6cabb-6e55-4ed3-885f-637677ae8145']",2,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:02.354,Pass,True
,,,,,,,,,,,,,,,1.53308,,,,,,,,,,,,,,,c9303506-eb97-442f-acab-20d74f3ced19,13,,"[53.0, 27.2]",2275034,0,,,,,-3.0309355,,Right Foot,,,,"[35.9, 25.3]",Ground Pass,,17.205233,,,Niamh Fahey,19777.0,,,,,,1,From Kick Off,Jade Bailey,21854.0,Left Center Midfield,2,Liverpool WFC,966,"['0410699b-0097-4b59-a1a1-c9be45d449f3', '2e0c8c7e-1b15-4396-9255-6163008985fe']",4,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:04.118,Pass,True
,,,,,,,,,,,,,,,1.466255,,,,,,,,,,,,,,,6eb8d92d-cca0-4d6a-9a6c-28c3f9581610,16,,"[35.9, 25.3]",2275034,0,,,,,-1.3913522,,Right Foot,,,,"[39.8, 3.8]",Ground Pass,,21.850859,,,Leigh-Anne Robe,15630.0,,,,,,1,From Kick Off,Niamh Fahey,19777.0,Left Center Back,2,Liverpool WFC,966,['c5c6b9bd-7c2d-4177-ac18-350cd38ea8b7'],5,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:05.771,Pass,
