50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2a0ba8a4-578f-4264-9943-e9b796e2cdc0,1,,,,3775637,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 46741, 'name': 'Naomi Layzell'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 10}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 46737, 'name': 'Ella Jade Mastrantonio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 46738, 'name': 'Emma Bissell'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b681870d-a305-4940-8324-d3374719cbd5,2,,,,3775637,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 46539, 'name': 'Nadine Hanssen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d1919dcd-f8a2-484d-9be6-9435b3e81a8c,3,,,,3775637,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['6aad22e2-f613-41d8-b0d4-4f695630bd1b'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6aad22e2-f613-41d8-b0d4-4f695630bd1b,4,,,,3775637,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['d1919dcd-f8a2-484d-9be6-9435b3e81a8c'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a7d1aa0-fa05-40dc-b845-a40361769403,1837,,,,3775637,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,114,Bristol City WFC,973,['ea194ec8-9506-423d-b9c2-2c8a0749cb86'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ea194ec8-9506-423d-b9c2-2c8a0749cb86,1838,,,,3775637,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,114,Bristol City WFC,973,['5a7d1aa0-fa05-40dc-b845-a40361769403'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,4929ddb2-32b5-4acd-a908-44e19c1e7519,5,,,"[60.0, 40.0]",3775637,0,,,-3.0004325,,Right Foot,,,"[41.0, 37.3]",,Ground Pass,,19.190884,,,Carla Humphrey,16384.0,,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Center Forward,2,Bristol City WFC,973,['ad8623da-b333-4f99-a036-cd1b43d6508a'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.228,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,aea7abed-b9d3-4f0a-90e3-98f7c34671b0,8,,,"[41.9, 39.0]",3775637,0,,,1.6169175,,Right Foot,,,"[41.0, 58.5]",,Ground Pass,,19.520758,,,Florence Allen,24922.0,,,,,,,1,From Kick Off,Carla Humphrey,16384.0,Right Center Midfield,2,Bristol City WFC,973,['1410d399-5fc6-4027-9d5b-3f6957c236a0'],2,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.647,Pass,
,,,,,,,,,,,,,,,,,3.754935,,,,,,,,,,,e19f4f53-c582-4b7b-9f61-583996cd8bf4,11,,,"[43.1, 68.2]",3775637,0,,,-0.028070379,,Right Foot,,,"[89.4, 66.9]",,High Pass,,46.31825,,Incomplete,Emma Bissell,46738.0,,,,,,,1,From Kick Off,Florence Allen,24922.0,Right Center Back,2,Bristol City WFC,973,"['1c3e8240-6a98-4030-bd13-03103209dd87', '89b3153e-3285-4a1b-b07f-ee78ae45020e']",5,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:05.676,Pass,
,,,,,,,,,,,,,,,,,1.854716,,,,,,,,,,,89b3153e-3285-4a1b-b07f-ee78ae45020e,13,,,"[30.7, 13.2]",3775637,0,,,-0.47032902,,Right Foot,,,"[48.6, 4.1]",,High Pass,,20.08034,,,Emma Follis,15557.0,,,,,,Recovery,1,Regular Play,Natalie Haigh,46535.0,Left Center Back,3,Aston Villa,2647,"['08e8c07e-2b15-437e-a4d4-d0f04c964b59', 'e19f4f53-c582-4b7b-9f61-583996cd8bf4']",9,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:09.431,Pass,
