ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c9c97927-6d95-465d-94fb-4ca04a1733ad,1,,,,3775600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7692ab42-ce68-4ff2-ba70-162d9fa96663,2,,,,3775600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,66e7babf-0195-4db7-b153-a0ff5d518d21,3,,,,3775600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['4622f730-c47f-4c5e-a807-4e5a63ad937e'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4622f730-c47f-4c5e-a807-4e5a63ad937e,4,,,,3775600,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['66e7babf-0195-4db7-b153-a0ff5d518d21'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fdb927fd-55e8-4983-93dc-5c77f196ff89,1870,,,,3775600,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,113,Manchester City WFC,746,['b7ec2842-5c8b-44bb-b9c6-cef2d65651fa'],0,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b7ec2842-5c8b-44bb-b9c6-cef2d65651fa,1871,,,,3775600,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,113,Manchester City WFC,746,['fdb927fd-55e8-4983-93dc-5c77f196ff89'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.840261,,,,,,,,,,,,,,bd169b2a-11c6-44f6-97dc-3dff77b920d2,5,,,"[61.0, 40.1]",3775600,0,,,,,2.832475,,Right Foot,,,"[30.0, 50.0]",,Ground Pass,,32.542435,,,Stephanie Houghton,10185.0,,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Center Forward,2,Manchester City WFC,746,['86081b8c-18f1-47f2-8fa6-d37bbd2087e8'],0,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,,1.990616,,,,,,,,,,,,,,5cc3805b-a382-4af8-b9a9-52bb8a061fb2,8,,,"[31.4, 49.4]",3775600,0,,,,,-1.7177439,,Right Foot,,,"[27.3, 21.7]",,Ground Pass,,28.001785,,,Abby Dahlkemper,5081.0,,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,Manchester City WFC,746,['c9215a58-e97d-4c6f-aec2-661584d5e04c'],4,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:04.820,Pass,
,,,,,,,,,,,,,,,,,1.932431,,,,,,,,,,,,,,4b87e260-fa2e-4529-8a9c-bec75520d4a8,11,,,"[35.6, 19.4]",3775600,0,,,,,-0.66221553,,Right Foot,,,"[53.3, 5.6]",,Ground Pass,,22.44393,,,Alex Greenwood,10252.0,,,,,,,1,From Kick Off,Abby Dahlkemper,5081.0,Left Center Back,2,Manchester City WFC,746,['fca4cb71-c9d2-402c-93ee-860348bfd285'],9,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:09.075,Pass,
,,,,,,,,,,,,,,,,,3.817677,,,,,,,,,,,,,,d74fbe77-a653-4853-a8ea-bc74c34878a0,14,,,"[56.6, 5.6]",3775600,0,,,,,0.44035587,,Left Foot,,,"[103.5, 27.7]",,Ground Pass,,51.84612,Incomplete,,Ellen White,10180.0,,,,,,,1,From Kick Off,Alex Greenwood,10252.0,Left Back,2,Manchester City WFC,746,"['0f3e6b52-791b-4d48-ba08-b130d66256d2', '269fdb27-7e1b-47a1-9962-ea80e9be3bd8']",12,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:12.299,Pass,
