50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2839c247-80e8-4b04-9d71-82b3df7327ca,1,,,,2275120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 37}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,522ea602-a8c5-45bb-83f3-634e9fbe2aa6,2,,,,2275120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 4649, 'name': 'Esme Beth Morgan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 18253, 'name': 'Hannah Cain'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d737b42-1e63-4197-85fe-b664cd448a4a,3,,,,2275120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['490a6010-1dc0-4fe7-af02-5a082399cac4'],0,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,490a6010-1dc0-4fe7-af02-5a082399cac4,4,,,,2275120,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Birmingham City WFC,969,['6d737b42-1e63-4197-85fe-b664cd448a4a'],0,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f893c440-a600-4719-a55d-b16b9d018c7b,1705,,,,2275120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,115,Birmingham City WFC,969,['d7d73119-2cd6-427e-bdb5-d303c287c348'],0,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d7d73119-2cd6-427e-bdb5-d303c287c348,1706,,,,2275120,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,115,Birmingham City WFC,969,['f893c440-a600-4719-a55d-b16b9d018c7b'],0,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.961157,,,,,,,,,,,,414c17eb-d2af-499c-b6ef-ee61b4777cb3,5,,,"[61.0, 40.1]",2275120,0,,,,,0.80667156,,Right Foot,,,"[63.3, 42.5]",Ground Pass,,3.3241541,,,,Chloe Kelly,15570.0,,,,,,Kick Off,1,From Kick Off,Lucy Hope,16386.0,Center Defensive Midfield,2,Everton LFC,967,['a1d4b1f9-1de0-4670-9367-7cc60815218a'],1,,,,,,,,,,,,,,,Everton LFC,967,00:00:01.493,Pass,
,,,,,,,,,,,,,,,,1.195915,,,,,,,,,,,,4c59dbba-a10f-4278-819c-02b2c07536f8,15,,,"[7.6, 40.6]",2275120,0,,True,,,0.8097836,,Keeper Arm,,,"[19.6, 53.2]",Ground Pass,,17.4,,,,Rebecca Holloway,31568.0,,,,,,,1,From Keeper,Hannah Hampton,22032.0,Goalkeeper,5,Birmingham City WFC,969,['5729eb58-0e30-4fa6-8f64-6397fc906a23'],47,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:47.945,Pass,
,,,,,,,,,,,,,,,,1.314362,,,,,,,,,,,,ea0b7041-edda-4e6a-a6b6-532ec6ee9fc3,17,,,"[19.6, 53.2]",2275120,0,,,,,-0.42395726,,Right Foot,,,"[30.9, 48.1]",Ground Pass,,12.39758,,,,Lucy Staniforth,15562.0,,,,,,,1,Regular Play,Rebecca Holloway,31568.0,Right Center Back,6,Birmingham City WFC,969,['9dfe55ad-d4ce-484d-8522-9d3fc5ab1db4'],49,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:49.852,Pass,
,,,,,,,,,,,,,,,,1.546138,,,,,,,,,,,,e84ae0c6-d41b-46ab-b8b8-0c387ce485b6,21,,,"[32.6, 55.8]",2275120,0,,,,,1.4477104,,Right Foot,,,"[35.0, 75.2]",Ground Pass,,19.54789,,,,Adrienne Jordan,31567.0,,,,,,,1,Regular Play,Lucy Staniforth,15562.0,Left Center Midfield,7,Birmingham City WFC,969,['34fb016f-1e43-40f4-a453-d4fb9185e852'],53,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:53.452,Pass,
,,,,,,,,,,,,,,,,1.632666,,,,,,,,,,,,d7469958-b64c-4a52-9944-068540e4c6e3,24,,,"[79.6, 0.1]",2275120,1,,,,,0.7726329,,,,,"[91.5, 11.7]",High Pass,,16.618362,,Incomplete,,,,,,,,,Throw-in,1,From Throw In,Danielle Turner,15571.0,Left Back,8,Everton LFC,967,['650ab6fc-e01f-4431-bfe7-61609584dd68'],5,,,,,,,,,,,,,,,Everton LFC,967,00:01:05.503,Pass,
,,,,,,,,,,,,,,,,0.76825,,,,,,,,,,,,650ab6fc-e01f-4431-bfe7-61609584dd68,25,,,"[28.6, 68.4]",2275120,1,,,,,0.9006743,,Other,,,"[32.8, 73.7]",Low Pass,,6.762396,,,,Lucy Whipp,31566.0,,,,,,Recovery,1,Regular Play,Adrienne Jordan,31567.0,Right Back,9,Birmingham City WFC,969,"['d7469958-b64c-4a52-9944-068540e4c6e3', 'ded96f1b-5c94-446f-a95a-52f7e7c24175']",7,,,,,,,,,,,,,,,Birmingham City WFC,969,00:01:07.135,Pass,
