50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,319d4e01-ffd9-4123-8e4c-b302b0696106,1,,,2275044,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,fda009af-f392-47d0-b0b0-5cb606b03ec9,2,,,2275044,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 32590, 'name': 'Matilde Mota Veiga Santiago Fidalgo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bdafdc77-2ba1-464a-a33e-bec4f336c7f6,3,,,2275044,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['6fc4a940-9383-495e-9d3c-4236de15c758'],0,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6fc4a940-9383-495e-9d3c-4236de15c758,4,,,2275044,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['bdafdc77-2ba1-464a-a33e-bec4f336c7f6'],0,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,60f8d553-e525-458a-8f1a-dec8b93f672d,2109,,,2275044,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Manchester City WFC,746,['66d9e6e8-a804-4c38-96af-cf5e50bce93a'],0,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,66d9e6e8-a804-4c38-96af-cf5e50bce93a,2110,,,2275044,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Manchester City WFC,746,['60f8d553-e525-458a-8f1a-dec8b93f672d'],0,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.720081,,,,,,,,,,,7f43ef70-571a-4381-a3a8-0f76c781e9ed,5,,"[60.0, 40.0]",2275044,0,,,,,-1.735945,,Right Foot,,,,"[59.6, 37.6]",,Ground Pass,,2.433105,,,,Kim Little,15616.0,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Arsenal WFC,968,['5bf12262-00de-478b-8c02-ee13c6ee592e'],1,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:01.051,Pass,
,,,,,,,,,,,,,,,,,1.071741,,,,,,,,,,,a3bbf943-a9bd-45ec-98f9-d41bdc9c3f6a,8,,"[59.8, 38.4]",2275044,0,,,,,-2.5887513,,Left Foot,,,,"[45.7, 29.7]",,Ground Pass,,16.56804,,,,Lia Wälti,10405.0,,,,,,1,From Kick Off,Kim Little,15616.0,Right Defensive Midfield,2,Arsenal WFC,968,['43fbc161-118e-4bfc-8a70-4a8e3b7ad9b6'],1,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:01.811,Pass,
,,,,,,,,,,,,,,,,,1.609565,,,,,,,,,,,7933b4f9-77c2-4bc5-9d99-e9c847f2f7ce,12,,"[46.1, 30.9]",2275044,0,,,,,-1.4587139,,Left Foot,,,,"[48.7, 7.8]",,Ground Pass,,23.24586,,,,Katie McCabe,15620.0,,,,,,1,From Kick Off,Lia Wälti,10405.0,Left Defensive Midfield,2,Arsenal WFC,968,"['d7354dda-0cea-4d1f-a4eb-88a810891aaa', 'e89f9c39-559a-4ee1-8bd5-7c5e34c9564c']",3,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:03.927,Pass,True
,,,,,,,,,,,,,,,,,1.155568,,,,,,,,,,,8c2bbb98-faf1-47d5-abee-f6be7683f4fa,15,,"[51.5, 8.3]",2275044,0,,,,,2.7209294,,Left Foot,,,,"[36.3, 15.1]",,Ground Pass,,16.651726,,,,Jennifer Patricia Beattie,17524.0,,,,,,1,From Kick Off,Katie McCabe,15620.0,Left Back,2,Arsenal WFC,968,['ddb81614-8b2f-4839-ac2d-0e2ba893c9cb'],8,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:08.045,Pass,
,,,,,,,,,,,,,,,,,1.718861,,,,,,,,,,,e2af09d3-0239-4ade-96e3-0054772bd43e,18,,"[36.1, 15.8]",2275044,0,,,,,1.7330735,,Right Foot,,,,"[32.4, 38.4]",,Ground Pass,,22.900873,,,,Leah Williamson,18999.0,,,,,,1,From Kick Off,Jennifer Patricia Beattie,17524.0,Left Center Back,2,Arsenal WFC,968,['c53b2103-442a-4d57-bbf8-cd48fe9a0c74'],10,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:10.494,Pass,
,,,,,,,,,,,,,,,,,1.458119,,,,,,,,,,,779c7de9-983c-4c22-ba6b-9d4e7dcf616a,20,,"[32.4, 38.6]",2275044,0,,,,,-1.7425565,,Right Foot,,,,"[29.0, 19.0]",,Ground Pass,,19.892712,,,,Jennifer Patricia Beattie,17524.0,,,,,,1,From Kick Off,Leah Williamson,18999.0,Right Center Back,2,Arsenal WFC,968,['46d30749-1edb-4c73-a8e9-3fbca414fa27'],12,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:12.213,Pass,
,,,,,,,,,,,,,,,,,1.433528,,,,,,,,,,,22dd6d1a-da21-4353-9889-3ef1b1d07bf2,23,,"[56.4, 23.9]",2275044,0,,,,,-1.0198923,,Right Foot,,,,"[70.1, 1.6]",,Ground Pass,,26.172123,,,,Katie McCabe,15620.0,,,,,,1,From Kick Off,Jennifer Patricia Beattie,17524.0,Left Center Back,2,Arsenal WFC,968,['778c8abd-0af9-434f-9736-e4ba1d995e25'],20,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:20.336,Pass,
,,,,,,,,,,,,,,,,,1.032852,,,,,,,,,,,047b61e1-8570-4c98-874c-fae7edabefaa,30,,"[39.8, 77.4]",2275044,0,,,,,-2.7243252,,Left Foot,,,,"[30.1, 73.1]",,Ground Pass,,10.610373,,,,Matilde Mota Veiga Santiago Fidalgo,32590.0,,,,,,1,From Kick Off,Tessa Wullaert,10099.0,Right Midfield,2,Arsenal WFC,968,['c5a297a1-3f78-4aa5-b866-02d855108bc3'],24,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:24.385,Pass,
,,,,,,,,,,,,,,,,,1.047375,,,,,,,,,,,a23f0346-89a2-4c0a-97e8-fcc38a3cd7f1,33,,"[30.1, 73.1]",2275044,0,,,,,-0.59374964,,Left Foot,,,,"[42.1, 65.0]",,Ground Pass,,14.477914,,Incomplete,,Jill Scott,10172.0,,,,,,1,From Kick Off,Matilde Mota Veiga Santiago Fidalgo,32590.0,Right Back,2,Arsenal WFC,968,"['100a5016-efb8-40a3-8643-4ab76a02dffc', '1c3c588a-60de-4fd2-8ea2-e552ecd13846']",25,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:25.564,Pass,
