50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c15031b-4073-401f-824c-37da6d03466b,1,,,,3775635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 22}, {'player': {'id': 31157, 'name': 'Hawa Cissoko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 31558, 'name': 'Martha Thomas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6e48d418-6e8d-483e-84de-be4362169b46,2,,,,3775635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 34360, 'name': 'Alexandra MacIver'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 30}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 10274, 'name': 'Nicoline Sørensen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,14d22119-9691-4949-b433-39b38b83d6e4,3,,,,3775635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['49f4a624-1796-4191-b9f1-a9da6cbb4dcb'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,49f4a624-1796-4191-b9f1-a9da6cbb4dcb,4,,,,3775635,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['14d22119-9691-4949-b433-39b38b83d6e4'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b2c6ec0-7104-4784-acd9-aa81672e2c40,1532,,,,3775635,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,West Ham United LFC,972,['4e53cc87-9268-4ada-91de-d67a8c4240a6'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4e53cc87-9268-4ada-91de-d67a8c4240a6,1533,,,,3775635,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,West Ham United LFC,972,['4b2c6ec0-7104-4784-acd9-aa81672e2c40'],0,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.160689,,,,,,,,,,,,f59568bf-63d3-4c23-8e94-6fc1815c9aaf,5,,,"[60.0, 40.0]",3775635,0,,,,,-2.6615531,,Right Foot,,,,"[47.9, 33.7]",Ground Pass,,13.641848,,,Gilly Louise Scarlett Flaherty,18151.0,,,,,,Kick Off,1,From Kick Off,Kenza Dali,15421.0,Left Center Midfield,2,West Ham United LFC,972,['61155077-e5bf-4e61-b3e8-fdb903d0eaa9'],1,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:01.124,Pass,
,,,,,,,,,,,,,,,,,,,1.318969,,,,,,,,,,,,d05f285a-1ad6-45e7-b935-8553ce07f086,8,,,"[49.6, 33.7]",3775635,0,,,,,-0.6894371,,Right Foot,,,,"[70.1, 16.8]",High Pass,,26.568026,Incomplete,,,,,,,,,,1,From Kick Off,Gilly Louise Scarlett Flaherty,18151.0,Right Center Back,2,West Ham United LFC,972,['5440f96e-2ba7-4a84-8d37-3bd448a00da1'],2,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:02.333,Pass,
,,,,,,,,,,,,,,,,,,,0.90765,,,,,,,,,,,,9b8f0306-50df-493d-8f45-481ac9d19b53,11,,,"[72.3, 13.5]",3775635,0,,,,,0.15602484,,Right Foot,,,,"[81.2, 14.9]",Low Pass,,9.009439,Incomplete,,Dagný Brynjarsdóttir,10124.0,,,,,,Recovery,1,From Kick Off,Mayumi Pacheco,15724.0,Left Wing Back,2,West Ham United LFC,972,"['23a44630-ce26-4833-ad21-6e7ed8891390', '3606a74d-cb16-4425-863e-45759f34d2ad', 'c552deec-e390-4e31-85e9-66daa22851c7']",5,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:05.157,Pass,True
,,,,,,,,,,,,,True,,,,,,1.111637,,,,,,,,,,,,c552deec-e390-4e31-85e9-66daa22851c7,13,,,"[38.9, 65.2]",3775635,0,,,,,-2.2896264,,Right Foot,,,,"[32.6, 58.0]",Ground Pass,,9.567131,,,Megan Finnigan,18254.0,,,,,,Interception,1,Regular Play,Ingrid Moe Wold,10382.0,Right Back,3,Everton LFC,967,"['9b8f0306-50df-493d-8f45-481ac9d19b53', 'b32c4369-58bc-49de-984e-fef1b6d666c4']",6,,,,,,,,,,,,,,,,Everton LFC,967,00:00:06.064,Pass,
