50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.879254,,,,,,,,,,,,,,b72b6057-5d8b-4069-9f33-94bd5a61d1be,22,,,"[29.5, 80.0]",3889182,0,,,,-1.9121522,,,,"[26.8, 72.4]",,Low Pass,,8.065358,,,Alessandro Renica,39817.0,,,,,,Throw-in,1,From Throw In,Luciano Sola,398849.0,Left Wing Back,3,Napoli,227,['22b05d89-5ca3-4c66-85b2-0856a0f3af9f'],18,,,,,,,,,,,,,,,,,,Napoli,227,00:00:18.901,Pass,
,,,,,,,,,,,,,,,,,,,1.16621,,,,,,,,,,,,,,5f6d8e99-0d3a-43cd-90b4-ee74d0b14f07,26,,,"[27.1, 72.7]",3889182,0,,,,0.43485975,,Left Foot,,"[42.6, 79.9]",,Ground Pass,,17.090641,Out,,Giuseppe Bruscolotti,39947.0,,,,,,,1,From Throw In,Alessandro Renica,39817.0,Center Back,3,Napoli,227,"['904baadc-7c2e-4ac2-a605-37410c2f19b1', 'e5a28516-3b22-49f3-843c-4df9ab445ce2']",21,,,,,,,,,,,,,,,,,,Napoli,227,00:00:21.840,Pass,True
,,,,,,,,,,,,,,,,,,,2.037312,,,,,,,,,,,,,,8f70cd8c-73b3-4ff4-9052-fcea5f8ae19c,28,,,"[80.9, 0.1]",3889182,0,,,,0.46565562,,,,"[100.8, 10.1]",,Low Pass,,22.271282,,,Aldo Serena,398842.0,,,,,,Throw-in,1,From Throw In,Antonio Cabrini,398844.0,Left Wing Back,4,Juventus,224,['55a7783e-f55a-49fd-bea3-bdc1cf757096'],26,,,,,,,,,,,,,,,,,,Juventus,224,00:00:26.023,Pass,
,,,,,,,,,,,,,,,,,,,0.071947,,,,,,,,,,,,,,34f15af3-abed-4dde-8071-a96e4dbd4844,31,,,"[97.4, 10.1]",3889182,0,,,,1.8622531,,Left Foot,,"[96.5, 13.1]",,Ground Pass,,3.132092,Incomplete,,,,,,,,,,1,From Throw In,Aldo Serena,398842.0,Right Center Forward,4,Juventus,224,['4a4e4a33-f935-482f-8c26-bc1e88b14179'],32,,,,,,,,,,,,,,,,,,Juventus,224,00:00:32.367,Pass,
,,,,,,,,,,,,,,,,,,,1.772401,,,,,,,,,,,,,,ac178871-5449-4bb6-9a10-3fb211ab0b5c,34,,,"[120.0, 0.1]",3889182,0,,,,1.6909437,,Right Foot,,"[114.7, 44.0]",,High Pass,True,44.218773,Incomplete,,,,,,True,Inswinging,,Corner,1,From Corner,Massimo Mauro,39832.0,Right Wing Back,5,Juventus,224,['9a718a5f-6f92-4c81-b7a0-2f795c176600'],54,,,,,,,,,,,,,,,,,,Juventus,224,00:00:54.718,Pass,
,,,,,,,,,,,,,,,,,,,1.184288,,,,,,,,,,,,,,dd839d62-69eb-4f6d-8121-e9087bdec8d2,45,,,"[68.1, 71.9]",3889182,1,,,,-2.6313317,,Right Foot,,"[54.7, 64.4]",,Ground Pass,,15.356106,,,Luciano Favero,40028.0,,,,,,,1,From Corner,Antonio Cabrini,398844.0,Left Wing Back,5,Juventus,224,['5f5944ce-f43f-470b-965b-70b1a6b07cfd'],6,,,,,,,,,,,,,,,,,,Juventus,224,00:01:06.961,Pass,
,,,,,,,,,,,,,,,,,,,0.822027,,,,,,,,,,,,,,1c8e6996-d430-4222-aaba-8304953c4dc8,48,,,"[67.1, 74.9]",3889182,1,,,,-1.076855,,Right Foot,,"[72.7, 64.5]",,Ground Pass,,11.811858,,,Michael Laudrup,15008.0,,,,,,,1,From Corner,Luciano Favero,40028.0,Right Center Back,5,Juventus,224,['388bc9f6-c9e1-4980-983b-d4b8894232b7'],11,,,,,,,,,,,,,,,,,,Juventus,224,00:01:11.720,Pass,
,,,,,,,,,,,,,,,,,,,0.824241,,,,,,,,,,,,,,b258fcf1-0d87-400c-82de-b53832700fff,50,,,"[72.7, 64.5]",3889182,1,,,,-1.9352039,,Right Foot,,"[69.0, 54.8]",,Ground Pass,,10.381715,,,Michel Platini,398840.0,,,,,,,1,From Corner,Michael Laudrup,15008.0,Left Center Forward,5,Juventus,224,['adb4082a-8814-4def-9eb9-a863d89b8ed9'],12,,,,,,,,,,,,,,,,,,Juventus,224,00:01:12.542,Pass,
,,,,,,,,,,,,,,,,,,,3.35594,,,,,,,,,,,,,,e51e690c-98d7-44cc-a169-c50d8b628d2a,53,,,"[68.1, 55.4]",3889182,1,,,,0.3777299,,Right Foot,,"[105.4, 70.2]",,Ground Pass,,40.128918,Incomplete,,Luciano Favero,40028.0,,,,,,,1,From Corner,Michel Platini,398840.0,Right Center Midfield,5,Juventus,224,"['18d29754-a94c-45d9-a194-4a17d137f3d0', '1f2c79a8-e30a-48d0-9354-9047626b258d']",13,,,,,,,,,,,,,,,,,,Juventus,224,00:01:13.580,Pass,
,,,,,,,,,,,,,,,,,,,0.83881,,,,,,,,,,,,,,258db4c8-d2a2-47f9-8193-319cd1a357e8,56,,,"[100.8, 80.0]",3889182,1,,,,-0.69473827,,,,"[112.2, 70.5]",,Low Pass,,14.839475,,,Aldo Serena,398842.0,,,,,,Throw-in,1,From Throw In,Luciano Favero,40028.0,Right Center Back,6,Juventus,224,['d420fc86-e9a2-4644-a8ec-5a9a2aeadb17'],26,,,,,,,,,,,,,,,,,,Juventus,224,00:01:26.355,Pass,
