50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7ccfbefe-5556-4aba-b9eb-7486d9da5b69,1,,,3889149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38640, 'name': 'Neri Alberto Pumpido Barrinat'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 38643, 'name': 'José Luis Cuciuffo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 9}, {'player': {'id': 38642, 'name': 'José Luis Brown'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 38657, 'name': 'Óscar Alfredo Ruggeri Zocola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 38654, 'name': 'Ricardo Omar Giusti'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 38661, 'name': 'Julio Jorge Olarticoechea'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 38646, 'name': 'Jorge Luis Burruchaga'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 38644, 'name': 'Héctor Adolfo Enrique'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 38645, 'name': 'Sergio Daniel Batista'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 38641, 'name': 'Diego Armando Maradona'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 38647, 'name': 'Jorge Alberto Francisco Valdano Castellano'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,59588f3b-c500-43cc-bade-8eb76bc32074,2,,,3889149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 398811, 'name': 'Harald Anton Schumacher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38676, 'name': 'Andreas Brehme'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 398814, 'name': 'Ditmar Jakobs'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 17}, {'player': {'id': 398812, 'name': 'Karl-Heinz Förster'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 398809, 'name': 'Thomas Berthold'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 398824, 'name': 'Hans-Peter Briegel'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 398813, 'name': 'Norbert Alban Eder'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18107, 'name': 'Lothar Matthäus'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 398825, 'name': 'Felix Magath'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 398816, 'name': 'Klaus Allofs'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 398815, 'name': 'Karl-Heinz Rummenigge'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d9e14e4d-b04b-4263-8753-e9bfbc244329,3,,,3889149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['dc858ae5-6d65-45fe-a416-de86b921a274'],0,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dc858ae5-6d65-45fe-a416-de86b921a274,4,,,3889149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina,779,['d9e14e4d-b04b-4263-8753-e9bfbc244329'],0,,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,236c4efc-35cc-43b0-bcb2-7c131e10e1fc,1418,,,3889149,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Germany,770,['1cce3d2b-c7c7-460e-88fd-dec63d0528d1'],0,,,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1cce3d2b-c7c7-460e-88fd-dec63d0528d1,1419,,,3889149,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,Germany,770,['236c4efc-35cc-43b0-bcb2-7c131e10e1fc'],0,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.545145,,,,,,,,,,,,518e80ee-b9a8-4105-99fd-b7905cd4ce81,5,,"[61.0, 40.1]",3889149,0,,,,,1.4288993,,Left Foot,,,"[61.5, 43.6]",,Ground Pass,,3.535534,,,,Felix Magath,398825.0,,,,,,Kick Off,1,From Kick Off,Klaus Allofs,398816.0,Right Center Forward,2,Germany,770,['b6ed32b0-449e-482d-98bd-24d4a7908465'],0,,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.471,Pass,
,,,,,,,,,,,,,,,,,1.293116,,,,,,,,,,,,7ff4299d-464b-44c0-9471-17ade8cd22f4,8,,"[59.1, 42.6]",3889149,0,,,,,-2.2883377,,Right Foot,,,"[49.5, 31.6]",,Ground Pass,,14.6,,,,Karl-Heinz Förster,398812.0,,,,,,,1,From Kick Off,Felix Magath,398825.0,Center Attacking Midfield,2,Germany,770,['373f385f-2cf2-44c3-8a3b-63b707ac5570'],2,,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.072,Pass,
,,,,,,,,,,,,,,,,,1.76795,,,,,,,,,,,,76b7f6dd-de59-41e8-9462-24920addecaf,11,,"[49.1, 31.6]",3889149,0,,,,,1.801016,,Right Foot,,,"[43.1, 57.2]",,Ground Pass,,26.293726,,,,Hans-Peter Briegel,398824.0,,,,,,,1,From Kick Off,Karl-Heinz Förster,398812.0,Left Center Back,2,Germany,770,['32c7d76b-fd1b-4be2-8708-0b49d0eab738'],4,,,,,,,,,,,,,,,,,,,Germany,770,00:00:04.468,Pass,
,,,,,,,,,,,,,,,,,1.565952,,,,,,,,,,,,82673732-f34a-4b05-a945-5e03b6b0db75,14,,"[40.6, 57.0]",3889149,0,,,,,0.7828793,,Right Foot,,,"[60.5, 76.8]",,Ground Pass,,28.072227,,,,Thomas Berthold,398809.0,,,,,,,1,From Kick Off,Hans-Peter Briegel,398824.0,Left Wing Back,2,Germany,770,['4a824776-1e3d-4a79-b4c2-05ecec7e77d6'],8,,,,,,,,,,,,,,,,,,,Germany,770,00:00:08.466,Pass,
