bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6235188d-2cd3-44ff-a49f-79a1c6594a3a,1,,,3825715,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 3302, 'name': 'Nordin Amrabat'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,162241cf-3766-4a7b-92a4-8bbde8700a4d,2,,,3825715,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6795, 'name': 'Rubén Blanco Veiga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 27342, 'name': 'Josep Señé Escudero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1a847efc-8dd3-4943-89ba-f1c6d15515aa,3,,,3825715,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['cb3f7ee1-3097-4bc2-aceb-23a497a24ef5'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cb3f7ee1-3097-4bc2-aceb-23a497a24ef5,4,,,3825715,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['1a847efc-8dd3-4943-89ba-f1c6d15515aa'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e81c8588-a240-41c8-a6c1-47640266d728,1472,,,3825715,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Málaga,223,['3e45eb47-ec41-4157-b115-ef2648e2f876'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3e45eb47-ec41-4157-b115-ef2648e2f876,1473,,,3825715,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Málaga,223,['e81c8588-a240-41c8-a6c1-47640266d728'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.743431,,,,,,,,,,,,,,,42d63f1b-a27a-4f29-a7af-fdb5aec7e129,5,,"[61.0, 40.1]",3825715,0,,,,1.670465,,Right Foot,,,,"[60.8, 42.1]",,Ground Pass,,2.0099752,,,,,Iago Aspas Juncal,5217.0,,,,,Kick Off,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,2,Celta Vigo,209,['abe23a31-52eb-4b01-845f-1ee49801784d'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.853,Pass,
,,,,,,,,,,,,,,,,,,1.008764,,,,,,,,,,,,,,,86c6f6c5-4667-4ff2-9972-3a608712717b,8,,"[59.9, 40.8]",3825715,0,,,,-2.2907858,,Right Foot,,,,"[49.2, 28.6]",,Ground Pass,,16.227446,,,,,Pedro Pablo Hernández,6801.0,,,,,,1,From Kick Off,Iago Aspas Juncal,5217.0,Center Forward,2,Celta Vigo,209,['3b7ad4ac-a9b6-45e2-b85d-0930047b0cbf'],2,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:02.325,Pass,
,,,,,,,,,,,,,,,,,,1.439116,,,,,,,,,,,,,,,87a6b31c-7395-4dd1-8b79-2e73a81df55a,11,,"[45.2, 29.0]",3825715,0,,,,2.0281148,,Right Foot,,,,"[29.6, 60.7]",,Ground Pass,,35.33058,,,,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,1,From Kick Off,Pedro Pablo Hernández,6801.0,Center Attacking Midfield,2,Celta Vigo,209,['32c5a7d0-ecd8-469d-98ea-e77a13b839d1'],4,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:04.959,Pass,
,,,,,,,,,,,,,,,,,,1.777612,,,,,,,,,,,,,,,a293982f-17a2-4e13-ad2d-f95417c1d15a,14,,"[35.5, 58.8]",3825715,0,,,,1.2401174,,Right Foot,,,,"[42.4, 78.9]",,Ground Pass,,21.251352,,,,,Hugo Mallo Novegil,6805.0,,,,,,1,From Kick Off,Gustavo Daniel Cabral Cáceres,6794.0,Right Center Back,2,Celta Vigo,209,['fe06ea4e-c65a-4589-89f7-a27029a029e0'],9,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:09.964,Pass,
