bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,331c2045-dcc1-4eb2-8e33-21bdfb010adb,1,,,3825591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 27480, 'name': 'Lucas Alfonso Orbán Alegre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 18724, 'name': 'Sofiane Feghouli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10a1e555-0297-4373-afaa-9c176a604775,2,,,3825591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ed16160-5c37-4302-8c7d-072493e85f85,3,,,3825591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['4cf03117-d1df-4b8c-9030-39391df8e872'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4cf03117-d1df-4b8c-9030-39391df8e872,4,,,3825591,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['6ed16160-5c37-4302-8c7d-072493e85f85'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f2673ee-8bf0-41d4-aaf2-c457f211c22e,1707,,,3825591,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Valencia,207,['267e344b-c87c-4058-8700-5b9ba44bee4a'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,267e344b-c87c-4058-8700-5b9ba44bee4a,1708,,,3825591,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,93,Valencia,207,['6f2673ee-8bf0-41d4-aaf2-c457f211c22e'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,19be42c8-0b51-43c2-ac79-2ce9d7e5198e,5,,"[60.0, 40.0]",3825591,0,True,,,1.3734008,,Right Foot,,,,"[60.2, 41.0]",Ground Pass,,1.0198039,,,,,Francisco Alcácer García,6402.0,,,,,,Kick Off,1,From Kick Off,Rodrigo Moreno Machado,5718.0,Left Wing,2,Valencia,207,['d8ff1038-f393-4642-b35e-617be0f8b681'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.787,Pass,
,,,,,,,,,,,,,,,1.062606,,,,,,,,,,,,,d75b6c58-6b6f-4032-b49b-b633dbc712a1,7,,"[59.3, 40.6]",3825591,0,True,,,-2.6748962,,Right Foot,,,,"[46.2, 34.0]",Ground Pass,,14.668674,,,,,Javier Fuego Martínez,6751.0,,,,,,,1,From Kick Off,Francisco Alcácer García,6402.0,Center Forward,2,Valencia,207,['7f314bf7-aa66-4f87-976d-40f1acdee980'],1,,,,,,,,,,,,,,,,Valencia,207,00:00:01.187,Pass,
,,,,,,,,,,,,,,,1.149947,,,,,,,,,,,,,b4e20e4d-136c-475b-9cc4-a122b5d29690,9,,"[46.2, 33.2]",3825591,0,,,,-2.5622666,,Right Foot,,,,"[35.5, 26.2]",Ground Pass,,12.786321,,,,,Aymen Abdennour,4406.0,,,,,,,1,From Kick Off,Javier Fuego Martínez,6751.0,Center Defensive Midfield,2,Valencia,207,['c67149e5-88d5-4dda-8035-c0c6c1f605a1'],3,,,,,,,,,,,,,,,,Valencia,207,00:00:03.339,Pass,
,,,,,,,,,,,,,,,1.544428,,,,,,,,,,,,,1328b45e-4c60-4fa6-aa45-2a04b97104d3,13,,"[37.9, 26.4]",3825591,0,,,,0.76412475,,Left Foot,,,,"[64.3, 51.7]",High Pass,,36.565693,,,Incomplete,,,,,,,,,,1,From Kick Off,Aymen Abdennour,4406.0,Left Center Back,2,Valencia,207,['e2a7e28a-e58f-49c9-ad7c-a4a77863576b'],6,,,,,,,,,,,,,,,,Valencia,207,00:00:06.384,Pass,
