bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff11b12a-64e7-451a-9eca-97dd231a63eb,1,,,3825650,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6865, 'name': 'Francisco José Molinero Calderón'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6697, 'name': 'Daniel Ceballos Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 6873, 'name': 'Francisco Portillo Soler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e0387820-a9a7-4092-9c81-a1ba08bcb0d1,2,,,3825650,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b0a37d7f-3751-4d55-a67d-874746e3b295,3,,,3825650,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['995f94a7-249b-4a71-8318-9fffaec3b8fb'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,995f94a7-249b-4a71-8318-9fffaec3b8fb,4,,,3825650,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['b0a37d7f-3751-4d55-a67d-874746e3b295'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,23f37795-de33-4679-a456-1d32bbb84f43,1630,,,3825650,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,120,Real Betis,218,['5b104c41-19b5-4577-a711-515b4ed20df0'],0,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5b104c41-19b5-4577-a711-515b4ed20df0,1631,,,3825650,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,120,Real Betis,218,['23f37795-de33-4679-a456-1d32bbb84f43'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.270776,,,,,,,,,,,,,,5cd96403-7cd9-4901-bf25-6932940b6d7d,5,,"[61.0, 40.1]",3825650,0,,,,,1.9809237,,Right Foot,,,,"[60.0, 42.4]",,Ground Pass,,2.5079873,,,Raúl García Escudero,6391.0,,,,,,Kick Off,1,From Kick Off,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,2,Athletic Club,215,['612f495c-6713-4c1c-829b-37f5d58a2448'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.101,Pass,
,,,,,,,,,,,,,,,,,1.460892,,,,,,,,,,,,,,02ac8070-0f6d-4b50-833e-54ac194dd4a3,8,,"[59.8, 42.6]",3825650,0,,,,,-2.802701,,Right Foot,,,,"[33.7, 33.4]",,Ground Pass,,27.673994,,,Aymeric Laporte,4353.0,,,,,,,1,From Kick Off,Raúl García Escudero,6391.0,Center Attacking Midfield,2,Athletic Club,215,['678d63a8-e4cb-44f6-b34b-dded92182994'],1,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.417,Pass,
,,,,,,,,,,,,,,,,,2.469128,,,,,,,,,,,,,,81c4fa92-ac50-448a-bd3b-c6018bd21162,11,,"[33.9, 32.7]",3825650,0,,,,,0.6463022,,Left Foot,,,,"[79.5, 67.1]",,High Pass,,57.120224,Unknown,,Aritz Aduriz Zubeldia,6394.0,,,,,,,1,From Kick Off,Aymeric Laporte,4353.0,Left Center Back,2,Athletic Club,215,['b929eda5-3c85-4b5b-a370-42aa82abffa0'],4,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.343,Pass,
,,,,,,,,,,,,,,,,,2.267766,,,,,,,,,,,,,,3a777f6f-d5a3-4ed3-818e-d40120b96ce4,15,,"[78.1, 67.4]",3825650,0,,,,,-0.7950001,,Right Foot,,,,"[114.2, 30.6]",,High Pass,,51.55046,,,Aritz Aduriz Zubeldia,6394.0,,,,,,Free Kick,1,From Free Kick,Beñat Etxebarria Urkiaga,6396.0,Left Defensive Midfield,3,Athletic Club,215,['70fb6cb7-9c65-4b4f-b497-2d89994c2df9'],44,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:44.478,Pass,
