50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f10f5a8-bdf9-4600-a099-dabc5e5dcf7e,1,,,3825899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 220761, 'name': 'Miguel Ángel Muñoz Alonso'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 11675, 'name': 'Moisés Gómez Bordonado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6736, 'name': 'Álvaro Medrán Just'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 24035, 'name': 'Álvaro Vázquez García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1eed0eef-cc0b-4b99-bd41-54e9e9c78c75,2,,,3825899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25144, 'name': 'Diego Alves Carreira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3f30873-04e1-4127-9287-fa7300afade7,3,,,3825899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['9b8f8047-ecba-426a-ba01-5cd1fc61a8da'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b8f8047-ecba-426a-ba01-5cd1fc61a8da,4,,,3825899,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['f3f30873-04e1-4127-9287-fa7300afade7'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e425abe5-6432-4154-bcd4-fae12b2dacb0,1805,,,3825899,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Valencia,207,['c66a4b0f-377a-4ad3-aed9-d9c0e8ca1e45'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c66a4b0f-377a-4ad3-aed9-d9c0e8ca1e45,1806,,,3825899,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Valencia,207,['e425abe5-6432-4154-bcd4-fae12b2dacb0'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.476173,,,,,,,,,,,,,5e73ab17-42be-47ac-8e9e-40f6f0d96b19,5,,"[61.0, 40.1]",3825899,0,,,,,-1.5273454,,Right Foot,,,,"[61.1, 37.8]",,Ground Pass,,2.302173,,,,Moisés Gómez Bordonado,11675.0,,,,,,Kick Off,1,From Kick Off,Álvaro Vázquez García,24035.0,Center Forward,2,Getafe,216,['81d3e67c-ebff-43be-bb6a-ef1066869a2d'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.384,Pass,
,,,,,,,,,,,,,,,,0.59705,,,,,,,,,,,,,035ea296-44b5-4d40-ac4e-4fd9097c8c12,7,,"[60.8, 37.8]",3825899,0,,,,,2.6847477,,Left Foot,,,,"[54.9, 40.7]",,Ground Pass,,6.574192,,,,Mehdi Lacen,6745.0,,,,,,,1,From Kick Off,Moisés Gómez Bordonado,11675.0,Right Center Midfield,2,Getafe,216,['f4386777-23fd-4eb0-a0fd-a0ccac1c248c'],0,,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.860,Pass,
,,,,,,,,,,,,,,,,1.753072,,,,,,,,,,,,,6d289c71-3501-4b69-bf79-0eeb97a6fd22,10,,"[53.9, 40.3]",3825899,0,,,,,-2.1155663,,Left Foot,,,,"[39.6, 16.7]",,Ground Pass,,27.594383,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,,1,From Kick Off,Mehdi Lacen,6745.0,Center Defensive Midfield,2,Getafe,216,['0a736ed5-1be0-4b45-8c92-6247027c866c'],2,,,,,,,,,,,,,,,,,,Getafe,216,00:00:02.407,Pass,
,,,,,,,,,,,,,,,,0.089229,,,,,,,,,,,,,3f344705-4fdd-476f-b645-c0095fc21c37,13,,"[41.2, 16.6]",3825899,0,,,,,0.6435011,,Right Foot,,,,"[43.6, 18.4]",,Low Pass,,3.0,,Incomplete,,,,,,,,,,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Left Back,2,Getafe,216,['df75c670-4da5-41ea-923d-f132a762fe3a'],5,,,,,,,,,,,,,,,,,,Getafe,216,00:00:05.519,Pass,
,,,,,,,,,,,,,,,,1.35061,,,,,,,,,,,,,874f7492-a0c9-4399-b24f-92d8a64e2b28,17,,"[89.4, 45.6]",3825899,0,,,,,0.5529293,,Right Foot,,,,"[106.9, 56.4]",,Ground Pass,,20.56429,,,,Rodrigo Moreno Machado,5718.0,,,,,,,1,Regular Play,Francisco Alcácer García,6402.0,Center Forward,3,Valencia,207,['14928428-aaa7-42ef-a58a-f98bbd5985cd'],8,,,,,,,,,,,,,,,,,,Valencia,207,00:00:08.158,Pass,
