50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,94a53f1b-2da9-47b9-b0df-227576e41a61,1,,,,3825671,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7577, 'name': 'Carles Planas Antolínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 19668, 'name': 'Augusto Matías Fernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6801, 'name': 'Pedro Pablo Hernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23785, 'name': ""Théo Bongonda Mbul''Ofeko Batombo""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2c8b56c7-0657-4894-95a2-43fd0aa361aa,2,,,,3825671,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b40cca75-e276-4ff0-9395-9423b06c88ce,3,,,,3825671,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['ad3e71c1-827a-4b6f-83fa-26aa15d8fa9b'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ad3e71c1-827a-4b6f-83fa-26aa15d8fa9b,4,,,,3825671,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Celta Vigo,209,['b40cca75-e276-4ff0-9395-9423b06c88ce'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a585ee3d-9b5c-4ebd-bf3b-878f63cad047,1795,,,,3825671,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Sporting Gijón,1041,['1c514f47-497d-4164-b003-e01e3e062e44'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1c514f47-497d-4164-b003-e01e3e062e44,1796,,,,3825671,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,89,Sporting Gijón,1041,['a585ee3d-9b5c-4ebd-bf3b-878f63cad047'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.76048,,,,,,,,,,,,cec5f993-ce6c-4dae-a23d-d136fa14cbf4,5,,,"[61.0, 40.1]",3825671,0,True,,,2.0229502,,Right Foot,,,"[59.3, 43.6]",,Ground Pass,,3.8910153,,,Daniel Arnaud N''Di	,40822.0,,,,,,Kick Off,1,From Kick Off,Alen Halilović,6926.0,Right Wing,2,Sporting Gijón,1041,['8ad0c646-9783-473b-8476-773f72332698'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.087,Pass,
,,,,,,,,,,,,,,,,,1.645269,,,,,,,,,,,,c244741b-b039-47fd-bc09-cbd92a73988c,7,,,"[58.7, 45.6]",3825671,0,,,,2.7060502,,Left Foot,,,"[48.6, 50.3]",,Ground Pass,,11.1400175,,,Omar Mascarell González,18398.0,,,,,,,1,From Kick Off,Daniel Arnaud N''Di	,40822.0,Center Attacking Midfield,2,Sporting Gijón,1041,['114df390-9733-4c9d-8de6-30be2235b311'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.981,Pass,
,,,,,,,,,,,,,,,,,3.189616,,,,,,,,,,,,a748c4fc-6a4d-4a31-aaf4-3eb0f15a31c8,10,,,"[50.1, 50.3]",3825671,0,,,,-0.4405036,,Right Foot,,,"[93.8, 29.7]",,High Pass,,48.312008,Incomplete,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,,,,1,From Kick Off,Omar Mascarell González,18398.0,Right Defensive Midfield,2,Sporting Gijón,1041,"['1209efca-6d67-4d35-b98e-6e92e579e657', 'f4e70a6e-0a15-456a-bdd1-254f39eeef8b']",2,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.706,Pass,
,,,,,,,,,,,,,,,,,2.867572,,,,,,,,,,,,1209efca-6d67-4d35-b98e-6e92e579e657,12,,,"[26.3, 50.4]",3825671,0,,,,-0.80023384,,Head,,,"[42.9, 33.3]",,High Pass,,23.83212,,,Pedro Pablo Hernández,6801.0,,,,,,Recovery,1,From Kick Off,Gustavo Daniel Cabral Cáceres,6794.0,Right Center Back,2,Sporting Gijón,1041,"['a748c4fc-6a4d-4a31-aaf4-3eb0f15a31c8', 'e5002554-205d-4423-ada5-c300415fc769']",5,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:05.896,Pass,
