ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,43b6353b-e03b-4528-9677-4f7fe906d323,1,,,3825618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6927, 'name': 'David García Santana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 27521, 'name': 'Juan Emmanuel Culio'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Las Palmas,208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e8942ea-cc88-40c6-aed6-fb37907278df,2,,,3825618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 6837, 'name': 'Mauro Javier Dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 27239, 'name': 'Aleksandar Pantić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 24070, 'name': 'Saúl Berjón Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 6557, 'name': 'Adrián González Morales'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d15104b9-c1c3-4b69-a49c-b1d2bf1949bc,3,,,3825618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['22bd7dc0-46cc-4e9c-ad3c-c2c3abb962a3'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22bd7dc0-46cc-4e9c-ad3c-c2c3abb962a3,4,,,3825618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Las Palmas,208,['d15104b9-c1c3-4b69-a49c-b1d2bf1949bc'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9bd82d58-cb99-436f-8547-e5e4994559bc,1959,,,3825618,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Las Palmas,208,['41d2d957-a491-45ca-b7de-d14683e1831a'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41d2d957-a491-45ca-b7de-d14683e1831a,1960,,,3825618,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Las Palmas,208,['9bd82d58-cb99-436f-8547-e5e4994559bc'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.174352,,,,,,,,,,,,,1d44f2f9-1e71-48d3-bc8a-ff2eeab8206b,5,,"[61.0, 40.1]",3825618,0,,True,,,2.016902,,Right Foot,,,,"[59.9, 42.4]",,Ground Pass,2.5495098,,,,,Jonathan Viera Ramos,10755.0,,,,,,Kick Off,1,From Kick Off,Sergio Ezequiel Araújo,8167.0,Right Center Forward,2,Las Palmas,208,['862f5d42-face-40b4-911b-874c280de5a3'],0,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.711,Pass,
,,,,,,,,,,,,,,1.561397,,,,,,,,,,,,,44741dad-c5b8-435c-b601-bbe487012e13,7,,"[58.8, 42.4]",3825618,0,,,,,-2.0600793,,Right Foot,,,,"[50.6, 27.0]",,Ground Pass,17.447063,,,,,Juan Emmanuel Culio,27521.0,,,,,,,1,From Kick Off,Jonathan Viera Ramos,10755.0,Left Center Forward,2,Las Palmas,208,['bd4abcf4-2a34-4f34-abde-30382ad4ec16'],1,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:01.743,Pass,
,,,,,,,,,,,,,,1.465535,,,,,,,,,,,,,08fef002-a135-46a4-8b46-8df956c3ea67,10,,"[50.8, 27.7]",3825618,0,,,,,-2.630362,,Left Foot,,,,"[42.6, 23.1]",,Ground Pass,9.402127,,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Kick Off,Juan Emmanuel Culio,27521.0,Left Center Midfield,2,Las Palmas,208,['58e2a14a-44b2-4e12-9e46-fcfa080e7ec6'],3,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:03.910,Pass,
,,,,,,,,,,,,,,1.938245,,,,,,,,,,,,,fab20445-aa4b-4fee-827d-46f578e92c1f,13,,"[41.0, 25.5]",3825618,0,,,,,1.6454495,,Right Foot,,,,"[38.3, 61.6]",,Ground Pass,36.20083,,,,,David García Santana,6927.0,,,,,,,1,From Kick Off,Pedro Bigas Rigo,7907.0,Left Center Back,2,Las Palmas,208,['5cf9caed-2ccb-4f48-9e04-5e0ae3ab21c9'],6,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:06.837,Pass,
