bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.435778,,,,,,,,,,,,,e763d905-a555-43b5-a2e7-50bdf5c2ff12,2403,,"[88.0, 3.9]",3825658,63,,,,,-0.015623729,,Right Foot,,,"[113.6, 3.5]",,Ground Pass,,25.603125,Incomplete,,Filipe Luís Kasmirski,6320.0,,,,,,2,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Midfield,130,Atlético Madrid,212,"['19879209-0ebe-4628-b1af-3ab4c71b0a78', '23628a21-4304-4348-8c18-8bea0fde6457']",55,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:18:55.627,Pass,
,,,,,,,,,,,,,,,0.843942,,,,,,,,,,,,,45ff0cbe-28c6-4564-8b0c-d92b50d5b2bf,2406,,"[108.4, 0.1]",3825658,64,,,,,2.4227626,,,,,"[96.4, 10.6]",,Low Pass,,15.945219,,,Yannick Ferreira Carrasco,5633.0,,,,,Throw-in,2,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,131,Atlético Madrid,212,['51aafaa9-569f-44e7-b9cd-fe797198c105'],4,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:04.019,Pass,
,,,,,,,,,,,,,,,1.201743,,,,,,,,,,,,,b93c85ff-ac99-4d16-bd7b-f454691ad266,2409,,"[96.4, 10.6]",3825658,64,,,,,-0.745945,,Right Foot,,,"[104.3, 3.3]",,Ground Pass,,10.756393,,,Filipe Luís Kasmirski,6320.0,,,,,,2,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Midfield,131,Atlético Madrid,212,['84d41d05-dcaa-42c3-b25c-76d4caaf7931'],5,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:05.901,Pass,
,,,,,,,,,,,,,,,1.297451,,,,,,,,,,,,,0b222bcc-a57d-47d0-af68-b9cc2324fb92,2412,,"[104.3, 3.3]",3825658,64,,,,,1.4086633,,Left Foot,True,,"[108.7, 30.2]",,High Pass,,27.257477,Incomplete,,Jackson Arley Martínez Valencia,17622.0,,,,,,2,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,131,Atlético Madrid,212,"['01cb88c0-5ee6-4d6d-a24e-e08b6854ae78', 'a324a4ab-6fc5-4d11-b54b-08844d932cca']",7,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:07.891,Pass,
,,,,,,,,,,,,,,,1.365628,,,,,,,,,,,,,8431989f-49fa-48dc-ba93-3a3063cdfd63,2415,,"[12.1, 49.3]",3825658,64,,,,,0.30805278,,Left Foot,,,"[29.7, 54.9]",,Ground Pass,,18.469435,Incomplete,,,,,,,,Recovery,2,From Throw In,Luis Hernández Rodríguez,6561.0,Right Center Back,131,Atlético Madrid,212,['ecdba58d-8ee6-4405-ac0a-18687b31b021'],10,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:19:10.051,Pass,
,,,,,,,,,,,,,,,0.583034,,,,,,,,,,,,,608d84a2-73bc-407c-986a-a026e059f552,2418,,"[91.1, 30.4]",3825658,64,,,,,1.2164164,,Right Foot,,,"[98.5, 50.4]",,Ground Pass,,21.325102,,,Antoine Griezmann,5487.0,,,,,,2,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Midfield,131,Atlético Madrid,212,['51803274-a40c-4ae2-ae80-ac703e28fd22'],14,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:14.675,Pass,
,,,,,,,,,,,,,,,0.583308,,,,,,,,,,,,,afe27188-dd45-4e25-84e1-190c4e8dc4f8,2420,,"[98.3, 50.8]",3825658,64,,,,,-2.93141,,Right Foot,,,"[90.8, 49.2]",,Ground Pass,,7.668768,,,Yannick Ferreira Carrasco,5633.0,,,,,,2,From Throw In,Antoine Griezmann,5487.0,Right Midfield,131,Atlético Madrid,212,['a2df7f40-b687-4ca0-a7dc-8b4f33370de9'],15,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:15.258,Pass,
,,,,,,,,,,,,,,,0.833974,,,,,,,,,,,,,f703ecc6-a409-486f-83e2-16c8a9ba5f66,2423,,"[92.3, 65.3]",3825658,64,,,,,0.85117143,,Right Foot,,,"[100.1, 74.2]",,Ground Pass,,11.834272,,,Jesús Gámez Duarte,4788.0,,,,,,2,From Throw In,Yannick Ferreira Carrasco,5633.0,Left Midfield,131,Atlético Madrid,212,['76783c84-70c3-4f22-a2cc-c5a8b09340e1'],18,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:18.575,Pass,
,,,,,,,,,,,,,,,1.083782,,,,,,,,,,,,,dbac1274-5962-4b85-b414-f620ad24637c,2426,,"[100.1, 74.2]",3825658,64,,,,,3.1415927,,Right Foot,,,"[91.5, 74.2]",,Ground Pass,,8.6,,,Jackson Arley Martínez Valencia,17622.0,,,,,,2,From Throw In,Jesús Gámez Duarte,4788.0,Right Back,131,Atlético Madrid,212,['0ca4ae10-2f66-403a-a0d2-388be731d6aa'],20,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:20.293,Pass,
,,,,,,,,,,,,,,,1.060662,,,,,,,,,,,,,8d7cf77e-992d-4683-b352-ab4a52725296,2434,,"[110.5, 69.8]",3825658,64,,,,,-1.531106,8e4ea064-b8e6-4dba-88cd-1add62283c84,Right Foot,True,,"[111.6, 42.1]",,Ground Pass,,27.721832,,,Antoine Griezmann,5487.0,True,,,,,2,From Throw In,Jackson Arley Martínez Valencia,17622.0,Center Forward,131,Atlético Madrid,212,"['3e0932a3-eb0f-42ec-9043-e550e6cb9349', '6a7fbb23-e793-47bd-aec7-726d5db44c6f']",25,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:19:25.958,Pass,True
