bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fd86ef37-a93f-4ac9-8142-9468b7821fa0,1,,,3825778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6593, 'name': 'Martín Montoya Torralbo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 27347, 'name': 'Juan Manuel Vargas Risco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 186264, 'name': 'Foued Kadir'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 5}, {'player': {'id': 3601, 'name': 'Charly Musonda Junior'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 27348, 'name': 'Ricky van Wolfswinkel'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cb6b8019-7837-40cc-8a40-be5ba5ca44f5,2,,,3825778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16332, 'name': 'Ognjen Vranješ'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 23994, 'name': 'Alejandro Menéndez Díez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 3}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 24173, 'name': 'Carlos Castro García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,534d5194-98e0-42f5-8e60-852e7f6de8cc,3,,,3825778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['dafc5c8c-8f23-4f4d-9303-2ef276d8d82f'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dafc5c8c-8f23-4f4d-9303-2ef276d8d82f,4,,,3825778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Betis,218,['534d5194-98e0-42f5-8e60-852e7f6de8cc'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c4d2bef8-f493-4bcb-800a-44f8bb80a2e2,1644,,,3825778,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Real Betis,218,['eb795ffd-98be-4f3e-8eb3-1e81a86d17e4'],0,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,eb795ffd-98be-4f3e-8eb3-1e81a86d17e4,1645,,,3825778,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Real Betis,218,['c4d2bef8-f493-4bcb-800a-44f8bb80a2e2'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.476226,,,,,,,,,,,,2ea201a3-0bb7-4523-8a60-8e116b34cc4f,5,,"[61.0, 40.1]",3825778,0,,True,,,-2.4329665,,Right Foot,,,,"[60.3, 39.5]",,Ground Pass,,0.92195445,,,,,Rubén Castro Martín,6832.0,,,,,,Kick Off,1,From Kick Off,Ricky van Wolfswinkel,27348.0,Right Center Forward,2,Real Betis,218,['ea7d8e45-8a92-4998-a07d-2c78b9aaf3a0'],1,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.323,Pass,
,,,,,,,,,,,,,,,,,,1.497132,,,,,,,,,,,,c53bf5e2-6ae0-4ac2-b547-f21dbf99cd67,7,,"[61.0, 42.2]",3825778,0,,,,,-3.0924518,,Right Foot,,,,"[36.6, 41.0]",,Ground Pass,,24.429491,,,,,Bruno González Cabrera,6872.0,,,,,,,1,From Kick Off,Rubén Castro Martín,6832.0,Left Center Forward,2,Real Betis,218,['f3e6252b-12d2-4154-ad50-f68a4a7fffb1'],2,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:02.024,Pass,
,,,,,,,,,,,,,,,,,,4.297849,,,,,,,,,,,,4049d3a9-cf05-4932-b2b7-419737075265,10,,"[37.0, 41.3]",3825778,0,,,,,0.63887864,,Right Foot,,,,"[89.1, 80.0]",,High Pass,,64.900696,,,Out,,Foued Kadir,186264.0,,,,,,,1,From Kick Off,Bruno González Cabrera,6872.0,Left Center Back,2,Real Betis,218,['d1ec7935-0d9a-4743-8773-28ca46e7b3d3'],5,,,,,,,,,,,,,,,,,,Real Betis,218,00:00:05.915,Pass,
,,,,,,,,,,,,,,,,,,1.598343,,,,,,,,,,,,60436772-3174-44ba-ab4a-87d95181c53e,12,,"[31.5, 0.1]",3825778,0,,,,,0.5880026,,,,,,"[50.4, 12.7]",,High Pass,,22.714973,,,,,Alen Halilović,6926.0,,,,,,Throw-in,1,From Throw In,Ismael López Blanco,24263.0,Left Back,3,Sporting Gijón,1041,['fd098888-885a-410f-8758-2b9c3a645588'],19,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:19.026,Pass,
