ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,850f7e33-1123-4b67-8d4d-dab68c40902c,1,,,3825664,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16622, 'name': 'Mikel González de Martín Martínez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8522, 'name': 'Armindo Tué Na Bangna'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,11df8125-c0c0-4022-84bc-b2e38702d370,2,,,3825664,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6823, 'name': 'Sergio Rico González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21210, 'name': 'Mariano Ferreira Filho'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3253, 'name': 'Adil Rami'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7948, 'name': 'Marco Andreolli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 27483, 'name': 'Benoît Trémoulinas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5737, 'name': ""Steven N''Kemboanza Mike Christopher Nzonzi""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6841, 'name': 'Víctor Machín Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sevilla,213,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,8aa55152-22e5-441b-97b0-5daebee9f4d5,3,,,3825664,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['a8cd5670-7144-4506-8538-cdb26e2a18ae'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,a8cd5670-7144-4506-8538-cdb26e2a18ae,4,,,3825664,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['8aa55152-22e5-441b-97b0-5daebee9f4d5'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,044e0078-411a-4c04-b5f4-1058db2c65a8,1588,,,3825664,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Sevilla,213,['7bbda7a9-b2be-42dc-aa08-3a21a5747013'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,,,7bbda7a9-b2be-42dc-aa08-3a21a5747013,1589,,,3825664,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Sevilla,213,['044e0078-411a-4c04-b5f4-1058db2c65a8'],0,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,
,,,,,,,,,,,,1.221188,,,,,,,,,,,,0957b9b2-d2c7-418c-93ef-bae7a57e998b,5,,"[61.0, 40.1]",3825664,0,,True,,,2.8890383,,Right Foot,,,"[57.9, 40.9]",Ground Pass,,3.2015622,,,,,Rubén Pardo Gutiérrez,6899.0,,,,,Kick Off,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,['608075bd-5b62-4aba-a5a5-b2ccdd158f9a'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.907,Pass,
,,,,,,,,,,,,4.388997,,,,,,,,,,,,ebf0b255-bb54-4f71-9fd1-1a27b3a24334,7,,"[57.2, 40.6]",3825664,0,,,,,0.63044214,,Right Foot,,,"[100.5, 72.2]",High Pass,,53.604572,,,Incomplete,,Armindo Tué Na Bangna,8522.0,,,,,,1,From Kick Off,Rubén Pardo Gutiérrez,6899.0,Left Defensive Midfield,2,Real Sociedad,210,"['3f4e0866-54ac-4e4f-9e74-750d53f1b05d', '99ba8882-75d0-4ac4-b642-9c43f5806a80']",2,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.550,Pass,
,,,,,,,,,,,,1.584646,,,,,,,,,,,,9cac8ba1-185e-4e20-845c-5782461e207b,11,,"[50.3, 8.5]",3825664,0,,,,True,0.7916093,,,,,"[58.3, 16.6]",High Pass,,11.384639,,,,,Vicente Iborra De La Fuente,3497.0,,,,,Recovery,1,Regular Play,Ciro Immobile,7788.0,Center Forward,3,Sevilla,213,"['cb5d385e-4080-49c3-9dc7-8d60fff5f74a', 'd227c294-76b1-4e6d-af0b-10877b0479a9']",9,,,,,,,,,,,,,,,,Sevilla,213,00:00:09.689,Pass,True
,,,,,,,,,,,,2.165554,,,,,,,,,,,,0db878aa-906f-425f-bdb0-9e55f2a84261,13,,"[58.3, 16.0]",3825664,0,,,,,-1.9849349,,Head,,,"[54.3, 6.9]",High Pass,,9.940322,,,,,José Antonio Reyes Calderón,23816.0,,,,,,1,Regular Play,Vicente Iborra De La Fuente,3497.0,Center Attacking Midfield,3,Sevilla,213,['e2eb605f-ea41-455d-b11c-9b5e7b6e10c3'],11,,,,,,,,,,,,,,,,Sevilla,213,00:00:11.327,Pass,
