ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec5cfb18-0e2c-45e2-8b07-3da6d8e16294,1,,,3825684,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3379, 'name': 'Alphonse Areola'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6828, 'name': 'Jaume Vicent Costa Jordá'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6752, 'name': 'Víctor Ruíz Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6935, 'name': 'Adrián Marín Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6357, 'name': 'Jonathan dos Santos Ramírez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6862, 'name': 'Cédric Bakambu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7326a46-8435-417e-8859-bead89422755,2,,,3825684,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 10612, 'name': 'Yoel Rodríguez Oterino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 24138, 'name': 'Joaquín José Marín Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 27}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 9246, 'name': 'Patrick Ebert'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6d351102-8707-4d18-a0cb-0fe70bb3cc25,3,,,3825684,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['b59f8a8b-5689-4b48-99d7-147cb1383030'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b59f8a8b-5689-4b48-99d7-147cb1383030,4,,,3825684,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['6d351102-8707-4d18-a0cb-0fe70bb3cc25'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79a4b970-430b-4223-88de-89c09756937d,1590,,,3825684,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Rayo Vallecano,360,['2aca04e4-7056-4b71-843a-0b432afecfde'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2aca04e4-7056-4b71-843a-0b432afecfde,1591,,,3825684,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Rayo Vallecano,360,['79a4b970-430b-4223-88de-89c09756937d'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.730262,,,,,,,,,,,,,191c18c8-ed76-460b-9e90-6a86dc39c4c9,5,,"[60.0, 40.0]",3825684,0,,,,,-2.6971734,,Right Foot,,,"[49.5, 35.0]",,Ground Pass,,11.6297035,,,,José Raúl Baena Urdiales,26607.0,,,,,Kick Off,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['c6232cf2-94dc-461e-bf9d-2ae340709000'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.138,Pass,
,,,,,,,,,,,,,,,,,1.479061,,,,,,,,,,,,,0c2e60f8-9e36-464b-8607-8ca38eac812b,8,,"[48.4, 35.1]",3825684,0,,,,,-2.2499297,,Right Foot,,,"[35.0, 18.5]",,Ground Pass,,21.333542,,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,1,From Kick Off,José Raúl Baena Urdiales,26607.0,Left Defensive Midfield,2,Rayo Vallecano,360,['4256c8fe-bb2f-4c4d-93c3-e33d9e2732f1'],1,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:01.743,Pass,
,,,,,,,,,,,,,,,,,1.362766,,,,,,,,,,,,,7f803cdb-6777-4c84-ba0f-ac54fc33e4d0,11,,"[35.0, 19.1]",3825684,0,,,,,0.22014932,,Right Foot,,,"[49.3, 22.3]",,Ground Pass,,14.653668,,,,José Raúl Baena Urdiales,26607.0,,,,,,1,From Kick Off,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,2,Rayo Vallecano,360,['aa0e3e2e-dbae-4af5-bd0c-abb585f9975f'],3,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:03.563,Pass,
,,,,,,,,,,,,,,,,,1.383884,,,,,,,,,,,,,4195d06b-f349-451f-9f95-bada88a821c1,14,,"[49.3, 20.5]",3825684,0,,,,,-1.5401311,,Right Foot,,,"[49.8, 4.2]",,Ground Pass,,16.307667,,,,Roberto Román Triguero,6914.0,,,,,,1,From Kick Off,José Raúl Baena Urdiales,26607.0,Left Defensive Midfield,2,Rayo Vallecano,360,['ad45af7b-fa71-41ac-841e-32d469f73390'],5,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:05.636,Pass,
