50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ddf2eeb1-b3fd-4a45-ac1d-e5aedb446b6b,1,,,,3825812,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 23930, 'name': 'Ikechukwu Uche'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,34092747-bcd4-4a6a-a7e5-8ad38037c1a8,2,,,,3825812,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26633, 'name': 'Alberto Lora Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23848, 'name': 'Carlos Carmona Bonet'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 33}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bb5f42c3-c67e-4236-ad2e-2c39fae41701,3,,,,3825812,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['6f59221e-5105-48f5-ba83-fb3b34e3c114'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6f59221e-5105-48f5-ba83-fb3b34e3c114,4,,,,3825812,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['bb5f42c3-c67e-4236-ad2e-2c39fae41701'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc7a5fa7-5fd9-43b4-9618-ff27f1ff8452,1870,,,,3825812,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Sporting Gijón,1041,['2502c5ff-7de4-436b-b0d8-1e8acaff5527'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2502c5ff-7de4-436b-b0d8-1e8acaff5527,1871,,,,3825812,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,93,Sporting Gijón,1041,['fc7a5fa7-5fd9-43b4-9618-ff27f1ff8452'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.542526,,,,,,,,,,,,,,6e13998b-be58-43b3-b4fc-c296de115421,5,,,"[61.0, 40.1]",3825812,0,,,,,-1.9922155,,Right Foot,,,"[59.7, 37.2]",,Ground Pass,,3.1780498,,,,Arnaldo Antonio Sanabria Ayala,6880.0,,,,Kick Off,1,From Kick Off,Carlos Carmona Bonet,23848.0,Right Wing,2,Sporting Gijón,1041,['aea20a16-10fb-47cf-b5ec-d7f5be4c65dd'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.221,Pass,
,,,,,,,,,,,,,,,,,,,1.380392,,,,,,,,,,,,,,88a2f90e-8f0f-42ad-9f1d-1e88b64510c9,8,,,"[59.7, 38.5]",3825812,0,,,,,2.4636223,,Left Foot,,,"[48.4, 47.6]",,Ground Pass,,14.508618,,,,Sergio Álvarez Díaz,13107.0,,,,,1,From Kick Off,Arnaldo Antonio Sanabria Ayala,6880.0,Center Forward,2,Sporting Gijón,1041,['8e82aaf2-97a3-4433-830e-cef82e385ebd'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.945,Pass,
,,,,,,,,,,,,,,,,,,,2.546498,,,,,,,,,,,,,,b7156010-766e-4083-96f6-5794f816398f,11,,,"[48.4, 47.6]",3825812,0,,,,,-0.81528056,,Right Foot,,,"[84.1, 9.7]",,High Pass,,52.066303,,,,Daniel Arnaud N''Di	,40822.0,,,,,1,From Kick Off,Sergio Álvarez Díaz,13107.0,Right Defensive Midfield,2,Sporting Gijón,1041,['898383a4-3c32-4410-af56-4309db0e7c9a'],2,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:02.959,Pass,
,,,,,,,,,,,,,,,,,,,3.217072,,,,,,,,,,,,,,15abf2ed-5d21-4546-a5aa-9b42e21242c4,13,,,"[83.9, 9.5]",3825812,0,,,,True,0.009132166,,,,,"[105.8, 9.7]",,High Pass,,21.900913,,Incomplete,,Jonathan Rodríguez Menéndez,6581.0,,,,,1,From Kick Off,Daniel Arnaud N''Di	,40822.0,Center Attacking Midfield,2,Sporting Gijón,1041,"['13304967-82d7-4cca-ac2b-94a16ae8e229', '4f6cb1df-53d2-4d60-80b8-3f64d719f512', 'fd499e4f-b79a-439b-884a-78c507d638e1']",5,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:05.546,Pass,True
