bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ffaa33f-285e-4910-8829-0bc1b902b13c,1,,,3825657,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8264, 'name': 'Adnane Tighadouini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,362b1f3c-5601-4911-9baf-d4c6ff4f0c41,2,,,3825657,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11634, 'name': 'Cristiano Piccini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 27349, 'name': 'Heiko Westermann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 24132, 'name': 'Francisco Miguel Varela Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 27345, 'name': 'Didier Digard'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 19724, 'name': 'Rafael van der Vaart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d8b65733-6f1e-48ba-a7fe-e55a1c8967e2,3,,,3825657,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['e3e3015f-2423-4dcb-a954-9a37122a076d'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e3e3015f-2423-4dcb-a954-9a37122a076d,4,,,3825657,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['d8b65733-6f1e-48ba-a7fe-e55a1c8967e2'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,341c090f-2728-40de-ac51-413da6ac58fd,1629,,,3825657,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Málaga,223,['3fd72433-3f35-4c53-8c08-19678ad6bbf7'],0,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fd72433-3f35-4c53-8c08-19678ad6bbf7,1630,,,3825657,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Málaga,223,['341c090f-2728-40de-ac51-413da6ac58fd'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.165746,,,,,,,,,,,,,b0d32521-5c0a-4b67-be0d-6ba527bd66d0,5,,"[61.0, 40.1]",3825657,0,,,,,2.0899425,,Right Foot,,,,"[59.0, 43.6]",Ground Pass,,4.031129,,,,Rubén Castro Martín,6832.0,,,,,Kick Off,1,From Kick Off,Rafael van der Vaart,19724.0,Center Attacking Midfield,2,Real Betis,218,['8dbf3be9-a9ac-4062-b906-de3104a57479'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.262,Pass,
,,,,,,,,,,,,,,,,,2.270461,,,,,,,,,,,,,5ea3aefc-4e5e-43af-9e09-e2453e871de2,8,,"[65.3, 41.3]",3825657,0,,,,,-1.5358251,,Right Foot,,,,"[66.5, 7.0]",Low Pass,,34.320984,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,From Kick Off,Rubén Castro Martín,6832.0,Center Forward,2,Real Betis,218,['dc28df42-170d-4a22-a776-f077db39ba8c'],1,,,,,,,,,,,,,,,,Real Betis,218,00:00:01.744,Pass,
,,,,,,,,,,,,,,,,,2.908552,,,,,,,,,,,,,e258377b-f2e1-487b-9407-dfbb33142379,12,,"[63.6, 7.5]",3825657,0,,True,,,2.1548195,,Right Foot,,,,"[36.7, 48.2]",High Pass,,48.78627,,,,Bruno González Cabrera,6872.0,,True,,,,1,From Kick Off,Joaquín Sánchez Rodríguez,6651.0,Left Wing,2,Real Betis,218,['4f3bebeb-ec2e-47a7-82e8-da18e0ef2b38'],8,,,,,,,,,,,,,,,,Real Betis,218,00:00:08.497,Pass,
,,,,,,,,,,,,,,,,,1.851096,,,,,,,,,,,,,949b7908-0a02-4915-918f-f6164614ee0a,15,,"[36.7, 51.6]",3825657,0,,,,,1.2957879,,Right Foot,,,,"[43.5, 75.7]",Ground Pass,,25.040966,,,,Cristiano Piccini,11634.0,,,,,,1,From Kick Off,Bruno González Cabrera,6872.0,Right Center Back,2,Real Betis,218,"['6912afca-1438-4ab5-b023-29bc198a626a', 'a641a7f7-d5a8-4f75-ad1a-b876e81d6853']",12,,,,,,,,,,,,,,,,Real Betis,218,00:00:12.511,Pass,True
