50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,29ef5d4f-7e16-4e77-a204-07c9e4192dd9,1,,,,3825722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f25b918d-b222-42fc-9f6e-2f087fe42be4,2,,,,3825722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6861, 'name': 'Juan Torres Ruiz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,78e53b2f-f6fc-4d41-98bc-093dc498faea,3,,,,3825722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['9e7dbb9a-1b72-492c-b066-6bc4f2661db0'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9e7dbb9a-1b72-492c-b066-6bc4f2661db0,4,,,,3825722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['78e53b2f-f6fc-4d41-98bc-093dc498faea'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,afa3b537-2ca5-430d-aec4-f89de26aef75,1466,,,,3825722,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Getafe,216,['a147d259-0c95-49f6-8027-e6a2fab4942e'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a147d259-0c95-49f6-8027-e6a2fab4942e,1467,,,,3825722,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Getafe,216,['afa3b537-2ca5-430d-aec4-f89de26aef75'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.59699,,,,,,,,,,,,,,b0c315ff-892d-4961-81ef-d2cc1ee8ad2c,5,,,"[60.0, 40.0]",3825722,0,,,,,-1.7429872,,Right Foot,,,,"[59.6, 37.7]",,Ground Pass,,2.3345234,,,,,Alen Halilović,6926.0,,,,,Kick Off,1,From Kick Off,Miguel Ángel Guerrero Martín,6602.0,Right Center Forward,2,Sporting Gijón,1041,['9ab1bcc2-1824-4b7d-a423-8ebf318ce01d'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.231,Pass,
,,,,,,,,,,,,,,,,,,,1.995287,,,,,,,,,,,,,,63ce4735-5cef-4877-bd2c-c1dd4a54bfdb,8,,,"[58.9, 37.9]",3825722,0,,,,,2.99147,,Left Foot,,,,"[47.0, 39.7]",,Ground Pass,,12.035364,,,,,Omar Mascarell González,18398.0,,,,,,1,From Kick Off,Alen Halilović,6926.0,Right Midfield,2,Sporting Gijón,1041,['f0fed9a8-8919-4013-9426-fa12c86270f2'],0,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.896,Pass,
,,,,,,,,,,,,,,,,,,,1.389423,,,,,,,,,,,,,,634e5275-0da3-4e08-b3f7-776e90f4f3cd,11,,,"[45.9, 36.3]",3825722,0,,,,,-2.005698,,Right Foot,,,,"[40.0, 23.6]",,Ground Pass,,14.003571,,,,,Bernardo José Espinosa Zúñiga,6573.0,,,,,,1,From Kick Off,Omar Mascarell González,18398.0,Right Defensive Midfield,2,Sporting Gijón,1041,['6f0feed2-2395-477b-a7c0-4631a12ee12b'],3,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:03.777,Pass,
,,,,,,,,,,,,,,,,,,,3.341718,,,,,,,,,,,,,,ee10a11e-e439-4b48-913e-e5834501d102,14,,,"[40.0, 19.6]",3825722,0,,,,,-0.048200116,,Left Foot,,,,"[93.9, 17.0]",,High Pass,,53.962673,,,Incomplete,,,,,,,,,1,From Kick Off,Bernardo José Espinosa Zúñiga,6573.0,Left Center Back,2,Sporting Gijón,1041,['88a75140-5281-4403-a969-38d5ca34b591'],6,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:06.304,Pass,
