50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.979727,,,,,,,,,,,,,e5f2c666-b8ef-4a27-a239-afafe5a5ba5a,22,,"[18.4, 80.0]",3825713,0,,,,,-0.98279375,,,,,"[27.4, 66.5]",Low Pass,,16.224981,,,,,André Filipe Tavares Gomes,10802.0,,,,,,Throw-in,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Wing Back,3,Valencia,207,['51208889-f209-4d09-85d9-32f19885e37e'],20,,,,,,,,,,,,,,,,Valencia,207,00:00:20.733,Pass,
,,,,,,,,,,,,,,,1.321552,,,,,,,,,,,,,21e35ee3-69a0-4a42-8f68-6384592b6627,24,,"[27.4, 66.5]",3825713,0,,,,,1.5165019,,Right Foot,,,"[27.9, 75.7]",Ground Pass,,9.213577,,,,,Antonio Barragán Fernández,6663.0,,,,,,,1,From Throw In,André Filipe Tavares Gomes,10802.0,Right Center Midfield,3,Valencia,207,['5f702c6d-b089-4332-ad17-7629d9a1fe43'],21,,,,,,,,,,,,,,,,Valencia,207,00:00:21.713,Pass,
,,,,,,,,,,,,,,,1.122791,,,,,,,,,,,,,fc550b4f-31f5-4296-b4ea-7bcad9d5d6ac,27,,"[27.7, 74.7]",3825713,0,,,,,-0.16347644,,Right Foot,,,"[37.4, 73.1]",Ground Pass,,9.831073,,,,,Danilo Barbosa da Silva,10037.0,,,,,,,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Wing Back,3,Valencia,207,"['120bb389-4e6a-4062-b8d0-2738cd031024', 'cf290103-38ef-4d96-ae5e-6cc0a81dd4c9']",23,,,,,,,,,,,,,,,,Valencia,207,00:00:23.034,Pass,True
,,,,,,,,,,,,,,,0.16063,,,,,,,,,,,,,c86fa03c-ce2a-4c42-8a1b-3631e072feba,30,,"[42.6, 71.7]",3825713,0,,,,,1.2627436,,Right Foot,,,"[44.0, 76.1]",Ground Pass,,4.6173587,,,Incomplete,,,,,,,,,,1,From Throw In,Danilo Barbosa da Silva,10037.0,Left Center Midfield,3,Valencia,207,['82a8a332-c602-4f17-9b9d-cbe81d415a8e'],24,,,,,,,,,,,,,,,,Valencia,207,00:00:24.976,Pass,
,,,,,,,,,,,,,,,1.745057,,,,,,,,,,,,,ea5b8aea-df3d-41a4-b177-1a9184dedbd8,32,,"[44.4, 80.0]",3825713,0,,,,,-0.8355843,,,,,"[65.2, 57.0]",High Pass,,31.01032,,,,,Álvaro Negredo Sánchez,20542.0,,,,,,Throw-in,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Wing Back,4,Valencia,207,['e7955892-4860-4497-8041-c7c0f3298c3d'],42,,,,,,,,,,,,,,,,Valencia,207,00:00:42.045,Pass,
,,,,,,,,,,,,,,,1.047689,,,,,,,,,,,,,e73e41b5-03de-44f7-8616-a406253303df,34,,"[65.2, 57.4]",3825713,0,,,,,3.0584514,,Head,,,"[49.6, 58.7]",High Pass,,15.654073,,,,,Daniel Parejo Muñoz,6595.0,,,,,,,1,From Throw In,Álvaro Negredo Sánchez,20542.0,Left Center Forward,4,Valencia,207,['fd8ccce3-1c39-485d-9253-40222135f619'],43,,,,,,,,,,,,,,,,Valencia,207,00:00:43.808,Pass,
,,,,,,,,,,,,,,,3.402041,,,,,,,,,,,,,5d14b626-647d-4caf-a49d-ee05d0f73587,36,,"[49.6, 58.7]",3825713,0,,,,,-1.8506383,,Right Foot,,,"[37.3, 15.9]",High Pass,,44.53235,,,,,João Pedro Cavaco Cancelo,7005.0,,,True,,,,1,From Throw In,Daniel Parejo Muñoz,6595.0,Center Defensive Midfield,4,Valencia,207,['a0be671e-b7a3-430f-859d-20ae0b014ec4'],44,,,,,,,,,,,,,,,,Valencia,207,00:00:44.856,Pass,
,,,,,,,,,,,,,,,1.150918,,,,,,,,,,,,,e0acb0f6-cea0-48b6-8c68-e9918b42c0c9,39,,"[36.6, 19.8]",3825713,0,,,,,1.6443477,,Right Foot,,,"[35.2, 38.8]",Ground Pass,,19.05151,,,,,Aderllan Leandro de Jesus Santos,27482.0,,,,,,,1,From Throw In,João Pedro Cavaco Cancelo,7005.0,Left Wing Back,4,Valencia,207,['f879a103-1a17-4d4c-92d1-4e482fa3ca64'],50,,,,,,,,,,,,,,,,Valencia,207,00:00:50.915,Pass,
,,,,,,,,,,,,,,,1.550088,,,,,,,,,,,,,0ecf60e3-e482-43d5-b1d9-a8c35d420158,42,,"[35.2, 38.8]",3825713,0,,,,,1.5087643,,Right Foot,,,"[36.2, 54.9]",Ground Pass,,16.131025,,,,,Rúben Miguel Nunes Vezo,6592.0,,,,,,,1,From Throw In,Aderllan Leandro de Jesus Santos,27482.0,Center Back,4,Valencia,207,['c34f375c-19fc-414b-b68e-0472339410ca'],53,,,,,,,,,,,,,,,,Valencia,207,00:00:53.570,Pass,
,,,,,,,,,,,,,,,1.089104,,,,,,,,,,,,,d66b1b5e-a9f6-4521-a2a7-c6c94e02f89c,45,,"[41.8, 59.8]",3825713,0,,,,,-2.1815224,,Right Foot,,,"[36.2, 51.8]",Ground Pass,,9.7652445,,,,,Aderllan Leandro de Jesus Santos,27482.0,,,,,,,1,From Throw In,Rúben Miguel Nunes Vezo,6592.0,Right Center Back,4,Valencia,207,['85a31719-c84f-46d3-9c96-e6796568e41f'],57,,,,,,,,,,,,,,,,Valencia,207,00:00:57.018,Pass,
