bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e5b5915-6ff8-4d4d-b378-a177201e476d,1,,,3825855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5577, 'name': 'Francisco Guillermo Ochoa Magaña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6844, 'name': 'Federico Ricca Rostagnol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 6563, 'name': 'Juan Pablo Añor Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 28}, {'player': {'id': 6740, 'name': 'Gonzalo Castro Irizábal'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 5}, {'player': {'id': 8419, 'name': 'Duje Čop'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14db5a2a-2e68-4d99-9103-767d619e419d,2,,,3825855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23843, 'name': 'Diego Mariño Villar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6787, 'name': 'Pedro López Muñoz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27656, 'name': 'Carl Medjani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6647, 'name': 'Zouhair Feddal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 24149, 'name': 'José Antonio García Rabasco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 23970, 'name': 'José María Martín-Bejarano Serrano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 27463, 'name': 'Mauricio Andrés Cuero Castillo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 7141, 'name': 'Giuseppe Rossi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5788baee-62d9-4f80-96dc-1a1b1b31dc5c,3,,,3825855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['c852d64b-d944-43eb-aefc-29c0ed6bc586'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c852d64b-d944-43eb-aefc-29c0ed6bc586,4,,,3825855,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['5788baee-62d9-4f80-96dc-1a1b1b31dc5c'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ebcd2216-4f89-433e-8031-67196f31726a,1615,,,3825855,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Málaga,223,['09f5a41a-7c98-43d4-b34e-f6fb9db0a7dd'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09f5a41a-7c98-43d4-b34e-f6fb9db0a7dd,1616,,,3825855,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,106,Málaga,223,['ebcd2216-4f89-433e-8031-67196f31726a'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.209224,,,,,,,,,,,,,9f39caba-95df-4de1-b42f-b30b30ca8c5b,5,,"[61.0, 40.1]",3825855,0,,,,,2.5286577,,Right Foot,,,"[42.8, 52.9]",,Ground Pass,,22.250393,,,José Antonio García Rabasco,24149.0,,,,,,Kick Off,1,From Kick Off,Giuseppe Rossi,7141.0,Left Center Forward,2,Levante UD,221,['a740b98e-4d0a-4395-9cbe-5b963713e015'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.332,Pass,
,,,,,,,,,,,,,,,,1.563809,,,,,,,,,,,,,3ec744f6-ef25-45d9-bb06-3a8f49aecbcf,9,,"[37.8, 51.0]",3825855,0,,,,,-2.2030814,,Left Foot,,,"[24.1, 32.3]",,Ground Pass,,23.181458,,,Zouhair Feddal,6647.0,,,,,,,1,From Kick Off,José Antonio García Rabasco,24149.0,Right Defensive Midfield,2,Levante UD,221,"['67dfb29e-fef2-4dda-8044-02f731eb9367', '9f475c56-7e04-493a-af33-2bfe8d123d58']",3,,,,,,,,,,,,,,,,,Levante UD,221,00:00:03.150,Pass,True
,,,,,,,,,,,,,,,,3.208918,,,,,,,,,,,,,c7f3d31d-9dd9-4c84-bea3-2c2e1490cb36,12,,"[23.4, 31.8]",3825855,0,,,,,1.5380807,,Left Foot,,,"[24.3, 59.3]",,Ground Pass,,27.514723,,,Carl Medjani,27656.0,,,,,,,1,From Kick Off,Zouhair Feddal,6647.0,Left Center Back,2,Levante UD,221,['6eba15f1-122e-446a-a97a-03eaf531b079'],6,,,,,,,,,,,,,,,,,Levante UD,221,00:00:06.110,Pass,
,,,,,,,,,,,,,,,,3.114304,,,,,,,,,,,,,aa49780b-f9de-4d90-a1ef-503d260ce7c8,15,,"[27.7, 67.6]",3825855,0,,,,,-0.086655036,,Right Foot,,,"[79.5, 63.1]",,High Pass,,51.995094,,,Víctor Casadesús Castaño,23791.0,,,,,,,1,From Kick Off,Carl Medjani,27656.0,Right Center Back,2,Levante UD,221,['0556cf08-04ec-490a-8793-88d7383117f1'],9,,,,,,,,,,,,,,,,,Levante UD,221,00:00:09.748,Pass,
