50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42e5adfe-9552-4848-8b87-3d612f405636,1,,,3825819,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4406, 'name': 'Aymen Abdennour'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 26780, 'name': 'Guilherme Magdalena Siqueira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e9d561d2-e345-4945-85e7-53d111c355fa,2,,,3825819,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6794, 'name': 'Gustavo Daniel Cabral Cáceres'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 27341, 'name': 'Marcelo Alfonso Díaz Rojas'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 12}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 6038, 'name': 'John Guidetti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2ddd0e07-afbb-4d25-ae92-f87d4bed1d19,3,,,3825819,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['8c5984fc-af0b-4bdb-a13b-54bcaf91538e'],0,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8c5984fc-af0b-4bdb-a13b-54bcaf91538e,4,,,3825819,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['2ddd0e07-afbb-4d25-ae92-f87d4bed1d19'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9cdbda09-07fe-47f2-b18c-4d7d47a84bb0,1892,,,3825819,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Valencia,207,['b229cef9-f220-4a8c-bef4-b76676dc05ed'],0,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b229cef9-f220-4a8c-bef4-b76676dc05ed,1893,,,3825819,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,104,Valencia,207,['9cdbda09-07fe-47f2-b18c-4d7d47a84bb0'],0,,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.40584,,,,,,,,,,,,,,c856c3d5-7525-4c15-ab60-da06edba6583,5,,"[61.0, 40.1]",3825819,0,,,,,1.8925469,,Right Foot,,,,"[60.2, 42.5]",,Ground Pass,,2.529822,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,Kick Off,1,From Kick Off,John Guidetti,6038.0,Center Forward,2,Celta Vigo,209,['75e27c5f-1a4e-46d2-9ed2-5eb72d7d4ea2'],1,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.165,Pass,
,,,,,,,,,,,,,,,,,,,1.956923,,,,,,,,,,,,,,9f375391-6ff8-4c84-b276-81602e3ef3af,8,,"[60.9, 39.8]",3825819,0,,,,,-2.319796,,Right Foot,,,,"[43.7, 21.3]",,Ground Pass,,25.260443,,Jonathan Castro Otto,6802.0,,,,,,,1,From Kick Off,Fabián Ariel Orellana Valenzuela,7105.0,Center Attacking Midfield,2,Celta Vigo,209,['00366a56-4ba6-4593-9a9f-2abb6c2e9647'],3,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:03.601,Pass,
,,,,,,,,,,,,,,,,,,,1.815982,,,,,,,,,,,,,,4a119dc2-0083-473a-baf3-8caab5b912c9,11,,"[43.1, 21.3]",3825819,0,,,,,2.7367008,,Right Foot,,,,"[21.4, 30.6]",,Ground Pass,,23.608896,,Sergi Gómez Solà,6804.0,,,,,,,1,From Kick Off,Jonathan Castro Otto,6802.0,Left Back,2,Celta Vigo,209,['1d19cff2-0f12-43df-a3a4-8f0ea39ebc12'],6,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.577,Pass,
,,,,,,,,,,,,,,,,,,,1.076216,,,,,,,,,,,,,,19100643-5bfa-425f-b8f9-0e1817864ab1,15,,"[15.6, 35.2]",3825819,0,,,,,1.2834119,,Right Foot,,,,"[21.6, 55.5]",,Ground Pass,,21.168137,,Gustavo Daniel Cabral Cáceres,6794.0,,,,,,,1,From Kick Off,Sergi Gómez Solà,6804.0,Left Center Back,2,Celta Vigo,209,['d99f96f7-aa17-40ed-bb73-c9c9123b3702'],9,,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:09.004,Pass,
