bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e22c070e-52b4-4053-bdce-50e705733615,1,,,3825897,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10763, 'name': 'Asier Riesgo Unamuno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 26764, 'name': 'Jon Ansotegi Gorostola'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6778, 'name': 'Iván Ramis Barrios'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6675, 'name': 'Antonio Manuel Luna Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6712, 'name': 'Gonzalo Escalante'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6742, 'name': 'Sergio Gontán Gallardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6566, 'name': 'Borja González Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Eibar,322,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5cab300-e5ad-465e-b28e-5c76bdfecdf2,2,,,3825897,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 28}, {'player': {'id': 6690, 'name': 'Xabier Prieto Argarate'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,338cc123-38f0-47ef-aa5e-63c4a48a1878,3,,,3825897,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['19d58f62-e975-431f-b34b-5ec9166cde78'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,19d58f62-e975-431f-b34b-5ec9166cde78,4,,,3825897,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['338cc123-38f0-47ef-aa5e-63c4a48a1878'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,07194694-2afb-4ba5-84f3-1a23a7bf8964,1598,,,3825897,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Eibar,322,['fadffa6b-a9d8-43fc-b044-33c72725496c'],0,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fadffa6b-a9d8-43fc-b044-33c72725496c,1599,,,3825897,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Eibar,322,['07194694-2afb-4ba5-84f3-1a23a7bf8964'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.380577,,,,,,,,,,,,,d02ef3fc-cd3c-47a0-a3a2-20123079d1a8,5,,"[60.0, 40.0]",3825897,0,,,,,-1.6284248,,Right Foot,,,"[59.7, 34.8]",,Ground Pass,5.208647,,,,Xabier Prieto Argarate,6690.0,,,,,Kick Off,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Center Forward,2,Real Sociedad,210,['42062976-f1dc-4812-9fe7-ea5daf1d9962'],0,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.676,Pass,
,,,,,,,,,,,,,,,,1.753381,,,,,,,,,,,,,ee20c494-093e-435e-8904-208ae4acb234,8,,"[58.4, 33.5]",3825897,0,,,,,-1.921743,,Right Foot,,,"[47.6, 4.0]",,Ground Pass,31.414806,,,,Yuri Berchiche Izeta,3023.0,,,,,,1,From Kick Off,Xabier Prieto Argarate,6690.0,Center Attacking Midfield,2,Real Sociedad,210,['9f456046-c31f-452f-884a-8b938fb5d8bf'],2,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.324,Pass,
,,,,,,,,,,,,,,,,1.755909,,,,,,,,,,,,,f31da0b3-c5f6-4ffb-bcce-bb5947445291,11,,"[47.6, 4.0]",3825897,0,,,,,2.2836962,,Left Foot,,,"[31.0, 23.2]",,Ground Pass,25.381096,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Yuri Berchiche Izeta,3023.0,Left Back,2,Real Sociedad,210,['44c6c23f-f9f9-4c51-a871-ee7eb74daffa'],4,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:04.491,Pass,
,,,,,,,,,,,,,,,,1.896089,,,,,,,,,,,,,40fa7731-eae1-44c9-908f-b30daf5799ed,14,,"[31.7, 27.1]",3825897,0,,,,,1.7321714,,Left Foot,,,"[27.5, 52.9]",,Ground Pass,26.139626,,,,Diego Antonio Reyes Rosales,16539.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,['9264f9b0-2cc7-4330-aa66-3a83a1bed9a2'],8,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:08.921,Pass,
