50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.467724,,,,,,,,,,,,381acc43-fb50-452f-b844-ffab8a99a26f,14,,"[73.5, 75.3]",3825866,0,,,,,-0.79873073,,Right Foot,,,"[77.2, 71.5]",Low Pass,,5.3037724,,,,Iñaki Williams Arthuer,6393.0,,,,,,Recovery,1,From Kick Off,Óscar de Marcos Arana,6649.0,Right Back,2,Athletic Club,215,"['3d547340-72d7-43cb-bc42-58bd7848d46c', 'd32cf5f8-0f05-4bd6-bfe0-4b56062d3dc9']",11,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:11.121,Pass,
,,,,,,,,,,,,,,,,1.261453,,,,,,,,,,,,574bdfdf-a499-4392-aff4-2c6bbe199b20,16,,"[77.2, 71.5]",3825866,0,,,,,-3.0648208,,Head,,,"[72.0, 71.1]",High Pass,,5.215362,,,,Óscar de Marcos Arana,6649.0,,,,,,,1,From Kick Off,Iñaki Williams Arthuer,6393.0,Right Wing,2,Athletic Club,215,['9c527046-8c6c-4964-a14b-251b386194bc'],11,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:11.661,Pass,
,,,,,,,,,,,,,,,,1.02742,,,,,,,,,,,,3ec0c3a1-63b4-46f8-b256-1e04e2da3eaa,19,,"[72.1, 71.1]",3825866,0,,,,,0.22471116,,Left Foot,,,"[82.6, 73.5]",Ground Pass,,10.770794,,Incomplete,,Iñaki Williams Arthuer,6393.0,,,,,,,1,From Kick Off,Óscar de Marcos Arana,6649.0,Right Back,2,Athletic Club,215,"['16e14864-20d4-4586-a5d1-a26e3a9ae66f', 'c32809b1-1959-429b-96dd-baa413ffe43f']",13,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:13.080,Pass,
,,,,,,,,,,,,,,,,0.855892,,,,,,,,,,,,16e14864-20d4-4586-a5d1-a26e3a9ae66f,21,,"[37.5, 6.6]",3825866,0,,,,,0.71200085,,Left Foot,,,"[44.8, 12.9]",Ground Pass,,9.642613,,,,Hernán Daniel Santana Trujillo,15805.0,,,,,,Recovery,1,Regular Play,Dani Castellano Betancor,6932.0,Left Back,3,Las Palmas,208,"['3ec0c3a1-63b4-46f8-b256-1e04e2da3eaa', 'ffac8673-d301-4b6e-b764-e82b8c9dab1f']",14,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:14.107,Pass,
,,,,,,,,,,,,,,,,0.446693,,,,,,,,,,,,38e2d779-4f6c-4506-999c-4ba5f12a812c,24,,"[44.8, 12.9]",3825866,0,,,,,2.010639,,Left Foot,,,"[43.2, 16.3]",Ground Pass,,3.757659,,,,Jonathan Viera Ramos,10755.0,,,,,,,1,Regular Play,Hernán Daniel Santana Trujillo,15805.0,Left Defensive Midfield,3,Las Palmas,208,['dfc664a1-9c28-43bd-8710-9957bfa44fa9'],15,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:15.024,Pass,
,,,,,,,,,,,,,,,,0.64059,,,,,,,,,,,,9f26e684-fffe-4994-9c5d-53e319ec5e8e,27,,"[44.1, 17.8]",3825866,0,,,,,1.6475682,,Right Foot,,,"[43.8, 21.7]",Ground Pass,,3.9115214,,Unknown,,,,,,,,,,1,Regular Play,Jonathan Viera Ramos,10755.0,Left Wing,3,Las Palmas,208,,15,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:15.543,Pass,
,,,,,,,,,,,,,,,,1.370581,,,,,,,,,,,,908ef265-8400-44c7-bca3-1e72f6a51c18,30,,"[45.3, 20.1]",3825866,0,,True,,,1.8678606,,Right Foot,,,"[34.8, 54.4]",Ground Pass,,35.87116,,,,Aythami Artiles Oliva,8440.0,,,,,,Free Kick,1,From Free Kick,José Vicente Gómez Umpiérrez,6929.0,Right Defensive Midfield,4,Las Palmas,208,['313a1c30-9cc6-4e5c-acb1-d02363dae81e'],31,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:31.395,Pass,
,,,,,,,,,,,,,,,,0.80939,,,,,,,,,,,,c55e5e39-dbdb-4bab-bf1a-cb3b13d57332,32,,"[34.8, 54.8]",3825866,0,,,,,1.5707964,,Left Foot,,,"[34.8, 76.7]",Ground Pass,,21.9,,,,David García Santana,6927.0,,,,,,,1,From Free Kick,Aythami Artiles Oliva,8440.0,Right Center Back,4,Las Palmas,208,['251716ec-8fab-4160-9f3a-8d89e0832a37'],33,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:33.410,Pass,
,,,,,,,,,,,,,,,,2.163517,,,,,,,,,,,,b776011e-70e3-46eb-84f4-232c016c80be,35,,"[35.7, 76.0]",3825866,0,,,,,-2.3876307,,Right Foot,,,"[11.1, 52.9]",Ground Pass,,33.745667,,,,Raúl Lizoáin Cruz,7905.0,,,,,,,1,From Free Kick,David García Santana,6927.0,Right Back,4,Las Palmas,208,['6ac71989-dbf8-40cc-8110-83bbc1a20bd5'],34,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:34.548,Pass,
,,,,,,,,,,,,,,,,1.548393,,,,,,,,,,,,3efbf9bb-4403-426c-8e3d-8b154a99ae59,38,,"[12.4, 50.6]",3825866,0,,,,,-1.1499242,,Right Foot,,,"[21.8, 29.6]",Ground Pass,,23.007824,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Free Kick,Raúl Lizoáin Cruz,7905.0,Goalkeeper,4,Las Palmas,208,['17383931-d340-4958-bedf-2df29079d489'],37,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:37.117,Pass,
,,,,,,,,,,,,,,,,0.802886,,,,,,,,,,,,b8332126-a182-4f70-b761-fe5b093ce3f9,41,,"[22.2, 29.6]",3825866,0,,,,,0.08708081,,Right Foot,,,"[34.8, 30.7]",Ground Pass,,12.647924,,,,José Vicente Gómez Umpiérrez,6929.0,,,,,,,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,4,Las Palmas,208,['b3231dd3-fa07-452e-89f8-f3af43a1b1c9'],40,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:40.182,Pass,
,,,,,,,,,,,,,,,,0.899301,,,,,,,,,,,,a2baf9c7-f8ff-4069-8de6-06c6cb7a5060,44,,"[37.9, 26.8]",3825866,0,,,,,-1.7767876,,Left Foot,,,"[33.7, 6.7]",Ground Pass,,20.534119,,,,Dani Castellano Betancor,6932.0,,,,,,,1,From Free Kick,José Vicente Gómez Umpiérrez,6929.0,Right Defensive Midfield,4,Las Palmas,208,['b7ea1c6c-e06e-453a-b536-d3304aa55ae5'],42,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:42.171,Pass,
,,,,,,,,,,,,,,,,1.199807,,,,,,,,,,,,3b6037f5-e7cb-4d4e-bc6b-9417f4fb5faa,47,,"[30.9, 8.4]",3825866,0,,,,,2.1775272,,Left Foot,,,"[15.7, 30.3]",Ground Pass,,26.65802,,,,Pedro Bigas Rigo,7907.0,,,,,,,1,From Free Kick,Dani Castellano Betancor,6932.0,Left Back,4,Las Palmas,208,['dd69ca4d-bb6c-454a-8949-4a1c576a8e1a'],45,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:45.191,Pass,
,,,,,,,,,,,,,,,,1.41266,,,,,,,,,,,,635e1ba0-65cb-4e11-a803-303342c5c276,50,,"[15.7, 30.3]",3825866,0,,,,,1.5314466,,Right Foot,,,"[16.7, 55.7]",Ground Pass,,25.419678,,,,Aythami Artiles Oliva,8440.0,,,,,,,1,From Free Kick,Pedro Bigas Rigo,7907.0,Left Center Back,4,Las Palmas,208,['c2d2e79c-d972-472c-af6b-153833812417'],48,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:48.385,Pass,
